order,machine,gt
• date002 item5507 8493 1 2,• machine21 4.35,• machine21 2
• date002 item5549 179208 0 17,• machine05 34.25,• machine05 1
• date002 item5711 52115 0 3,• machine07 6.04,
• date002 item582 73747 0 30,"• machine21 6.25
• machine07 4.67
• machine23 5.75","• machine07 9
• machine21 9
• machine23 12"
• date002 item5992 6498 0 1,"• machine14 0.53
• machine10 0.62",• machine10 1
• date002 item6150 14698 0 22,"• machine04 7.35
• machine08 5.0
• machine29 4.82
• machine09 6.2","• machine04 4
• machine08 1
• machine09 9
• machine29 9"
• date002 item6252 12881 0 18,"• machine14 5.0
• machine21 4.42",• machine21 1
• date002 item6261 179208 0 7,• machine32 14.29,
• date002 item6293 104092 0 19,"• machine32 19.25
• machine19 17.22
• machine01 22.25
• machine05 18.17
• machine17 20.0
• machine06 19.22","• machine01 3
• machine05 2
• machine06 4
• machine17 2
• machine19 3
• machine32 5"
• date002 item6330 6498 0 8,"• machine30 2.27
• machine34 2.25",• machine30 1
• date002 item635 40551 1 300,"• machine21 8.05
• machine22 8.42
• machine35 9.3
• machine04 8.38
• machine01 2.0
• machine09 7.06
• machine28 7.27
• machine29 6.87
• machine10 6.89
• machine33 7.63
• machine07 7.33
• machine31 8.41
• machine20 9.73
• machine14 9.32
• machine30 6.61
• machine23 6.73
• machine32 7.22
• machine05 8.56
• machine03 14.0
• machine08 8.46","• machine03 4
• machine04 14
• machine05 17
• machine08 9
• machine09 33
• machine10 23
• machine14 9
• machine20 2
• machine21 8
• machine22 16
• machine23 33
• machine28 21
• machine29 19
• machine30 1
• machine31 10
• machine32 23
• machine33 32
• machine35 28"
• date002 item657 12240 0 4,"• machine29 4.15
• machine35 3.67
• machine14 4.5
• machine23 3.92
• machine34 3.47
• machine09 4.19
• machine04 5.12
• machine08 4.05
• machine31 3.06",
• date002 item834 179208 0 55,• machine05 55.0,• machine05 2
• date002 item881 6498 0 5,"• machine10 3.0
• machine22 2.88","• machine10 1
• machine22 4"
• date003 item1130 109155 0 125,"• machine20 27.67
• machine03 16.0
• machine33 16.07
• machine32 14.72
• machine06 20.0
• machine05 17.73
• machine01 15.0","• machine01 21
• machine03 9
• machine05 7
• machine06 21
• machine20 16
• machine32 17
• machine33 24"
• date003 item1232 6516 1 14,"• machine21 3.3
• machine31 3.07
• machine34 3.38
• machine23 3.67
• machine09 2.96","• machine09 5
• machine21 2
• machine23 4
• machine31 3"
• date003 item1233 10156 0 46,"• machine09 2.66
• machine30 4.28
• machine08 2.7
• machine21 2.74
• machine33 2.83
• machine29 3.11
• machine23 3.67
• machine28 2.92
• machine22 3.72","• machine08 3
• machine09 5
• machine21 6
• machine22 6
• machine23 8
• machine28 4
• machine29 4
• machine30 5
• machine33 6"
• date003 item1663 6498 1 1,• machine23 3.0,• machine23 1
• date003 item1987 6516 1 13,"• machine10 2.5
• machine08 3.68
• machine32 2.5
• machine29 2.72
• machine33 4.0","• machine08 1
• machine10 1
• machine29 9
• machine33 2"
• date003 item2158 18691 0 5,"• machine21 7.83
• machine08 2.5","• machine08 3
• machine21 2"
• date003 item2417 179208 0 238,"• machine04 55.55
• machine20 32.31
• machine03 32.0","• machine03 131
• machine04 3
• machine20 81"
• date003 item2493 86821 0 7,• machine33 7.92,• machine33 7
• date003 item292 27256 1 1,"• machine21 1.0
• machine23 1.0
• machine10 0.92",• machine23 1
• date003 item2987 179208 0 11,• machine19 22.0,• machine19 11
• date003 item3153 179208 0 16,• machine06 32.0,• machine06 16
• date003 item3258 8493 1 7,"• machine08 3.67
• machine10 4.83","• machine08 2
• machine10 5"
• date003 item3274 7149 0 3,• machine23 3.75,• machine23 3
• date003 item3291 179208 0 21,"• machine16 25.0
• machine05 18.5","• machine05 2
• machine16 19"
• date003 item3383 6498 0 1,"• machine23 1.83
• machine21 2.0",• machine23 1
• date003 item3472 179208 0 33,"• machine21 9.67
• machine04 7.83
• machine05 17.0","• machine05 2
• machine21 2"
• date003 item3573 86821 0 7,"• machine23 1.32
• machine32 14.0","• machine23 3
• machine32 4"
• date003 item3702 179208 0 30,• machine32 20.04,• machine32 30
• date003 item4053 179208 0 68,"• machine16 35.0
• machine19 33.21","• machine16 14
• machine19 54"
• date003 item4111 106952 0 108,"• machine28 50.0
• machine32 20.0
• machine06 18.41
• machine19 20.0","• machine06 7
• machine19 1
• machine28 3
• machine32 4"
• date003 item4165 95463 0 192,"• machine32 10.0
• machine09 7.42
• machine04 12.14
• machine33 7.82
• machine05 13.5
• machine28 9.09
• machine14 10.92
• machine20 12.69
• machine08 8.83
• machine29 8.85","• machine04 10
• machine08 9
• machine09 13
• machine14 11
• machine20 10
• machine28 10
• machine29 8
• machine32 10"
• date003 item4217 41048 1 168,"• machine20 10.0
• machine04 9.0
• machine23 7.52
• machine28 6.67
• machine21 7.5
• machine09 8.32
• machine29 7.84
• machine08 8.6
• machine10 7.79
• machine30 8.67
• machine05 7.22","• machine04 19
• machine05 14
• machine08 18
• machine09 19
• machine10 22
• machine21 9
• machine23 21
• machine28 15
• machine29 9
• machine30 21"
• date003 item427 15218 0 36,"• machine10 5.08
• machine33 6.19
• machine08 5.54
• machine21 5.46
• machine04 7.57
• machine32 8.0","• machine04 3
• machine08 4
• machine10 5
• machine21 9
• machine32 8
• machine33 6"
• date003 item4324 8493 0 4,"• machine23 4.68
• machine22 3.78","• machine22 3
• machine23 1"
• date003 item4503 10156 0 3,"• machine31 2.17
• machine22 3.93
• machine28 3.59
• machine08 2.71
• machine21 2.72
• machine23 4.17
• machine10 3.32
• machine30 2.34
• machine09 3.33",• machine31 1
• date003 item4520 6498 1 4,"• machine29 2.49
• machine23 2.25","• machine23 2
• machine29 2"
• date003 item454 73747 0 36,"• machine22 5.37
• machine30 6.02
• machine21 7.0","• machine21 17
• machine22 11
• machine30 8"
• date003 item4583 12834 0 35,"• machine28 3.5
• machine09 4.72
• machine14 3.46
• machine04 4.0
• machine21 4.49
• machine10 3.5
• machine08 5.33
• machine22 4.82
• machine30 5.41","• machine04 7
• machine08 3
• machine09 4
• machine10 6
• machine14 4
• machine21 5
• machine22 2
• machine28 1
• machine30 3"
• date003 item4633 106952 0 140,"• machine32 20.66
• machine05 16.0
• machine06 18.0
• machine20 16.0","• machine05 3
• machine06 10
• machine20 10
• machine32 1"
• date003 item4639 179208 0 94,"• machine04 15.0
• machine05 19.75
• machine29 13.93","• machine04 2
• machine05 4
• machine29 2"
• date003 item4644 6498 0 12,"• machine23 3.0
• machine21 3.33","• machine21 7
• machine23 5"
• date003 item487 6557 0 54,"• machine09 3.97
• machine32 1.17
• machine30 2.07
• machine12 3.46
• machine23 3.65
• machine29 5.9
• machine22 1.82
• machine10 3.17
• machine28 3.22
• machine21 3.59","• machine09 8
• machine10 6
• machine12 2
• machine21 8
• machine22 2
• machine23 3
• machine28 6
• machine29 6
• machine30 8
• machine32 4"
• date003 item489 109155 0 10,"• machine04 11.67
• machine23 7.98
• machine08 5.56
• machine10 13.0
• machine09 10.17
• machine22 13.67
• machine21 8.24","• machine04 1
• machine08 2
• machine09 2
• machine21 1
• machine22 2
• machine23 1"
• date003 item4927 109083 0 7,"• machine04 9.0
• machine14 7.11
• machine20 6.5","• machine04 3
• machine14 1
• machine20 3"
• date003 item4938 73747 0 38,"• machine30 8.07
• machine28 6.33
• machine09 5.97","• machine09 19
• machine28 12
• machine30 7"
• date003 item5150 27256 0 2,"• machine09 3.57
• machine30 1.63
• machine28 3.75","• machine28 1
• machine30 1"
• date003 item5427 52115 0 6,• machine34 6.7,• machine34 6
• date003 item5431 179208 0 9,• machine34 9.95,• machine34 9
• date003 item5445 6498 0 4,• machine10 2.15,• machine10 4
• date003 item5488 6498 1 2,• machine09 2.52,• machine09 2
• date003 item5507 8493 1 4,• machine21 4.35,• machine21 4
• date003 item5821 52115 0 3,• machine28 6.19,• machine28 3
• date003 item5873 8416 0 3,"• machine23 4.5
• machine28 4.5
• machine30 3.38
• machine10 3.52
• machine29 0.97
• machine21 2.39
• machine08 3.87","• machine10 1
• machine21 1"
• date003 item5895 6332 1 9,"• machine14 2.17
• machine08 2.82
• machine09 3.41
• machine21 2.62","• machine08 1
• machine09 3
• machine14 2
• machine21 3"
• date003 item600 18691 0 18,"• machine10 4.89
• machine28 5.44","• machine10 11
• machine28 7"
• date003 item6449 106952 0 198,"• machine32 3.25
• machine01 30.0
• machine19 38.82
• machine05 28.13","• machine01 10
• machine19 9
• machine32 11"
• date003 item6484 52115 0 6,• machine09 6.67,• machine09 6
• date003 item6600 18691 0 5,• machine22 5.02,• machine22 5
• date003 item6601 6498 0 5,• machine22 2.88,• machine22 5
• date003 item6612 11541 0 45,"• machine28 1.46
• machine14 4.5
• machine31 3.6
• machine07 5.46
• machine21 3.7
• machine09 5.12
• machine23 3.33
• machine22 4.52
• machine34 4.49
• machine29 1.25
• machine35 4.47
• machine33 1.32
• machine10 1.11
• machine08 4.43
• machine30 2.33","• machine07 2
• machine08 1
• machine09 2
• machine10 6
• machine14 1
• machine22 4
• machine23 4
• machine28 3
• machine29 1
• machine30 6
• machine31 5
• machine33 1
• machine34 7
• machine35 3"
• date003 item79 8416 1 3,"• machine35 1.0
• machine32 9.37
• machine10 4.1
• machine21 1.33
• machine30 0.96
• machine29 4.87
• machine22 1.1","• machine29 1
• machine30 1"
• date003 item845 109155 0 13,"• machine10 20.0
• machine09 3.75
• machine21 5.84
• machine16 3.67
• machine23 21.17
• machine14 3.07
• machine08 35.0","• machine08 1
• machine09 2
• machine10 2
• machine14 2
• machine16 2
• machine21 3
• machine23 1"
• date003 item920 10156 0 25,"• machine08 3.57
• machine04 3.17
• machine35 3.8
• machine23 3.36
• machine30 3.4
• machine21 2.8
• machine34 3.4
• machine22 3.32
• machine09 2.77","• machine04 3
• machine08 2
• machine09 4
• machine21 5
• machine22 3
• machine23 4
• machine30 2
• machine34 1
• machine35 2"
• date003 item981 105576 0 99,"• machine06 11.43
• machine17 19.6
• machine07 16.0
• machine19 11.28
• machine08 14.0
• machine03 12.71
• machine01 2.0
• machine16 11.59
• machine20 3.0","• machine01 14
• machine03 6
• machine06 12
• machine07 7
• machine08 11
• machine16 14
• machine17 9
• machine19 12
• machine20 12"
• date004 item1124 179208 0 82,"• machine04 18.17
• machine23 23.0","• machine04 2
• machine23 1"
• date004 item1129 106952 0 120,"• machine03 15.0
• machine05 11.77
• machine18 23.0
• machine19 11.75","• machine03 28
• machine05 4
• machine18 60
• machine19 28"
• date004 item1147 52115 0 12,• machine07 6.03,• machine07 12
• date004 item1322 40311 0 9,"• machine29 8.33
• machine28 11.38
• machine25 5.03
• machine14 2.0
• machine31 20.0",
• date004 item1326 52115 0 24,"• machine28 6.64
• machine09 6.0","• machine09 23
• machine28 1"
• date004 item1618 24645 0 5,"• machine31 5.54
• machine14 4.07
• machine10 5.68
• machine34 4.17
• machine35 6.25
• machine21 4.6
• machine28 5.25
• machine08 5.2
• machine26 5.67
• machine30 5.47
• machine09 4.34
• machine15 5.32
• machine04 6.26
• machine23 4.0
• machine22 4.72",
• date004 item177 9518 0 2,"• machine15 3.28
• machine29 2.01
• machine22 2.51
• machine24 0.83
• machine27 1.75
• machine09 0.67
• machine30 2.92
• machine31 4.22
• machine28 3.12
• machine04 3.67
• machine14 1.0",
• date004 item1981 179208 0 77,"• machine06 40.0
• machine19 37.5","• machine06 74
• machine19 3"
• date004 item1992 179208 0 5,• machine19 10.0,• machine19 2
• date004 item200 6498 1 2,• machine29 1.0,• machine29 2
• date004 item202 101291 0 19,• machine34 9.91,• machine34 1
• date004 item2070 179208 0 20,• machine04 40.0,• machine04 20
• date004 item2152 81204 0 16,"• machine23 8.75
• machine33 8.94","• machine23 8
• machine33 8"
• date004 item2153 52115 0 6,"• machine29 6.83
• machine09 6.0",
• date004 item274 27256 1 6,"• machine07 3.0
• machine31 2.17
• machine23 1.0","• machine07 4
• machine23 1
• machine31 2"
• date004 item2905 77242 1 7,"• machine10 7.67
• machine08 6.82","• machine08 4
• machine10 3"
• date004 item294 179208 0 11,"• machine32 11.05
• machine05 12.0","• machine05 1
• machine32 1"
• date004 item2969 81204 0 32,"• machine08 8.5
• machine23 8.5",• machine23 1
• date004 item2987 179208 0 22,• machine19 22.0,
• date004 item3244 179208 1 13,• machine05 26.8,• machine05 13
• date004 item3281 179208 0 34,• machine33 17.17,• machine33 34
• date004 item3432 6498 0 4,• machine32 2.0,
• date004 item3471 15483 0 29,"• machine08 5.32
• machine28 4.82
• machine33 4.83
• machine23 4.59
• machine09 3.9
• machine21 3.32
• machine30 6.17","• machine08 7
• machine09 2
• machine21 1
• machine23 2
• machine28 5
• machine30 2
• machine33 7"
• date004 item3583 43937 1 32,"• machine21 7.33
• machine23 7.32
• machine35 6.0
• machine05 12.0","• machine05 9
• machine21 6
• machine23 11
• machine35 7"
• date004 item3648 106952 0 106,"• machine08 17.5
• machine04 12.3
• machine28 10.44
• machine10 14.53","• machine04 2
• machine08 4
• machine10 5
• machine28 6"
• date004 item3963 6498 0 2,• machine29 1.0,
• date004 item4003 179208 0 10,"• machine33 11.5
• machine32 10.0","• machine32 7
• machine33 3"
• date004 item4007 28824 0 22,"• machine10 4.16
• machine08 3.79
• machine29 4.55","• machine08 8
• machine10 5
• machine29 1"
• date004 item4109 6498 0 2,• machine30 1.0,• machine30 2
• date004 item4296 16801 1 5,"• machine33 5.55
• machine23 6.0
• machine08 4.53
• machine30 8.33
• machine10 5.5
• machine32 4.66
• machine21 4.0","• machine08 1
• machine10 1
• machine21 1
• machine30 1"
• date004 item4594 86821 0 28,"• machine32 5.83
• machine21 9.83",• machine21 1
• date004 item473 95463 0 108,"• machine30 3.3
• machine33 2.43
• machine31 5.0
• machine08 1.07
• machine22 3.7
• machine35 4.05
• machine32 83.33
• machine07 2.0
• machine09 3.3
• machine21 2.43","• machine07 3
• machine08 13
• machine09 1
• machine21 5
• machine22 8
• machine30 12
• machine31 2
• machine32 5
• machine33 10
• machine35 9"
• date004 item4816 179208 0 57,• machine06 28.83,• machine06 48
• date004 item4864 77242 0 15,• machine10 7.5,• machine10 5
• date004 item4888 6498 0 1,"• machine03 0.23
• machine21 1.4",• machine03 1
• date004 item4973 179208 0 21,"• machine04 18.32
• machine05 24.13",
• date004 item4978 6498 0 2,• machine21 2.17,• machine21 1
• date004 item4982 6498 0 1,• machine14 1.07,• machine14 1
• date004 item5021 106952 0 18,"• machine06 18.67
• machine17 18.0
• machine32 16.48
• machine16 20.4","• machine06 5
• machine16 7
• machine17 4
• machine32 2"
• date004 item5034 7149 1 1,• machine23 3.8,• machine23 1
• date004 item5240 6498 1 5,• machine30 2.7,• machine30 5
• date004 item5250 179208 0 78,"• machine33 12.68
• machine32 12.25
• machine06 15.92","• machine06 3
• machine32 6
• machine33 69"
• date004 item5433 8065 0 8,• machine10 4.0,• machine10 8
• date004 item5437 179208 0 79,"• machine20 28.57
• machine18 30.0
• machine05 21.67","• machine05 3
• machine18 2
• machine20 3"
• date004 item5615 101291 0 9,• machine23 9.92,• machine23 9
• date004 item5783 22142 0 34,"• machine09 2.88
• machine08 2.79
• machine30 10.37
• machine22 3.75","• machine08 9
• machine09 8
• machine22 9
• machine30 9"
• date004 item5857 179208 0 24,• machine32 12.15,• machine32 24
• date004 item6069 6498 1 1,• machine08 1.5,• machine08 1
• date004 item6267 6332 1 2,"• machine31 3.21
• machine23 2.73
• machine09 2.32
• machine35 2.2","• machine23 1
• machine31 1"
• date004 item6298 52115 0 10,• machine28 5.45,• machine28 6
• date004 item6507 179208 0 380,• machine19 190.0,• machine19 380
• date004 item730 52115 0 22,"• machine14 5.0
• machine23 6.0","• machine14 9
• machine23 1"
• date004 item806 6498 1 10,"• machine08 1.5
• machine09 4.67","• machine08 6
• machine09 4"
• date004 item908 179208 0 124,"• machine19 33.43
• machine06 29.6","• machine06 63
• machine19 61"
• date004 item938 15015 0 44,"• machine23 6.0
• machine30 6.5
• machine21 5.75
• machine08 5.72","• machine08 9
• machine21 6
• machine23 4
• machine30 8"
• date005 item1111 39310 0 66,"• machine21 7.2
• machine28 8.17
• machine23 6.25
• machine10 6.97
• machine31 6.67","• machine10 35
• machine21 22
• machine23 4
• machine28 1
• machine31 4"
