중산도면,단가,수량,영업납기,선급
50576,8416,30,2021-01-08,0
50594,40323,4,2021-01-31,0
50594,40323,14,2021-08-23,0
50594,40323,28,2021-10-01,0
50595,106952,11,2021-11-17,0
50595,106952,46,2021-08-31,0
50595,106952,92,2021-01-26,0
50610,86821,4,2021-07-18,0
50610,86821,8,2021-05-24,1
50610,86821,16,2021-11-19,1
50611,18691,2,2021-09-25,0
50611,18691,5,2021-08-09,0
50611,18691,10,2021-03-22,0
50631,33640,4,2021-01-20,1
50631,33640,12,2021-08-25,0
50631,33640,24,2021-06-13,0
50636,27256,1,2021-01-18,0
50636,27256,5,2021-07-13,0
50636,27256,10,2021-09-26,0
50640,26391,4,2021-12-09,0
50640,26391,35,2021-01-09,1
50640,26391,70,2021-10-17,0
50645,6516,2,2021-06-18,0
50645,6516,11,2021-08-28,0
50645,6516,22,2021-09-25,0
50647,6498,1,2021-05-11,0
50647,6498,2,2021-12-23,0
50647,6498,4,2021-09-18,0
50650,52115,6,2021-01-18,1
50650,52115,12,2021-04-30,0
50650,52115,24,2021-11-01,1
50662,179208,27,2021-03-20,0
50662,179208,54,2021-01-06,0
50662,179208,108,2021-06-06,0
50663,81204,8,2021-09-08,1
50663,81204,17,2021-03-28,1
50663,81204,34,2021-08-10,0
50666,7149,1,2021-12-07,0
50666,7149,3,2021-01-22,0
50666,7149,7,2021-09-24,0
50668,6498,1,2021-10-15,0
50668,6498,1,2021-11-27,0
50668,6498,3,2021-11-18,0
50673,179208,15,2021-07-15,1
50673,179208,31,2021-10-26,0
50673,179208,62,2021-02-01,0
50675,27256,2,2021-04-05,1
50675,27256,7,2021-02-01,0
50675,27256,14,2021-04-01,0
50691,109155,26,2021-03-01,0
50691,109155,183,2021-01-14,0
50691,109155,366,2021-12-24,0
50696,27256,1,2021-10-17,0
50696,27256,3,2021-01-28,0
50696,27256,6,2021-12-15,1
50701,29252,4,2021-12-06,0
50701,29252,11,2021-04-08,0
50701,29252,22,2021-05-01,0
50711,33644,5,2021-09-20,0
50711,33644,38,2021-06-20,0
50711,33644,76,2021-07-23,0
50713,8416,3,2021-12-30,0
50713,8416,20,2021-10-29,1
50713,8416,40,2021-10-21,1
50758,6498,1,2021-02-12,0
50758,6498,1,2021-07-16,0
50758,6498,2,2021-07-07,0
50761,8065,4,2021-02-28,0
50761,8065,8,2021-08-21,0
50761,8065,16,2021-06-23,0
50766,6498,1,2021-10-12,1
50766,6498,3,2021-04-13,1
50766,6498,6,2021-03-17,0
50826,179208,10,2021-12-04,0
50826,179208,20,2021-01-27,0
50826,179208,40,2021-11-25,0
50828,179208,27,2021-08-12,0
50828,179208,53,2021-09-10,0
50828,179208,106,2021-04-16,0
50829,179208,30,2021-03-29,0
50829,179208,90,2021-05-27,1
50829,179208,180,2021-02-12,0
50830,104092,15,2021-02-20,1
50830,104092,77,2021-11-08,0
50830,104092,154,2021-08-04,0
50834,18691,2,2021-02-27,0
50834,18691,5,2021-05-01,1
50834,18691,10,2021-02-02,0
50845,6498,1,2021-09-12,0
50845,6498,2,2021-05-31,1
50845,6498,4,2021-01-26,0
50854,6498,1,2021-08-19,0
50854,6498,1,2021-03-24,0
50854,6498,2,2021-03-18,0
50863,6498,1,2021-10-22,0
50863,6498,1,2021-07-13,1
50863,6498,3,2021-04-07,0
50867,52115,5,2021-12-19,1
50867,52115,11,2021-10-20,0
50867,52115,22,2021-11-21,0
50868,6498,3,2021-03-26,0
50868,6498,6,2021-10-24,0
50868,6498,12,2021-05-23,0
50869,6498,2,2021-03-02,0
50869,6498,4,2021-03-25,0
50869,6498,8,2021-07-20,1
50873,7168,3,2021-11-23,0
50873,7168,17,2021-09-21,0
50873,7168,34,2021-11-18,0
50874,6516,3,2021-01-20,0
50874,6516,15,2021-08-13,0
50874,6516,30,2021-03-06,0
50875,27256,2,2021-10-25,0
50875,27256,8,2021-03-06,0
50875,27256,16,2021-10-19,0
50897,52115,6,2021-08-08,0
50897,52115,13,2021-01-15,0
50897,52115,26,2021-07-19,0
50927,33960,6,2021-08-09,0
50927,33960,47,2021-05-13,0
50927,33960,94,2021-12-22,0
50928,38087,8,2021-04-26,1
50928,38087,77,2021-07-02,0
50928,38087,154,2021-04-19,0
50930,8493,4,2021-03-08,0
50930,8493,8,2021-12-21,0
50930,8493,16,2021-06-01,0
50931,179208,13,2021-11-22,0
50931,179208,26,2021-01-08,0
50931,179208,52,2021-05-21,0
50932,179208,10,2021-05-18,0
50932,179208,20,2021-12-12,0
50932,179208,40,2021-03-20,1
50933,179208,7,2021-09-20,0
50933,179208,15,2021-07-07,0
50933,179208,30,2021-10-08,0
50938,27256,2,2021-03-25,0
50938,27256,5,2021-09-23,0
50938,27256,10,2021-01-22,0
50940,6557,3,2021-02-08,0
50940,6557,26,2021-05-28,0
50940,6557,52,2021-07-16,0
50969,179208,5,2021-11-12,0
50969,179208,10,2021-09-29,0
50969,179208,20,2021-05-26,0
50994,6498,3,2021-07-30,0
50994,6498,5,2021-07-10,0
50994,6498,10,2021-01-07,0
51018,34772,5,2021-09-26,0
51018,34772,15,2021-08-22,0
51018,34772,30,2021-06-25,0
51019,6332,2,2021-12-25,1
51019,6332,10,2021-10-26,1
51019,6332,20,2021-10-29,0
51048,109083,7,2021-12-18,1
51048,109083,22,2021-03-15,0
51048,109083,44,2021-11-23,1
51049,81204,8,2021-04-15,1
51049,81204,17,2021-03-15,0
51049,81204,34,2021-10-31,0
51050,104092,26,2021-06-27,1
51050,104092,134,2021-02-09,0
51050,104092,268,2021-12-08,1
51051,106952,51,2021-01-09,0
51051,106952,207,2021-10-20,0
51051,106952,414,2021-04-24,0
51052,104092,50,2021-01-07,1
51052,104092,301,2021-04-09,0
51052,104092,602,2021-03-21,0
51053,106952,51,2021-12-23,0
51053,106952,205,2021-04-30,0
51053,106952,410,2021-09-14,0
51054,179208,95,2021-04-30,0
51054,179208,190,2021-08-11,0
51054,179208,380,2021-01-04,0
51056,109155,58,2021-12-15,0
51056,109155,408,2021-05-30,0
51056,109155,816,2021-09-25,0
51058,104092,30,2021-04-27,0
51058,104092,154,2021-02-13,0
51058,104092,308,2021-08-07,1
51059,179208,16,2021-12-04,0
51059,179208,32,2021-07-24,0
51059,179208,64,2021-04-06,0
51060,179208,41,2021-02-18,1
51060,179208,82,2021-01-08,0
51060,179208,164,2021-04-15,0
51061,104092,26,2021-10-15,1
51061,104092,157,2021-06-17,0
51061,104092,314,2021-05-04,0
51079,23153,5,2021-06-24,0
51079,23153,45,2021-02-22,1
51079,23153,90,2021-07-18,0
51080,6498,3,2021-08-12,0
51080,6498,6,2021-03-12,1
51080,6498,12,2021-01-29,1
51081,6498,3,2021-09-30,0
51081,6498,5,2021-12-06,0
51081,6498,10,2021-09-07,0
51082,8493,4,2021-09-07,0
51082,8493,8,2021-07-24,0
51082,8493,16,2021-10-01,0
51083,8065,3,2021-11-23,1
51083,8065,7,2021-08-14,0
51083,8065,14,2021-10-23,0
51108,102669,8,2021-04-21,0
51108,102669,24,2021-11-10,1
51108,102669,48,2021-08-26,0
51121,45856,7,2021-05-28,0
51121,45856,67,2021-12-09,0
51121,45856,134,2021-07-20,0
51122,43937,8,2021-03-11,0
51122,43937,33,2021-07-25,1
51122,43937,66,2021-01-13,0
51125,104092,15,2021-02-11,0
51125,104092,74,2021-02-13,0
51125,104092,148,2021-05-04,0
51128,179208,14,2021-05-29,0
51128,179208,44,2021-07-03,0
51128,179208,88,2021-05-07,0
51129,14698,5,2021-12-18,0
51129,14698,21,2021-01-30,0
51129,14698,42,2021-08-30,0
51139,7168,3,2021-11-04,0
51139,7168,20,2021-08-31,0
51139,7168,40,2021-04-14,0
51140,21121,3,2021-03-30,0
51140,21121,28,2021-11-28,0
51140,21121,56,2021-07-18,1
51141,9195,4,2021-05-11,1
51141,9195,24,2021-12-14,0
51141,9195,48,2021-04-04,0
51146,8416,2,2021-11-12,1
51146,8416,14,2021-05-10,0
51146,8416,28,2021-07-31,0
51147,20470,3,2021-01-22,0
51147,20470,26,2021-07-05,0
51147,20470,52,2021-10-04,0
51155,6498,1,2021-04-15,0
51155,6498,1,2021-02-23,0
51155,6498,2,2021-10-22,0
51160,52115,3,2021-07-26,0
51160,52115,6,2021-01-03,0
51160,52115,13,2021-02-08,0
51181,106952,31,2021-05-14,0
51181,106952,127,2021-10-22,1
51181,106952,254,2021-08-02,0
51186,6516,2,2021-06-25,0
51186,6516,10,2021-08-22,0
51186,6516,20,2021-07-06,0
51194,6498,1,2021-06-02,0
51194,6498,2,2021-06-20,1
51194,6498,4,2021-12-22,1
51198,179208,15,2021-11-13,0
51198,179208,31,2021-06-22,0
51198,179208,62,2021-05-28,0
51199,16801,5,2021-09-08,0
51199,16801,37,2021-05-09,0
51199,16801,74,2021-09-25,0
51201,179208,7,2021-06-01,0
51201,179208,15,2021-08-09,0
51201,179208,30,2021-12-04,0
51202,17118,5,2021-12-17,0
51202,17118,39,2021-05-03,1
51202,17118,78,2021-09-01,1
51210,145749,10,2021-10-29,0
51210,145749,83,2021-09-03,1
51210,145749,166,2021-09-23,0
51211,20470,2,2021-06-23,1
51211,20470,15,2021-04-15,0
51211,20470,30,2021-01-26,0
51217,6498,1,2021-09-25,0
51217,6498,2,2021-02-06,0
51217,6498,4,2021-07-09,0
51219,179208,57,2021-01-15,0
51219,179208,115,2021-07-22,0
51219,179208,230,2021-07-04,0
51228,52115,6,2021-03-31,0
51228,52115,12,2021-12-27,0
51228,52115,24,2021-09-16,0
51259,6498,1,2021-08-16,0
51259,6498,2,2021-06-16,0
51259,6498,4,2021-01-24,0
51269,179208,18,2021-02-06,0
51269,179208,54,2021-05-12,0
51269,179208,108,2021-03-25,0
51270,40772,7,2021-11-11,0
51270,40772,28,2021-10-26,0
51270,40772,56,2021-03-22,1
51272,109155,12,2021-05-26,0
51272,109155,89,2021-08-05,1
51272,109155,178,2021-05-24,0
51273,39310,7,2021-09-25,0
51273,39310,33,2021-02-27,1
51273,39310,66,2021-05-18,0
51282,6498,1,2021-01-31,0
51282,6498,3,2021-02-13,0
51282,6498,7,2021-07-13,0
51283,179208,5,2021-11-07,0
51283,179208,11,2021-01-11,0
51283,179208,23,2021-04-07,0
51292,6498,2,2021-12-03,0
51292,6498,4,2021-05-27,0
51292,6498,8,2021-02-09,0
51310,9195,4,2021-03-28,0
51310,9195,20,2021-05-21,0
51310,9195,40,2021-12-24,0
51318,6516,2,2021-05-04,0
51318,6516,13,2021-12-07,0
51318,6516,26,2021-10-16,0
51340,179208,32,2021-05-06,1
51340,179208,97,2021-08-01,0
51340,179208,194,2021-04-30,1
51341,106952,27,2021-10-01,0
51341,106952,108,2021-01-12,0
51341,106952,216,2021-10-31,1
51360,7149,1,2021-07-03,0
51360,7149,3,2021-03-10,0
51360,7149,7,2021-09-17,0
51361,18691,5,2021-02-12,0
51361,18691,10,2021-11-05,0
51361,18691,20,2021-11-19,1
51368,15015,5,2021-10-24,0
51368,15015,21,2021-05-15,0
51368,15015,42,2021-05-19,1
51433,179208,21,2021-02-22,0
51433,179208,42,2021-03-09,0
51433,179208,85,2021-01-20,0
51434,95463,19,2021-05-22,0
51434,95463,193,2021-04-14,1
51434,95463,386,2021-01-28,0
51436,109155,60,2021-05-23,0
51436,109155,418,2021-02-14,0
51436,109155,836,2021-10-04,0
51437,145749,41,2021-05-30,1
51437,145749,329,2021-09-25,0
51437,145749,658,2021-12-11,0
51438,100388,14,2021-11-22,1
51438,100388,221,2021-01-11,0
51438,100388,442,2021-06-28,0
51441,24026,6,2021-05-27,0
51441,24026,89,2021-11-03,0
51441,24026,178,2021-03-05,0
51442,100388,11,2021-04-09,0
51442,100388,213,2021-07-15,0
51442,100388,426,2021-01-23,0
51443,106952,25,2021-07-07,1
51443,106952,99,2021-11-23,0
51443,106952,198,2021-01-03,0
51446,179208,16,2021-02-20,0
51446,179208,33,2021-11-12,0
51446,179208,66,2021-08-27,0
51447,106952,12,2021-03-29,1
51447,106952,48,2021-03-29,0
51447,106952,96,2021-03-31,0
51448,179208,22,2021-04-05,0
51448,179208,45,2021-07-29,0
51448,179208,90,2021-11-22,0
51449,145749,35,2021-10-05,0
51449,145749,282,2021-07-19,0
51449,145749,564,2021-02-28,0
51450,43171,9,2021-03-29,0
51450,43171,35,2021-02-16,0
51450,43171,70,2021-03-15,0
51451,106952,29,2021-05-02,0
51451,106952,118,2021-05-13,0
51451,106952,236,2021-09-09,0
51454,13583,4,2021-06-01,0
51454,13583,27,2021-09-30,0
51454,13583,54,2021-03-01,1
51455,23912,5,2021-01-05,1
51455,23912,57,2021-05-25,1
51455,23912,114,2021-03-28,1
51489,179208,57,2021-09-08,1
51489,179208,115,2021-10-26,0
51489,179208,230,2021-04-27,0
51500,179208,11,2021-02-25,0
51500,179208,22,2021-03-16,0
51500,179208,44,2021-05-06,0
51504,6498,1,2021-12-17,0
51504,6498,1,2021-03-17,1
51504,6498,2,2021-01-27,0
51505,27256,1,2021-02-23,0
51505,27256,3,2021-08-27,0
51505,27256,6,2021-07-11,0
51507,20470,2,2021-03-15,0
51507,20470,18,2021-12-28,0
51507,20470,36,2021-11-29,0
51508,104092,11,2021-11-20,1
51508,104092,66,2021-11-23,0
51508,104092,132,2021-10-13,0
51509,20470,3,2021-03-03,0
51509,20470,24,2021-07-08,0
51509,20470,48,2021-12-18,0
51510,11735,3,2021-03-31,0
51510,11735,41,2021-04-12,0
51510,11735,82,2021-12-22,0
51513,27256,2,2021-11-12,0
51513,27256,7,2021-09-24,0
51513,27256,14,2021-12-29,1
51514,6498,3,2021-06-14,1
51514,6498,7,2021-02-21,0
51514,6498,14,2021-01-16,0
51517,179208,17,2021-04-23,0
51517,179208,35,2021-11-18,0
51517,179208,70,2021-12-22,1
51561,8493,4,2021-03-13,1
51561,8493,8,2021-12-09,0
51561,8493,16,2021-09-18,1
51563,6498,2,2021-10-09,0
51563,6498,4,2021-10-07,0
51563,6498,8,2021-01-18,0
51583,32141,9,2021-10-12,0
51583,32141,131,2021-02-07,0
51583,32141,262,2021-07-23,1
51584,41077,8,2021-12-24,1
51584,41077,51,2021-06-02,0
51584,41077,102,2021-03-26,0
51586,15218,6,2021-06-22,0
51586,15218,38,2021-01-19,0
51586,15218,76,2021-11-04,0
51587,179208,11,2021-08-18,0
51587,179208,33,2021-04-25,0
51587,179208,66,2021-07-30,0
51598,179208,20,2021-05-21,0
51598,179208,39,2021-12-21,1
51598,179208,78,2021-04-10,0
51604,86821,7,2021-01-01,0
51604,86821,15,2021-12-29,1
51604,86821,30,2021-11-22,0
51612,6498,1,2021-03-15,1
51612,6498,2,2021-07-25,0
51612,6498,4,2021-02-24,0
51613,105576,15,2021-08-10,1
51613,105576,132,2021-12-22,0
51613,105576,264,2021-09-21,0
51614,179208,30,2021-05-14,0
51614,179208,89,2021-12-24,0
51614,179208,178,2021-07-30,1
51616,81393,8,2021-06-03,1
51616,81393,65,2021-05-15,1
51616,81393,130,2021-09-28,0
51620,6516,2,2021-10-21,0
51620,6516,9,2021-02-04,0
51620,6516,18,2021-06-30,1
51621,179208,5,2021-11-27,1
51621,179208,10,2021-10-15,0
51621,179208,21,2021-07-26,1
51625,27256,3,2021-10-16,0
51625,27256,10,2021-10-10,0
51625,27256,20,2021-03-18,0
51626,179208,33,2021-04-12,1
51626,179208,100,2021-03-01,1
51626,179208,200,2021-01-12,0
51627,6557,2,2021-10-26,0
51627,6557,18,2021-03-29,0
51627,6557,36,2021-12-10,0
51628,11941,2,2021-01-25,0
51628,11941,30,2021-08-25,0
51628,11941,60,2021-02-05,0
51633,21121,3,2021-01-29,0
51633,21121,26,2021-05-15,0
51633,21121,52,2021-05-31,0
51634,6498,3,2021-01-18,0
51634,6498,6,2021-07-22,0
51634,6498,12,2021-01-16,0
51638,104092,32,2021-10-07,0
51638,104092,194,2021-08-29,0
51638,104092,388,2021-03-24,1
51646,6498,2,2021-05-28,0
51646,6498,4,2021-08-11,1
51646,6498,8,2021-02-01,1
51701,179208,61,2021-12-29,0
51701,179208,123,2021-07-18,0
51701,179208,246,2021-03-13,0
51711,6498,1,2021-12-20,1
51711,6498,1,2021-03-10,1
51711,6498,2,2021-10-02,0
51715,100388,16,2021-08-22,0
51715,100388,196,2021-12-11,0
51715,100388,392,2021-01-28,0
51716,95463,11,2021-02-09,1
51716,95463,112,2021-07-12,0
51716,95463,224,2021-04-26,0
51717,105576,34,2021-07-20,1
51717,105576,304,2021-09-13,0
51717,105576,608,2021-08-05,0
51718,8333,3,2021-06-22,0
51718,8333,44,2021-09-23,0
51718,8333,88,2021-12-05,0
51726,104092,25,2021-05-28,0
51726,104092,150,2021-11-05,1
51726,104092,300,2021-08-23,0
51729,16724,4,2021-06-06,0
51729,16724,40,2021-07-22,1
51729,16724,80,2021-08-09,0
51730,21121,3,2021-07-20,0
51730,21121,27,2021-12-02,0
51730,21121,54,2021-02-19,0
51782,41210,7,2021-01-30,0
51782,41210,47,2021-06-04,0
51782,41210,94,2021-12-16,0
51792,7149,3,2021-04-09,0
51792,7149,7,2021-09-08,1
51792,7149,14,2021-02-14,0
51794,106952,15,2021-10-09,0
51794,106952,60,2021-04-26,0
51794,106952,120,2021-11-05,0
51795,179208,47,2021-09-05,0
51795,179208,95,2021-08-12,1
51795,179208,191,2021-04-23,0
51797,104092,31,2021-02-11,0
51797,104092,186,2021-07-11,0
51797,104092,372,2021-02-24,0
51799,8416,2,2021-03-07,0
51799,8416,17,2021-01-06,0
51799,8416,34,2021-08-31,0
51800,27256,2,2021-07-23,0
51800,27256,7,2021-08-06,0
51800,27256,14,2021-03-03,0
51815,6516,2,2021-04-02,1
51815,6516,10,2021-06-08,0
51815,6516,20,2021-10-31,0
51818,95463,48,2021-06-07,0
51818,95463,479,2021-10-21,1
51818,95463,958,2021-05-20,1
51822,27256,2,2021-04-29,0
51822,27256,8,2021-07-21,0
51822,27256,16,2021-08-08,0
51823,27256,3,2021-09-22,0
51823,27256,8,2021-10-22,0
51823,27256,16,2021-04-26,0
51824,179208,23,2021-07-10,0
51824,179208,45,2021-01-24,0
51824,179208,90,2021-12-16,1
51833,179208,13,2021-12-10,0
51833,179208,27,2021-07-02,0
51833,179208,54,2021-12-03,0
51840,179208,10,2021-11-06,0
51840,179208,31,2021-04-06,0
51840,179208,62,2021-11-30,0
51862,24848,4,2021-11-26,0
51862,24848,50,2021-07-30,0
51862,24848,100,2021-01-24,1
51864,179208,42,2021-03-01,0
51864,179208,128,2021-12-17,0
51864,179208,256,2021-01-30,0
51878,179208,15,2021-02-28,0
51878,179208,45,2021-09-29,1
51878,179208,90,2021-08-15,0
51882,179208,14,2021-11-22,0
51882,179208,42,2021-07-19,0
51882,179208,84,2021-09-21,0
51891,6516,2,2021-09-07,0
51891,6516,14,2021-02-13,0
51891,6516,28,2021-07-22,1
51898,6498,1,2021-01-24,0
51898,6498,2,2021-03-10,0
51898,6498,4,2021-10-30,0
51901,6498,1,2021-12-28,0
51901,6498,2,2021-01-09,0
51901,6498,4,2021-02-27,0
51910,7168,3,2021-01-23,0
51910,7168,20,2021-09-04,0
51910,7168,40,2021-08-17,0
51912,8600,4,2021-05-03,0
51912,8600,18,2021-03-24,0
51912,8600,36,2021-02-28,0
51913,28824,4,2021-03-12,0
51913,28824,11,2021-02-07,0
51913,28824,22,2021-02-02,0
51914,29252,4,2021-01-06,0
51914,29252,12,2021-06-07,0
51914,29252,24,2021-10-14,1
51916,179208,5,2021-05-07,0
51916,179208,10,2021-10-24,0
51916,179208,21,2021-05-01,1
51918,109155,23,2021-05-01,0
51918,109155,163,2021-03-01,0
51918,109155,326,2021-02-14,0
51926,104092,15,2021-10-25,0
51926,104092,92,2021-01-29,0
51926,104092,184,2021-08-06,0
51928,145749,17,2021-05-17,0
51928,145749,135,2021-05-10,0
51928,145749,270,2021-12-14,1
51929,106952,12,2021-01-14,0
51929,106952,48,2021-12-06,0
51929,106952,96,2021-06-26,0
51969,27256,2,2021-08-25,0
51969,27256,6,2021-06-04,0
51969,27256,12,2021-01-06,0
52001,100388,11,2021-10-21,0
52001,100388,199,2021-11-08,0
52001,100388,398,2021-01-09,0
52002,179208,11,2021-10-08,0
52002,179208,33,2021-05-24,0
52002,179208,66,2021-08-31,1
52005,20951,5,2021-10-22,0
52005,20951,51,2021-04-09,1
52005,20951,102,2021-06-20,0
52006,106952,15,2021-05-07,0
52006,106952,62,2021-07-07,1
52006,106952,124,2021-02-12,0
52008,9518,3,2021-06-30,0
52008,9518,30,2021-02-27,0
52008,9518,60,2021-10-08,0
52009,43171,9,2021-12-24,0
52009,43171,35,2021-11-20,1
52009,43171,70,2021-05-26,0
52010,33960,6,2021-12-28,1
52010,33960,46,2021-06-12,0
52010,33960,92,2021-09-26,0
52018,179208,9,2021-05-23,0
52018,179208,18,2021-03-30,1
52018,179208,36,2021-09-14,0
52027,8600,4,2021-10-06,0
52027,8600,18,2021-01-27,0
52027,8600,36,2021-02-18,1
52029,24244,5,2021-06-28,0
52029,24244,33,2021-01-19,1
52029,24244,66,2021-02-08,0
52037,6498,2,2021-03-29,0
52037,6498,4,2021-03-27,0
52037,6498,8,2021-07-13,0
52038,6516,2,2021-02-16,0
52038,6516,10,2021-09-20,0
52038,6516,20,2021-07-13,1
52039,15218,6,2021-08-17,0
52039,15218,36,2021-09-04,0
52039,15218,72,2021-04-01,0
52056,10156,3,2021-01-06,1
52056,10156,27,2021-03-16,0
52056,10156,54,2021-07-04,0
52057,6516,2,2021-07-12,0
52057,6516,8,2021-08-09,0
52057,6516,16,2021-01-20,0
52062,179208,13,2021-07-16,0
52062,179208,26,2021-09-17,0
52062,179208,52,2021-08-26,0
52063,102669,8,2021-03-12,0
52063,102669,25,2021-01-31,0
52063,102669,50,2021-11-08,0
52064,27256,2,2021-08-22,0
52064,27256,6,2021-08-01,0
52064,27256,12,2021-11-08,0
52065,179208,10,2021-08-22,0
52065,179208,30,2021-03-27,0
52065,179208,60,2021-12-10,0
52066,14413,4,2021-11-21,0
52066,14413,58,2021-09-11,0
52066,14413,116,2021-06-30,0
52067,32174,8,2021-04-10,0
52067,32174,95,2021-11-17,0
52067,32174,190,2021-03-18,0
52072,179208,11,2021-04-26,0
52072,179208,23,2021-05-09,0
52072,179208,46,2021-12-22,1
52074,15218,6,2021-01-16,0
52074,15218,34,2021-01-26,0
52074,15218,68,2021-10-15,0
52077,6498,1,2021-06-29,0
52077,6498,2,2021-09-15,1
