order,gt
date023 item475 6498 0 4,machine09 1 • machine22 3
date337 item3143 8065 0 4,machine29 4
date235 item1875 27256 0 18,machine08 9 • machine23 3 • machine28 7
date070 item3552 179208 1 5,machine14 5
date003 item5873 8416 0 3,machine10 1 • machine23 1 • machine28 1 • machine30 1
date018 item447 7149 0 7,machine24 7
date166 item5835 179208 0 40,machine03 20 • machine16 17 • machine19 3
date332 item6489 21121 0 28,machine07 5 • machine08 4 • machine14 4 • machine22 2 • machine23 2 • machine31 5 • machine34 1 • machine35 4
date089 item3984 179208 0 15,machine05 15
date041 item3182 9195 1 4,machine08 1 • machine09 1 • machine10 1 • machine32 1
date277 item1709 6498 1 7,machine08 7
date049 item569 8493 0 8,machine28 8
date079 item4761 8065 1 2,machine10 2
date143 item5551 179208 0 40,machine09 30 • machine34 10
date238 item6235 6332 0 10,machine09 3 • machine23 2 • machine28 4
date339 item3812 12500 0 28,machine08 3 • machine09 4 • machine10 3 • machine21 6 • machine23 4 • machine28 6 • machine29 2
date191 item5282 179208 0 80,machine04 32 • machine23 48
date351 item5443 11941 0 2,nan
date338 item1444 179208 0 23,machine01 2 • machine06 10 • machine19 11
date205 item5001 104092 0 25,machine03 10 • machine06 8 • machine19 4 • machine20 4
date037 item4593 12881 0 18,machine10 3 • machine31 15
date056 item952 6498 0 6,machine09 3 • machine23 3
date360 item88 6498 0 1,machine28 1
date172 item3568 6498 0 4,machine21 4
date105 item5008 104092 1 226,machine01 74 • machine03 26 • machine05 9 • machine06 26 • machine16 77 • machine20 15
date332 item3226 33640 0 26,machine10 6 • machine23 17 • machine28 3
date106 item919 14481 1 56,machine04 15 • machine09 3 • machine10 3 • machine14 1 • machine23 4 • machine28 4 • machine30 1 • machine31 19 • machine35 6
date365 item1055 179208 0 63,machine06 46 • machine19 17
date237 item5641 179208 0 52,machine03 52
date104 item2300 6498 0 3,machine10 3
date264 item113 14698 0 44,machine08 15 • machine21 11 • machine23 14 • machine30 3
date141 item5220 27256 0 14,machine09 7 • machine23 3 • machine30 4
date064 item614 6498 1 8,machine23 5 • machine28 3
date191 item2263 6498 1 5,machine08 3 • machine21 2
date194 item1472 100388 1 181,machine04 24 • machine05 4 • machine07 24 • machine08 16 • machine09 4 • machine10 15 • machine14 13 • machine21 6 • machine23 20 • machine24 12 • machine28 16 • machine29 9 • machine32 2 • machine33 15
date153 item2794 179208 0 156,machine05 30 • machine20 51 • machine32 75
date290 item216 21887 0 5,machine11 1 • machine15 1 • machine21 1 • machine34 1
date105 item889 32174 0 101,machine04 15 • machine05 14 • machine09 5 • machine10 1 • machine14 11 • machine20 10 • machine23 6 • machine28 14 • machine31 3 • machine34 11 • machine35 11
date310 item5690 6498 0 1,machine34 1
date112 item5084 179208 1 57,machine05 23 • machine16 20 • machine20 14
date100 item3222 86940 0 62,machine08 6 • machine09 12 • machine10 8 • machine14 4 • machine21 12 • machine23 1 • machine28 12 • machine33 7
date188 item4524 6498 0 1,machine29 1
date019 item1472 100388 1 362,machine04 13 • machine05 42 • machine07 12 • machine08 21 • machine09 31 • machine10 34 • machine14 13 • machine21 38 • machine23 32 • machine24 25 • machine28 29 • machine29 20 • machine32 7 • machine33 45
date198 item2495 77242 0 3,machine21 3
date343 item5872 7149 1 1,machine24 1
date135 item347 6498 1 1,machine21 1
date249 item3814 6498 0 1,machine30 1
date173 item584 14481 0 59,machine04 1 • machine05 8 • machine14 8 • machine16 9 • machine21 6 • machine23 11 • machine31 3 • machine32 3 • machine35 10
date344 item5929 6498 1 2,machine32 2
date118 item2215 81393 0 67,machine04 5 • machine05 1 • machine08 12 • machine09 1 • machine23 6 • machine28 10 • machine29 16 • machine33 16
date332 item2039 103554 0 9,machine04 4 • machine21 5
date155 item2212 40311 0 9,machine08 2 • machine09 2 • machine21 2 • machine23 2 • machine28 1
date312 item2641 6332 0 1,nan
date106 item350 6498 0 2,machine28 2
date012 item5155 6332 0 8,machine10 4 • machine21 1 • machine28 3
date303 item646 104092 0 136,machine04 36 • machine05 29 • machine10 1 • machine20 19 • machine23 45 • machine34 6
date182 item578 9067 0 44,machine07 15 • machine08 4 • machine09 6 • machine10 3 • machine30 2 • machine31 2 • machine34 12
date360 item3850 6498 0 5,machine21 5
date281 item62 6498 0 1,machine10 1
date242 item3495 50351 0 28,machine04 5 • machine10 1 • machine23 11 • machine28 11
date031 item3446 179208 0 25,machine32 25
date206 item1806 6498 0 3,machine08 2 • machine09 1
date174 item5718 6498 0 5,machine09 3 • machine28 2
date293 item6510 106952 0 207,machine02 11 • machine06 49 • machine16 110 • machine19 37
date359 item932 16839 0 168,machine04 15 • machine07 17 • machine08 11 • machine09 27 • machine10 6 • machine14 14 • machine21 7 • machine22 19 • machine23 3 • machine28 12 • machine32 15 • machine34 8 • machine35 14
date193 item826 98424 0 224,machine05 17 • machine08 13 • machine09 14 • machine10 34 • machine14 18 • machine16 26 • machine21 7 • machine23 2 • machine28 22 • machine30 40 • machine35 31
date310 item264 6516 0 13,machine07 3 • machine08 4 • machine10 4 • machine31 1 • machine34 2
date349 item6246 18691 0 5,machine32 5
date287 item4105 6498 0 1,machine30 1
date156 item2305 179208 0 76,machine06 76
date029 item3327 6498 0 5,machine08 5
date137 item1930 39200 1 60,machine05 30 • machine32 30
date172 item4703 81204 0 8,machine23 8
date152 item4435 109155 0 234,machine01 35 • machine03 48 • machine05 6 • machine06 8 • machine16 69 • machine19 49 • machine20 19
date298 item6371 104092 0 15,machine01 1 • machine05 3 • machine06 1 • machine17 4 • machine19 3 • machine32 4
date296 item2506 179208 1 16,machine06 16
date228 item3155 13140 0 20,machine08 10 • machine21 10
date083 item3009 8065 0 4,machine08 3 • machine21 1
date058 item80 6498 0 1,machine22 1
date122 item3046 52115 0 11,machine10 11
date342 item2849 179208 0 66,machine06 60 • machine20 6
date332 item1664 179208 0 11,machine33 11
date072 item5882 8416 1 46,machine08 9 • machine14 4 • machine22 13 • machine30 9 • machine34 3 • machine35 8
date006 item2441 179208 0 47,machine03 5 • machine32 25 • machine33 16
date210 item5421 14901 0 31,machine08 2 • machine09 8 • machine21 1 • machine22 8 • machine32 5 • machine33 8
date198 item4401 179208 0 20,machine19 1 • machine20 10 • machine32 9
date052 item3696 28824 0 20,machine08 5 • machine30 8 • machine31 7
date043 item1577 109155 0 73,machine01 15 • machine03 14 • machine05 16 • machine19 2 • machine20 20 • machine32 2 • machine33 4
date026 item6291 6498 0 4,machine21 1 • machine22 3
date116 item5980 29756 0 7,machine04 1 • machine14 1 • machine20 1 • machine23 1 • machine31 1 • machine34 1
date331 item825 34128 0 8,machine01 2 • machine05 2 • machine20 1 • machine32 4
date090 item4192 179208 0 24,machine05 3 • machine06 21
date116 item1500 6516 0 2,machine09 1 • machine10 1
date314 item4339 6498 0 10,machine09 5 • machine31 5
date355 item73 15218 0 6,machine07 2 • machine28 2 • machine34 2
date288 item3587 179208 0 69,machine06 41 • machine16 20 • machine19 7
date104 item4442 179208 0 34,machine21 4 • machine23 21 • machine28 9
date289 item5944 8065 0 4,machine12 4
date256 item1286 12881 0 4,machine21 2 • machine30 2
date132 item5269 179208 0 68,machine03 35 • machine05 33
date284 item6099 6498 0 2,machine09 1 • machine28 1
date057 item159 13140 0 20,machine09 13 • machine23 7
date298 item1721 6498 1 3,machine08 3
date158 item3799 179208 0 10,machine28 10
date054 item1260 20470 1 32,machine08 1 • machine09 6 • machine10 4 • machine14 1 • machine21 5 • machine22 6 • machine28 7 • machine29 1
date043 item2118 179208 1 20,machine03 20
date338 item2263 6498 0 10,machine08 2 • machine21 8
date137 item1498 27256 1 2,machine08 1 • machine21 1
date310 item5406 6498 1 1,machine28 1
date305 item664 11094 0 4,machine21 1 • machine22 1 • machine23 1 • machine28 1 • machine33 1
date253 item1718 179208 1 27,machine19 27
date035 item4631 33960 0 90,machine07 16 • machine08 13 • machine09 13 • machine14 5 • machine21 19 • machine22 15 • machine32 5 • machine33 5
date314 item3488 52115 0 2,machine28 2
date309 item112 6332 0 2,machine10 1 • machine22 1 • machine23 1
date098 item4725 6498 0 3,machine23 3
date078 item413 6332 1 4,machine04 1 • machine05 1 • machine33 1
date303 item5665 13232 0 4,machine07 1 • machine09 1 • machine21 1 • machine34 1
date102 item5790 6498 0 8,machine25 6 • machine29 2
date130 item1128 6516 1 2,machine26 1 • machine29 1
date267 item712 103554 0 9,machine16 9
date005 item4730 6498 0 5,machine28 5
date231 item2583 179208 0 12,machine33 12
date114 item1917 52115 0 26,machine32 13 • machine33 13
date329 item1206 8493 1 2,machine21 2
date002 item5549 179208 0 17,machine05 17
date312 item5367 106952 0 422,machine01 108 • machine06 97 • machine16 153 • machine19 64
date229 item996 179208 0 79,machine03 79
date273 item3707 6332 0 16,machine28 5 • machine29 6 • machine34 5
date069 item3689 179208 0 58,machine20 25 • machine23 11 • machine29 23
date051 item3101 7149 0 1,machine28 1
date324 item4596 179208 0 60,machine19 60
date035 item3978 52115 0 2,machine29 2
date268 item3176 6498 0 8,machine10 2 • machine28 6
date027 item2938 6498 0 2,machine23 1 • machine28 1
date025 item6082 6498 0 3,machine14 3
date030 item4292 179208 0 54,machine05 28 • machine20 26
date178 item6114 179208 0 13,machine23 13
date153 item4567 6332 0 11,machine08 2 • machine10 3 • machine21 3 • machine23 2
date321 item1801 11602 0 20,machine08 6 • machine33 14
date249 item2340 52115 0 6,machine14 6
date013 item6091 18691 1 10,machine21 10
date291 item2470 8493 0 4,machine28 4
date281 item2153 52115 0 24,machine09 3 • machine29 21
date355 item5351 95463 0 288,machine01 2 • machine03 61 • machine05 58 • machine06 38 • machine16 37 • machine17 33 • machine19 16 • machine20 3 • machine32 17 • machine33 24
date033 item2229 34128 1 34,machine04 3 • machine10 6 • machine23 18 • machine28 7
date229 item3377 179208 0 11,machine05 11
date232 item4765 179208 0 38,machine04 25 • machine05 13
date219 item874 179208 1 178,machine05 162 • machine32 16
date101 item1653 52115 0 11,machine08 11
date017 item5701 6498 0 1,machine14 1
date246 item4517 52115 0 5,machine08 5
date028 item5892 6332 0 12,machine12 6 • machine22 2 • machine23 4 • machine28 1
date136 item4452 6498 0 2,machine23 2
date089 item2859 86821 0 3,machine21 3
date222 item3913 6498 0 2,machine29 1 • machine30 1
date150 item192 27256 0 6,machine07 4 • machine24 1 • machine35 1
date176 item3650 6498 0 4,machine22 1 • machine29 3
date179 item1122 10156 0 3,machine08 1 • machine10 1 • machine23 1 • machine30 1
date150 item5130 12881 0 9,machine28 9
date276 item5456 6498 0 4,machine21 4
date088 item4197 6332 0 1,nan
date069 item1176 21121 0 3,nan
date302 item4807 6498 1 1,machine21 1
date304 item4908 6498 0 6,machine23 6
date208 item3501 179208 0 28,machine05 28
date119 item4893 13140 0 10,machine09 10
date094 item1895 179208 0 17,machine04 17
date110 item3919 6498 0 1,machine22 1
date230 item3235 6498 1 1,machine23 1
date046 item1678 179208 1 38,machine20 38
date303 item1989 8065 0 4,machine08 4
date210 item4239 6498 0 2,machine08 2
date077 item3381 6498 0 8,machine08 1 • machine21 7
date236 item855 145749 0 124,machine04 1 • machine05 21 • machine09 25 • machine14 19 • machine18 26 • machine20 3 • machine23 10 • machine31 18
date255 item537 26335 0 5,machine08 1 • machine21 1 • machine23 1 • machine30 1
date262 item6579 179208 0 34,machine16 33 • machine19 1
date225 item4732 179208 1 52,machine07 52
date044 item4148 6498 1 2,machine30 2
date364 item4527 104092 0 215,machine01 46 • machine03 17 • machine06 29 • machine17 50 • machine19 73
date330 item51 8416 0 15,machine09 1 • machine10 1 • machine14 3 • machine21 3 • machine23 2 • machine28 3 • machine30 2
date161 item1457 14025 0 45,machine07 6 • machine09 1 • machine10 7 • machine14 5 • machine21 7 • machine22 4 • machine29 7 • machine30 2 • machine31 3 • machine35 2
date034 item5292 52115 0 3,machine23 3
date237 item1018 6498 1 1,machine29 1
date331 item4624 105576 0 99,machine01 18 • machine03 3 • machine05 20 • machine06 5 • machine16 9 • machine19 18 • machine20 18 • machine32 3 • machine33 5
date260 item1097 81393 0 116,machine07 5 • machine08 5 • machine09 6 • machine10 22 • machine22 12 • machine23 17 • machine28 28 • machine34 22
date365 item4921 103554 1 36,machine23 31 • machine33 5
date106 item5618 6498 0 2,machine22 2
date003 item1663 6498 1 1,machine23 1
date112 item4365 12834 0 36,machine08 1 • machine09 5 • machine21 6 • machine22 4 • machine23 6 • machine28 1 • machine30 4 • machine34 6 • machine35 1
date200 item2874 35152 0 36,machine08 2 • machine09 1 • machine10 6 • machine14 8 • machine21 6 • machine28 3 • machine29 4 • machine30 5
date071 item1236 52115 0 3,machine23 3
date075 item3366 179208 0 38,machine10 4 • machine28 34
date181 item2109 179208 0 116,machine06 116
date089 item3563 6498 0 5,machine21 1 • machine23 4
date037 item3040 179208 0 39,machine06 19 • machine19 20
date059 item4727 6332 1 11,machine08 3 • machine09 6 • machine21 1 • machine22 1
date329 item1402 179208 1 20,machine04 13 • machine08 2 • machine14 5
date153 item930 86821 1 7,machine09 2 • machine23 5
date151 item851 179208 0 144,machine01 43 • machine05 2 • machine20 99
date052 item1437 179208 0 11,machine03 6 • machine33 5
date217 item1687 179208 1 25,machine20 4 • machine32 21
date300 item3330 6498 1 1,machine21 1
date188 item2148 8065 0 3,machine29 3
date232 item4228 27256 0 6,machine10 2 • machine30 1 • machine34 3
date036 item3031 6498 0 10,machine10 6 • machine28 4
date312 item6133 6498 0 3,machine22 3
date026 item5301 86821 0 7,machine07 6 • machine28 1
date176 item3597 81204 0 8,machine10 8
date224 item6500 6498 0 3,machine08 3
date232 item753 6332 0 8,machine10 3 • machine23 2 • machine28 2 • machine29 1
date187 item5779 20470 1 38,machine09 4 • machine10 2 • machine21 5 • machine22 4 • machine23 7 • machine29 4 • machine30 12
date238 item5609 179208 1 6,machine08 6
date319 item2335 179208 1 56,machine20 27 • machine32 29
date038 item1650 8493 0 8,machine08 8
date178 item6193 27271 0 4,machine09 1
date356 item521 29252 0 12,machine22 4 • machine23 3 • machine34 4
date096 item6504 179208 0 64,machine18 45 • machine32 19
date360 item1748 18691 0 5,machine29 5
date207 item1653 52115 0 2,machine08 2
date126 item2321 104092 0 17,machine21 1 • machine23 6 • machine28 3 • machine32 4 • machine33 2
date001 item5399 104092 1 274,machine01 109 • machine06 110 • machine16 14 • machine17 14 • machine19 27
date067 item15 27256 0 18,machine04 13 • machine21 4 • machine31 1
date302 item1359 6332 0 2,machine28 1 • machine30 1
date266 item4430 179208 0 10,machine04 4 • machine10 3 • machine21 3
date234 item1954 7149 0 1,machine08 1
date134 item4220 6498 0 1,machine23 1
date173 item2076 106952 0 110,machine03 13 • machine06 1 • machine16 64 • machine19 32
date206 item3015 52115 0 6,machine08 6
date179 item655 103554 1 34,machine32 19 • machine33 15
date080 item1756 179208 0 24,machine05 10 • machine20 5 • machine32 9
date301 item3161 7149 0 7,machine10 1 • machine21 6
date081 item4703 81204 0 4,machine23 4
date012 item2929 179208 0 84,machine01 47 • machine06 37
date030 item4656 179208 0 117,machine05 52 • machine19 47 • machine20 19
date204 item6545 33644 0 76,machine07 15 • machine14 12 • machine21 16 • machine28 1 • machine29 3 • machine31 12 • machine33 5 • machine35 11
date274 item3220 179208 1 20,machine20 20
date252 item2048 13140 0 20,machine09 12 • machine23 8
date343 item1354 7149 0 7,machine23 1 • machine28 6
date331 item5385 103554 1 19,machine20 19
date211 item1627 8065 0 8,machine08 8
date036 item5123 9195 0 40,machine10 13 • machine21 12 • machine32 2 • machine33 13
date183 item5548 179208 0 6,machine32 6
date364 item722 8416 0 20,machine08 4 • machine09 6 • machine10 2 • machine23 4 • machine30 3
date171 item736 52115 0 3,machine22 3
date046 item2666 179208 0 70,machine20 70
date081 item6113 13140 1 2,machine30 2
date118 item590 40772 0 58,machine07 19 • machine08 20 • machine14 9 • machine31 10
date132 item581 12881 0 4,machine21 2 • machine23 2
date234 item6107 179208 1 14,machine08 5 • machine09 3 • machine23 6
date144 item5635 8065 0 14,machine08 7 • machine28 7
date103 item4823 11455 1 6,machine09 1 • machine22 1 • machine23 1 • machine28 1 • machine29 1 • machine32 1
date094 item1759 179208 0 23,machine03 20 • machine20 3
date019 item2884 106952 1 25,machine04 10 • machine05 6 • machine20 3 • machine28 6
date004 item938 15015 0 44,machine08 7 • machine21 10 • machine23 19 • machine30 9
date163 item2778 6498 0 8,machine10 2 • machine28 6
date281 item4945 27256 1 14,machine09 2 • machine10 5 • machine28 7
date080 item6509 104092 0 602,machine02 135 • machine06 124 • machine08 124 • machine16 86 • machine17 31 • machine19 102
date258 item2284 6498 0 3,machine08 3
date363 item1652 52115 0 3,machine29 3
date361 item132 27256 0 1,machine24 1
date074 item6513 109083 0 22,machine05 12 • machine19 7 • machine20 3
date184 item4470 179208 0 34,machine05 27 • machine32 7
date153 item3770 6498 0 5,machine23 4 • machine29 1
date173 item1393 104092 0 23,machine01 2 • machine04 4 • machine05 6 • machine17 2 • machine28 6 • machine33 3
date156 item102 8416 0 2,nan
date364 item5256 6498 0 1,machine35 1
date322 item5576 27256 0 14,machine08 7 • machine09 1 • machine10 6
date347 item408 113012 0 9,machine05 1 • machine21 4 • machine35 4
date305 item1980 27256 0 3,machine08 1 • machine23 1 • machine29 1
date301 item2710 6498 0 5,machine10 5
date248 item4751 8065 0 4,machine09 2 • machine31 2
date058 item1458 6516 0 8,machine08 2 • machine09 1 • machine21 2 • machine30 2
date163 item4610 27256 0 16,machine08 5 • machine21 4 • machine35 7
date041 item1830 52115 0 5,machine23 2 • machine28 3
date209 item4675 179208 1 19,machine04 6 • machine05 13
date131 item1984 109155 0 14,machine03 2 • machine05 2 • machine06 3 • machine19 3 • machine20 3 • machine32 1
date230 item2887 6498 0 3,machine23 3
date137 item1162 13126 1 84,machine01 7 • machine07 10 • machine09 18 • machine14 6 • machine21 11 • machine22 19 • machine23 4 • machine28 8
date203 item1427 6498 0 4,machine28 4
date078 item1595 52115 1 20,machine10 10 • machine23 10
date220 item4885 6498 0 3,machine28 3
date043 item1519 106952 0 166,machine04 42 • machine05 46 • machine10 47 • machine29 31
date365 item6308 6498 0 2,machine23 2
date124 item5479 179208 0 55,machine06 3 • machine19 24 • machine32 28
date080 item1757 179208 0 104,machine05 45 • machine20 59
date182 item4518 6498 0 3,machine08 3
date310 item5904 179208 1 13,machine05 13
date206 item4019 6498 0 2,machine08 2
date208 item4114 52115 1 12,machine30 12
date227 item3690 12881 0 2,machine31 2
date207 item3392 6498 0 1,machine08 1
date260 item4335 179208 0 18,machine03 2 • machine06 8 • machine19 8
date256 item4514 104092 0 24,machine01 1 • machine03 7 • machine05 8 • machine06 5 • machine16 2 • machine19 2
date257 item4166 106952 0 26,machine03 11 • machine06 5 • machine17 1 • machine19 9
date317 item4573 6498 0 3,machine09 3
date110 item222 8065 0 4,machine25 4
date077 item533 41077 0 8,machine03 2 • machine05 2 • machine28 1 • machine32 3
date023 item1251 15218 1 6,machine09 2 • machine23 1 • machine28 2 • machine29 2
date317 item368 6557 0 6,machine09 1 • machine10 1 • machine22 1 • machine23 1 • machine29 1
date309 item5911 6498 1 5,machine21 2 • machine22 3
date105 item1436 10156 0 3,machine10 1 • machine26 1
date249 item4004 18691 0 5,machine30 5
date140 item4471 6498 1 3,machine22 3
date088 item837 77242 0 14,machine08 6 • machine33 8
date034 item2430 6498 0 1,machine21 1
date126 item5344 104092 0 476,machine02 115 • machine03 40 • machine06 122 • machine16 45 • machine17 134 • machine19 21
date236 item5647 179208 0 5,machine31 5
date364 item3349 33640 0 26,machine08 5 • machine09 12 • machine21 9
date236 item3640 179208 0 87,machine19 87
date276 item2918 6498 0 1,machine28 1
date348 item2519 8493 0 4,machine21 4
date141 item126 6498 0 1,machine21 1
date311 item1540 145749 1 162,machine01 7 • machine05 16 • machine06 26 • machine16 18 • machine19 15 • machine20 25 • machine32 25 • machine33 31
date066 item970 8493 0 4,machine10 2 • machine22 2
date272 item4232 8493 0 2,machine30 2
date262 item1638 52115 0 3,machine09 3
date354 item1999 21360 0 34,machine08 8 • machine09 5 • machine14 1 • machine21 6 • machine28 1 • machine29 1 • machine33 12
date029 item5847 179208 0 74,machine04 18 • machine08 35 • machine21 20
date142 item5441 6498 0 2,machine10 2
date117 item3232 8065 0 7,machine08 5 • machine21 2
date347 item5562 102669 0 8,machine05 2 • machine32 4 • machine33 1
date329 item2027 101291 0 9,machine23 6 • machine29 3
date247 item5465 179208 0 46,machine04 13 • machine21 33
date059 item2203 179208 0 56,machine05 56
date316 item2351 13140 0 20,machine08 17 • machine33 3
date067 item3973 6498 1 1,machine29 1
date175 item3077 6498 0 1,machine30 1
date033 item836 179208 1 12,machine23 12
date053 item4788 104092 1 130,machine04 18 • machine08 40 • machine10 33 • machine21 7 • machine28 33
date070 item3143 8065 0 2,machine29 2
date042 item4609 6498 0 1,machine10 1
