sample_id,item_id,machine_id,time_id,quantity
Sample_4,item4278,machine10,date040,1
Sample_4,item4278,machine21,date040,4
Sample_4,item4278,machine22,date040,4
Sample_4,item4278,machine23,date040,1
Sample_4,item4278,machine28,date040,3
Sample_4,item4278,machine30,date040,5
Sample_4,item1490,machine14,date112,1
Sample_4,item819,machine23,date142,2
Sample_4,item6273,machine08,date161,1
Sample_4,item6273,machine21,date161,2
Sample_4,item6273,machine22,date161,1
Sample_4,item6273,machine30,date161,1
Sample_4,item6273,machine31,date161,1
Sample_4,item4526,machine21,date168,8
Sample_4,item4526,machine28,date168,5
Sample_4,item4526,machine35,date168,13
Sample_4,item3086,machine32,date197,2
Sample_4,item3086,machine33,date197,2
Sample_4,item5269,machine03,date213,2
Sample_4,item5269,machine05,date213,2
Sample_4,item4592,machine02,date230,2
Sample_4,item4592,machine06,date230,4
Sample_4,item4592,machine16,date230,3
Sample_4,item4592,machine19,date230,8
Sample_4,item4592,machine32,date230,3
Sample_4,item1327,machine20,date265,2
Sample_4,item3064,machine32,date280,1
Sample_5,item655,machine32,date121,1
Sample_5,item655,machine33,date121,2
Sample_5,item445,machine14,date165,8
Sample_5,item1370,machine04,date222,1
Sample_5,item1370,machine08,date222,1
Sample_5,item1370,machine09,date222,1
Sample_5,item1370,machine16,date222,1
Sample_5,item1370,machine30,date222,1
Sample_5,item2684,machine04,date257,3
Sample_5,item2684,machine09,date257,1
Sample_5,item2684,machine14,date257,1
Sample_5,item2684,machine21,date257,3
Sample_5,item2684,machine23,date257,2
Sample_5,item2684,machine28,date257,1
Sample_5,item2273,machine10,date291,1
Sample_5,item2273,machine28,date291,1
Sample_5,item2017,machine08,date302,8
Sample_6,item673,machine08,date038,1
Sample_6,item673,machine09,date038,1
Sample_6,item673,machine14,date038,1
Sample_6,item673,machine21,date038,1
Sample_6,item673,machine22,date038,1
Sample_6,item673,machine28,date038,1
Sample_6,item673,machine29,date038,2
Sample_6,item673,machine30,date038,2
Sample_6,item673,machine31,date038,1
Sample_6,item673,machine34,date038,1
Sample_6,item673,machine35,date038,2
Sample_6,item1739,machine08,date115,3
Sample_6,item5679,machine23,date120,1
Sample_6,item5679,machine35,date120,1
Sample_6,item6255,machine32,date143,5
Sample_6,item6038,machine08,date198,1
Sample_6,item6038,machine09,date198,3
Sample_6,item6038,machine10,date198,4
Sample_6,item6038,machine14,date198,3
Sample_6,item6038,machine21,date198,3
Sample_6,item6038,machine22,date198,3
Sample_6,item6038,machine23,date198,2
Sample_6,item6038,machine28,date198,1
Sample_6,item4545,machine04,date312,1
Sample_6,item4545,machine05,date312,1
Sample_6,item4545,machine09,date312,1
Sample_6,item4545,machine10,date312,1
Sample_6,item4545,machine14,date312,1
Sample_6,item4545,machine20,date312,1
Sample_6,item4545,machine21,date312,1
Sample_6,item4545,machine22,date312,1
Sample_6,item4545,machine28,date312,1
Sample_6,item4545,machine29,date312,1
Sample_6,item4545,machine32,date312,1
Sample_6,item4545,machine33,date312,1
Sample_6,item1707,machine29,date340,4
Sample_6,item5614,machine22,date361,12
Sample_7,item5111,machine21,date016,25
Sample_7,item5111,machine29,date016,25
Sample_7,item6332,machine10,date059,1
Sample_7,item6332,machine12,date059,5
Sample_7,item6332,machine23,date059,6
Sample_7,item5846,machine03,date078,2
Sample_7,item5451,machine23,date119,1
Sample_7,item2554,machine05,date160,1
Sample_7,item2529,machine05,date236,11
Sample_7,item6136,machine01,date252,3
Sample_7,item6136,machine03,date252,2
Sample_7,item6136,machine05,date252,3
Sample_7,item6136,machine06,date252,1
Sample_7,item6136,machine32,date252,3
Sample_7,item4536,machine01,date339,17
Sample_7,item4536,machine05,date339,11
Sample_7,item4536,machine06,date339,11
Sample_7,item4536,machine19,date339,11
Sample_7,item4536,machine20,date339,10
Sample_7,item4536,machine21,date339,13
Sample_7,item4536,machine32,date339,14
Sample_7,item4536,machine33,date339,15
Sample_8,item2777,machine04,date196,2
Sample_8,item479,machine32,date222,1
Sample_8,item5419,machine08,date310,1
Sample_8,item5419,machine09,date310,1
Sample_8,item5419,machine10,date310,2
Sample_8,item5419,machine21,date310,1
Sample_8,item5419,machine28,date310,1
Sample_8,item2140,machine08,date329,3
Sample_8,item4218,machine04,date354,6
Sample_8,item4218,machine05,date354,1
Sample_8,item4218,machine08,date354,11
Sample_8,item4218,machine09,date354,3
Sample_8,item4218,machine10,date354,10
Sample_8,item4218,machine14,date354,12
Sample_8,item4218,machine20,date354,12
Sample_8,item4218,machine23,date354,8
Sample_8,item4218,machine28,date354,4
Sample_8,item4218,machine30,date354,5
Sample_8,item4218,machine31,date354,7
Sample_8,item4218,machine35,date354,9
Sample_8,item161,machine07,date355,2
Sample_8,item161,machine09,date355,2
Sample_9,item3682,machine06,date005,66
Sample_9,item2317,machine20,date037,32
Sample_9,item5606,machine35,date080,1
Sample_9,item2202,machine04,date128,21
Sample_9,item2202,machine20,date128,20
Sample_9,item2202,machine32,date128,30
Sample_9,item543,machine01,date135,13
Sample_9,item543,machine03,date135,15
Sample_9,item543,machine05,date135,17
Sample_9,item543,machine19,date135,22
Sample_9,item543,machine20,date135,3
Sample_9,item2639,machine10,date136,5
Sample_9,item2639,machine23,date136,4
Sample_9,item2639,machine28,date136,3
Sample_9,item2639,machine29,date136,1
Sample_9,item1170,machine01,date146,5
Sample_9,item1170,machine03,date146,1
Sample_9,item1170,machine06,date146,3
Sample_9,item1170,machine16,date146,6
Sample_9,item1170,machine17,date146,1
Sample_9,item1170,machine19,date146,2
Sample_9,item1170,machine32,date146,3
Sample_9,item2262,machine08,date248,2
Sample_9,item2262,machine09,date248,2
Sample_9,item4301,machine10,date255,1
Sample_10,item3552,machine14,date070,5
Sample_10,item5850,machine21,date085,1
Sample_10,item5639,machine20,date108,1
Sample_10,item1875,machine08,date235,1
Sample_10,item1875,machine28,date235,1
Sample_10,item4697,machine04,date261,6
Sample_10,item4697,machine08,date261,7
Sample_10,item4697,machine09,date261,6
Sample_10,item4697,machine10,date261,1
Sample_10,item4697,machine21,date261,2
Sample_10,item4697,machine28,date261,6
Sample_10,item4697,machine30,date261,1
Sample_10,item4697,machine31,date261,10
Sample_10,item4697,machine32,date261,7
Sample_10,item4697,machine33,date261,2
Sample_10,item4697,machine34,date261,5
Sample_10,item4697,machine35,date261,4
Sample_10,item3603,machine01,date350,1
Sample_10,item3603,machine05,date350,1
Sample_11,item3182,machine08,date041,1
Sample_11,item3182,machine09,date041,1
Sample_11,item3182,machine21,date041,1
Sample_11,item3182,machine33,date041,1
Sample_11,item569,machine28,date049,1
Sample_11,item4761,machine10,date079,2
Sample_11,item3984,machine05,date089,15
Sample_11,item5551,machine09,date143,3
Sample_11,item5551,machine34,date143,37
Sample_11,item5835,machine03,date166,1
Sample_11,item5835,machine16,date166,1
Sample_11,item5835,machine19,date166,1
Sample_11,item6235,machine23,date238,1
Sample_11,item6235,machine33,date238,1
Sample_11,item1709,machine08,date277,7
Sample_11,item6489,machine07,date332,2
Sample_11,item6489,machine08,date332,1
Sample_11,item6489,machine14,date332,1
Sample_11,item6489,machine22,date332,2
Sample_11,item6489,machine31,date332,2
Sample_11,item6489,machine34,date332,2
Sample_11,item6489,machine35,date332,2
Sample_11,item3812,machine08,date339,2
Sample_11,item3812,machine09,date339,3
Sample_11,item3812,machine21,date339,1
Sample_11,item3812,machine22,date339,1
Sample_11,item3812,machine23,date339,2
Sample_11,item3812,machine28,date339,2
Sample_11,item3812,machine29,date339,2
Sample_12,item4593,machine31,date037,1
Sample_12,item5008,machine01,date105,11
Sample_12,item5008,machine03,date105,16
Sample_12,item5008,machine05,date105,11
Sample_12,item5008,machine06,date105,10
Sample_12,item5008,machine16,date105,7
Sample_12,item5008,machine20,date105,19
Sample_12,item5282,machine04,date191,1
Sample_12,item5282,machine23,date191,5
Sample_12,item5001,machine03,date205,1
Sample_12,item5001,machine06,date205,1
Sample_12,item5001,machine19,date205,1
Sample_12,item5001,machine20,date205,2
Sample_12,item3226,machine23,date332,1
Sample_12,item1444,machine01,date338,1
Sample_12,item1444,machine06,date338,1
Sample_13,item614,machine23,date064,7
Sample_13,item614,machine28,date064,1
Sample_13,item919,machine04,date106,11
Sample_13,item919,machine10,date106,9
Sample_13,item919,machine14,date106,8
Sample_13,item919,machine23,date106,4
Sample_13,item919,machine28,date106,7
Sample_13,item919,machine30,date106,4
Sample_13,item919,machine31,date106,6
Sample_13,item919,machine35,date106,7
Sample_13,item5220,machine09,date141,2
Sample_13,item5220,machine23,date141,10
Sample_13,item5220,machine30,date141,1
Sample_13,item2794,machine05,date153,8
Sample_13,item2794,machine20,date153,1
Sample_13,item2794,machine32,date153,9
Sample_13,item2263,machine08,date191,2
Sample_13,item2263,machine21,date191,3
Sample_13,item1472,machine04,date194,31
Sample_13,item1472,machine05,date194,15
Sample_13,item1472,machine07,date194,1
Sample_13,item1472,machine08,date194,10
Sample_13,item1472,machine10,date194,9
Sample_13,item1472,machine14,date194,6
Sample_13,item1472,machine21,date194,1
Sample_13,item1472,machine23,date194,30
Sample_13,item1472,machine24,date194,21
Sample_13,item1472,machine28,date194,17
Sample_13,item1472,machine29,date194,19
Sample_13,item1472,machine32,date194,13
Sample_13,item1472,machine33,date194,8
Sample_13,item5641,machine03,date237,3
Sample_13,item113,machine08,date264,13
Sample_13,item113,machine21,date264,13
Sample_13,item113,machine23,date264,7
Sample_13,item113,machine30,date264,11
Sample_13,item1055,machine06,date365,39
Sample_13,item1055,machine19,date365,24
Sample_14,item1472,machine04,date019,29
Sample_14,item1472,machine05,date019,40
Sample_14,item1472,machine07,date019,11
Sample_14,item1472,machine08,date019,24
Sample_14,item1472,machine09,date019,23
Sample_14,item1472,machine10,date019,30
Sample_14,item1472,machine14,date019,31
Sample_14,item1472,machine21,date019,27
Sample_14,item1472,machine23,date019,22
Sample_14,item1472,machine24,date019,2
Sample_14,item1472,machine28,date019,48
Sample_14,item1472,machine29,date019,17
Sample_14,item1472,machine32,date019,13
Sample_14,item1472,machine33,date019,45
Sample_14,item3222,machine08,date100,13
Sample_14,item3222,machine10,date100,5
Sample_14,item3222,machine14,date100,6
Sample_14,item3222,machine21,date100,14
Sample_14,item3222,machine28,date100,11
Sample_14,item3222,machine33,date100,12
Sample_14,item889,machine04,date105,5
Sample_14,item889,machine05,date105,1
Sample_14,item889,machine09,date105,8
Sample_14,item889,machine10,date105,3
Sample_14,item889,machine14,date105,9
Sample_14,item889,machine20,date105,5
Sample_14,item889,machine23,date105,9
Sample_14,item889,machine28,date105,6
Sample_14,item889,machine31,date105,2
Sample_14,item889,machine34,date105,9
Sample_14,item889,machine35,date105,1
Sample_14,item5084,machine05,date112,27
Sample_14,item5084,machine16,date112,4
Sample_14,item5084,machine20,date112,26
Sample_14,item347,machine21,date135,1
Sample_14,item5872,machine24,date343,1
Sample_15,item5155,machine28,date012,1
Sample_15,item2215,machine04,date118,6
Sample_15,item2215,machine05,date118,4
Sample_15,item2215,machine08,date118,5
Sample_15,item2215,machine09,date118,4
Sample_15,item2215,machine23,date118,1
Sample_15,item2215,machine28,date118,4
Sample_15,item2215,machine29,date118,1
Sample_15,item2215,machine33,date118,4
Sample_15,item2212,machine09,date155,1
Sample_15,item2212,machine21,date155,1
Sample_15,item584,machine04,date173,2
Sample_15,item584,machine05,date173,2
Sample_15,item584,machine14,date173,6
Sample_15,item584,machine21,date173,3
Sample_15,item584,machine23,date173,2
Sample_15,item584,machine31,date173,2
Sample_15,item584,machine32,date173,5
Sample_15,item584,machine35,date173,2
Sample_15,item646,machine04,date303,5
Sample_15,item646,machine05,date303,5
Sample_15,item646,machine10,date303,4
Sample_15,item646,machine20,date303,7
Sample_15,item646,machine23,date303,8
Sample_15,item646,machine34,date303,15
Sample_15,item2039,machine04,date332,1
Sample_15,item2039,machine21,date332,1
Sample_15,item5929,machine32,date344,2
Sample_16,item3446,machine32,date031,1
Sample_16,item578,machine07,date182,4
Sample_16,item578,machine08,date182,3
Sample_16,item578,machine09,date182,1
Sample_16,item578,machine10,date182,2
Sample_16,item578,machine31,date182,1
Sample_16,item578,machine34,date182,4
Sample_16,item826,machine05,date193,3
Sample_16,item826,machine08,date193,1
Sample_16,item826,machine10,date193,13
Sample_16,item826,machine14,date193,9
Sample_16,item826,machine16,date193,5
Sample_16,item826,machine21,date193,19
Sample_16,item826,machine23,date193,23
Sample_16,item826,machine28,date193,12
Sample_16,item826,machine30,date193,17
Sample_16,item826,machine35,date193,31
Sample_16,item3495,machine04,date242,1
Sample_16,item3495,machine23,date242,1
Sample_16,item3495,machine28,date242,2
Sample_16,item6510,machine02,date293,4
Sample_16,item6510,machine06,date293,12
Sample_16,item6510,machine16,date293,22
Sample_16,item6510,machine19,date293,21
Sample_16,item932,machine04,date359,2
Sample_16,item932,machine07,date359,5
Sample_16,item932,machine08,date359,2
Sample_16,item932,machine09,date359,14
Sample_16,item932,machine10,date359,5
Sample_16,item932,machine14,date359,12
Sample_16,item932,machine22,date359,5
Sample_16,item932,machine23,date359,15
Sample_16,item932,machine28,date359,7
Sample_16,item932,machine32,date359,14
Sample_16,item932,machine34,date359,5
Sample_16,item932,machine35,date359,15
Sample_17,item1930,machine05,date137,23
Sample_17,item1930,machine32,date137,37
Sample_17,item4435,machine01,date152,48
Sample_17,item4435,machine03,date152,41
Sample_17,item4435,machine05,date152,5
Sample_17,item4435,machine06,date152,37
Sample_17,item4435,machine16,date152,38
Sample_17,item4435,machine19,date152,52
Sample_17,item4435,machine20,date152,14
Sample_17,item2305,machine06,date156,2
Sample_17,item2506,machine06,date296,16
Sample_17,item6371,machine01,date298,1
Sample_17,item6371,machine05,date298,1
Sample_17,item6371,machine06,date298,1
Sample_17,item6371,machine17,date298,1
Sample_17,item6371,machine19,date298,1
Sample_17,item264,machine10,date310,1
Sample_17,item264,machine31,date310,1
Sample_17,item264,machine34,date310,1
Sample_18,item2441,machine03,date006,24
Sample_18,item2441,machine32,date006,19
Sample_18,item2441,machine33,date006,2
Sample_18,item5882,machine08,date072,7
Sample_18,item5882,machine14,date072,7
Sample_18,item5882,machine21,date072,6
Sample_18,item5882,machine22,date072,7
Sample_18,item5882,machine30,date072,11
Sample_18,item5882,machine34,date072,7
Sample_18,item5882,machine35,date072,1
Sample_18,item3009,machine08,date083,1
Sample_18,item3009,machine21,date083,1
Sample_18,item3046,machine10,date122,11
Sample_18,item4401,machine19,date198,1
Sample_18,item4401,machine20,date198,1
Sample_18,item4401,machine32,date198,2
Sample_18,item5421,machine08,date210,7
Sample_18,item5421,machine09,date210,8
Sample_18,item5421,machine21,date210,3
Sample_18,item5421,machine22,date210,1
Sample_18,item5421,machine32,date210,6
Sample_18,item5421,machine33,date210,4
Sample_18,item3155,machine08,date228,1
Sample_18,item3155,machine21,date228,2
Sample_18,item1664,machine33,date332,1
Sample_18,item2849,machine06,date342,10
Sample_18,item2849,machine20,date342,19
Sample_19,item1577,machine01,date043,2
Sample_19,item1577,machine03,date043,4
Sample_19,item1577,machine05,date043,1
Sample_19,item1577,machine19,date043,4
Sample_19,item1577,machine20,date043,1
Sample_19,item1577,machine32,date043,4
Sample_19,item1577,machine33,date043,4
Sample_19,item3696,machine08,date052,1
Sample_19,item3696,machine31,date052,1
Sample_19,item4192,machine05,date090,1
Sample_19,item5980,machine04,date116,1
Sample_19,item5980,machine10,date116,1
Sample_19,item5980,machine14,date116,1
Sample_19,item5980,machine34,date116,1
Sample_19,item3587,machine06,date288,3
Sample_19,item3587,machine16,date288,5
Sample_19,item3587,machine19,date288,3
Sample_19,item825,machine01,date331,1
Sample_19,item825,machine20,date331,1
Sample_19,item73,machine07,date355,1
Sample_19,item73,machine31,date355,1
Sample_20,item2118,machine03,date043,3
Sample_20,item1260,machine08,date054,4
Sample_20,item1260,machine09,date054,6
Sample_20,item1260,machine10,date054,1
Sample_20,item1260,machine14,date054,7
Sample_20,item1260,machine21,date054,6
Sample_20,item1260,machine22,date054,6
Sample_20,item1260,machine28,date054,1
Sample_20,item1260,machine29,date054,1
Sample_20,item159,machine09,date057,2
Sample_20,item159,machine23,date057,2
Sample_20,item4442,machine21,date104,1
Sample_20,item4442,machine23,date104,4
Sample_20,item4442,machine28,date104,1
Sample_20,item5269,machine03,date132,54
Sample_20,item5269,machine05,date132,5
Sample_20,item3799,machine28,date158,1
Sample_20,item5944,machine12,date289,4
Sample_20,item1721,machine08,date298,3
Sample_21,item4631,machine07,date035,7
Sample_21,item4631,machine08,date035,6
Sample_21,item4631,machine09,date035,5
Sample_21,item4631,machine14,date035,4
Sample_21,item4631,machine21,date035,1
Sample_21,item4631,machine22,date035,11
Sample_21,item4631,machine32,date035,1
Sample_21,item4631,machine33,date035,6
Sample_21,item413,machine05,date078,1
Sample_21,item413,machine32,date078,3
Sample_21,item1498,machine08,date137,1
Sample_21,item1498,machine21,date137,1
Sample_21,item1718,machine19,date253,5
Sample_21,item5406,machine28,date310,1
Sample_21,item3488,machine28,date314,2
Sample_21,item2263,machine08,date338,1
Sample_21,item2263,machine21,date338,1
Sample_22,item4730,machine28,date005,1
Sample_22,item4730,machine30,date005,2
Sample_22,item5790,machine25,date102,1
Sample_22,item5790,machine29,date102,1
Sample_22,item1917,machine32,date114,2
Sample_22,item1917,machine33,date114,1
Sample_22,item1128,machine26,date130,1
Sample_22,item1128,machine28,date130,1
Sample_22,item2583,machine33,date231,8
Sample_22,item5665,machine09,date303,3
Sample_22,item5665,machine21,date303,1
Sample_22,item5665,machine34,date303,1
Sample_22,item5367,machine01,date312,26
Sample_22,item5367,machine06,date312,20
Sample_22,item5367,machine16,date312,95
Sample_22,item5367,machine19,date312,99
Sample_22,item1206,machine21,date329,2
Sample_23,item4292,machine05,date030,3
Sample_23,item4292,machine20,date030,1
Sample_23,item3689,machine20,date069,11
Sample_23,item3689,machine23,date069,1
Sample_23,item3689,machine29,date069,10
Sample_23,item996,machine03,date229,8
Sample_23,item3176,machine10,date268,1
Sample_23,item3176,machine28,date268,1
Sample_23,item3707,machine10,date273,1
Sample_23,item3707,machine29,date273,1
Sample_23,item3707,machine34,date273,2
Sample_24,item6091,machine21,date013,10
Sample_24,item2229,machine04,date033,5
Sample_24,item2229,machine10,date033,7
Sample_24,item2229,machine23,date033,11
Sample_24,item2229,machine28,date033,11
Sample_24,item4567,machine08,date153,1
Sample_24,item4567,machine10,date153,2
Sample_24,item4567,machine21,date153,5
Sample_24,item4567,machine23,date153,3
Sample_24,item3377,machine05,date229,11
Sample_24,item2340,machine14,date249,1
Sample_24,item2153,machine09,date281,2
Sample_24,item2153,machine29,date281,2
Sample_24,item1801,machine08,date321,1
Sample_24,item1801,machine33,date321,1
Sample_24,item5351,machine01,date355,14
Sample_24,item5351,machine03,date355,16
Sample_24,item5351,machine05,date355,26
Sample_24,item5351,machine06,date355,11
Sample_24,item5351,machine16,date355,12
Sample_24,item5351,machine17,date355,18
Sample_24,item5351,machine19,date355,6
Sample_24,item5351,machine20,date355,13
Sample_24,item5351,machine32,date355,14
Sample_24,item5351,machine33,date355,13
Sample_25,item5892,machine12,date028,1
Sample_25,item5892,machine22,date028,1
Sample_25,item5892,machine23,date028,1
Sample_25,item1653,machine08,date101,1
Sample_25,item192,machine24,date150,1
Sample_25,item874,machine05,date219,11
Sample_25,item874,machine32,date219,7
Sample_25,item4765,machine04,date232,1
Sample_25,item4517,machine08,date246,1
Sample_26,item4893,machine09,date119,1
Sample_26,item5130,machine28,date150,1
Sample_26,item3650,machine22,date176,1
Sample_26,item3501,machine05,date208,2
Sample_26,item4807,machine21,date302,1
Sample_26,item4908,machine23,date304,1
Sample_27,item1678,machine20,date046,5
Sample_27,item3381,machine08,date077,1
Sample_27,item4239,machine31,date210,2
Sample_27,item3235,machine23,date230,1
Sample_27,item855,machine04,date236,14
Sample_27,item855,machine05,date236,1
Sample_27,item855,machine09,date236,4
Sample_27,item855,machine14,date236,26
Sample_27,item855,machine18,date236,28
Sample_27,item855,machine20,date236,17
Sample_27,item855,machine23,date236,9
Sample_27,item855,machine31,date236,26
Sample_27,item537,machine14,date255,1
Sample_27,item537,machine16,date255,1
Sample_27,item537,machine33,date255,1
Sample_27,item537,machine34,date255,1
Sample_27,item537,machine35,date255,1
Sample_27,item6579,machine16,date262,1
Sample_27,item6579,machine19,date262,1
Sample_27,item1989,machine08,date303,3
Sample_27,item1989,machine21,date303,1
Sample_28,item4148,machine30,date044,2
Sample_28,item1457,machine09,date161,3
Sample_28,item1457,machine10,date161,3
Sample_28,item1457,machine14,date161,2
Sample_28,item1457,machine21,date161,2
Sample_28,item1457,machine22,date161,3
Sample_28,item1457,machine28,date161,1
Sample_28,item1457,machine29,date161,3
Sample_28,item1457,machine30,date161,4
Sample_28,item1457,machine31,date161,2
Sample_28,item1457,machine35,date161,2
Sample_28,item4732,machine07,date225,5
Sample_28,item1018,machine29,date237,1
Sample_28,item1097,machine07,date260,4
Sample_28,item1097,machine08,date260,1
Sample_28,item1097,machine09,date260,8
Sample_28,item1097,machine10,date260,5
Sample_28,item1097,machine22,date260,7
Sample_28,item1097,machine23,date260,3
Sample_28,item1097,machine28,date260,8
Sample_28,item1097,machine34,date260,8
Sample_28,item51,machine10,date330,1
Sample_28,item51,machine21,date330,1
Sample_28,item51,machine23,date330,1
Sample_28,item51,machine28,date330,1
Sample_28,item4624,machine01,date331,7
Sample_28,item4624,machine03,date331,3
Sample_28,item4624,machine05,date331,3
Sample_28,item4624,machine06,date331,5
Sample_28,item4624,machine16,date331,7
Sample_28,item4624,machine19,date331,7
Sample_28,item4624,machine20,date331,7
Sample_28,item4624,machine32,date331,4
Sample_28,item4624,machine33,date331,3
Sample_28,item4527,machine01,date364,7
Sample_28,item4527,machine03,date364,14
Sample_28,item4527,machine06,date364,10
Sample_28,item4527,machine17,date364,11
Sample_28,item4527,machine19,date364,7
Sample_28,item4921,machine23,date365,23
Sample_28,item4921,machine33,date365,13
Sample_29,item1663,machine23,date003,1
Sample_29,item3040,machine06,date037,17
Sample_29,item3040,machine19,date037,22
Sample_29,item4727,machine08,date059,3
Sample_29,item4727,machine09,date059,3
Sample_29,item4727,machine21,date059,4
Sample_29,item4727,machine22,date059,1
Sample_29,item3366,machine10,date075,1
Sample_29,item3366,machine28,date075,3
Sample_29,item3563,machine21,date089,2
Sample_29,item3563,machine23,date089,3
Sample_29,item5618,machine22,date106,2
Sample_29,item4365,machine08,date112,5
Sample_29,item4365,machine09,date112,4
Sample_29,item4365,machine21,date112,1
Sample_29,item4365,machine22,date112,2
Sample_29,item4365,machine23,date112,3
Sample_29,item4365,machine28,date112,3
Sample_29,item4365,machine30,date112,2
Sample_29,item4365,machine34,date112,2
Sample_29,item4365,machine35,date112,3
Sample_29,item2109,machine06,date181,116
Sample_29,item2874,machine08,date200,3
Sample_29,item2874,machine09,date200,4
Sample_29,item2874,machine10,date200,4
Sample_29,item2874,machine14,date200,4
Sample_29,item2874,machine21,date200,3
Sample_29,item2874,machine28,date200,1
Sample_29,item2874,machine29,date200,4
Sample_29,item2874,machine30,date200,1
Sample_30,item3031,machine28,date036,1
Sample_30,item1437,machine03,date052,1
Sample_30,item851,machine01,date151,22
Sample_30,item851,machine05,date151,26
Sample_30,item851,machine20,date151,11
Sample_30,item930,machine09,date153,1
Sample_30,item930,machine23,date153,6
Sample_30,item1687,machine20,date217,17
Sample_30,item1687,machine32,date217,8
Sample_30,item4228,machine10,date232,3
Sample_30,item4228,machine30,date232,2
Sample_30,item4228,machine34,date232,1
