item_id,machine_id,capacity
item4407,machine29,12.97
item4407,machine32,12.64
item4407,machine33,13.56
item5651,machine28,7.43
item4155,machine05,28.52
item1878,machine06,77.0
item4407,machine04,13.46
item4407,machine20,14.67
item4407,machine28,16.5
item140,machine05,9.61
item4572,machine07,1.0
item140,machine20,13.56
item118,machine10,6.17
item4407,machine21,12.44
item4407,machine09,14.14
item5651,machine10,4.34
item118,machine28,1.5
item95,machine23,6.17
item140,machine13,10.0
item4407,machine01,13.87
item4572,machine10,4.17
item4407,machine05,14.14
item4407,machine08,14.14
item140,machine19,6.0
item4278,machine23,4.0
item1327,machine04,2.92
item1327,machine20,14.06
item5269,machine05,16.5
item6273,machine31,2.89
item4526,machine14,4.5
item4278,machine21,3.5
item4526,machine21,4.7
item4592,machine16,111.4
item819,machine23,41.02
item4592,machine06,104.8
item3086,machine33,12.33
item4592,machine19,104.84
item4278,machine22,2.82
item4278,machine08,4.17
item6273,machine30,3.2
item6273,machine22,1.75
item4278,machine30,3.69
item4278,machine28,3.33
item3086,machine32,10.0
item3064,machine32,15.43
item6273,machine08,3.07
item1490,machine14,15.0
item4278,machine10,4.0
item4592,machine32,105.0
item4278,machine09,4.02
item4592,machine02,97.2
item6273,machine21,2.72
item4526,machine28,1.0
item5269,machine03,18.0
item4526,machine35,4.33
item2684,machine28,11.5
item1370,machine16,5.5
item2684,machine09,12.0
item1370,machine21,5.9
item1370,machine28,7.98
item1628,machine08,4.33
item1370,machine09,4.95
item2684,machine23,10.94
item1370,machine30,5.18
item1370,machine34,6.58
item1370,machine14,5.15
item2017,machine08,8.11
item2684,machine05,9.5
item3179,machine08,0.83
item2684,machine14,10.67
item655,machine33,7.28
item2273,machine10,1.5
item1370,machine04,4.42
item2273,machine08,2.17
item1370,machine08,4.8
item2684,machine04,12.0
item2947,machine20,12.22
item2177,machine06,23.75
item2684,machine20,12.0
item445,machine14,8.25
item655,machine32,10.95
item2684,machine21,13.0
item2273,machine28,2.17
item5679,machine29,2.72
item6038,machine21,1.52
item5679,machine08,3.77
item6038,machine28,1.9
item4545,machine22,8.0
item4545,machine21,14.13
item673,machine30,2.1
item1739,machine08,3.71
item5679,machine23,4.32
item673,machine21,2.34
item673,machine28,2.34
item673,machine34,2.21
item673,machine08,2.55
item4545,machine29,11.42
item6255,machine32,23.17
item6038,machine14,1.89
item4545,machine09,14.75
item4545,machine05,14.26
item5614,machine22,6.47
item4545,machine20,15.51
item4545,machine14,14.01
item673,machine29,3.5
item5679,machine22,4.73
item199,machine10,0.67
item673,machine14,2.17
item5679,machine35,4.0
item6255,machine05,23.42
item673,machine31,3.01
item4545,machine28,12.67
item6038,machine23,1.36
item4545,machine10,11.0
item673,machine22,2.34
item4545,machine32,13.51
item673,machine35,2.23
item6038,machine22,1.56
item4545,machine33,10.98
item673,machine09,2.23
item6038,machine08,12.39
item6038,machine10,1.79
item3147,machine21,1.78
item6038,machine09,1.92
item4545,machine23,12.63
item1707,machine29,4.0
item4545,machine04,14.34
item199,machine23,1.5
item2434,machine31,4.83
item6136,machine32,22.27
item5111,machine21,13.52
item6136,machine01,6.7
item4942,machine23,6.05
item6136,machine03,7.0
item6136,machine33,5.27
item5846,machine03,15.67
item4536,machine33,15.09
item6136,machine19,16.0
item6332,machine12,34.0
item5846,machine05,27.0
item4536,machine01,4.17
item4536,machine19,17.04
item4536,machine05,10.17
item6332,machine10,4.82
item2529,machine05,36.0
item6332,machine21,0.67
item4536,machine20,14.44
item5451,machine23,0.75
item6332,machine23,0.67
item2554,machine05,38.8
item6136,machine05,27.46
item6136,machine20,6.4
item4536,machine06,3.5
item4536,machine21,16.0
item6136,machine06,12.74
item4536,machine32,7.6
item5111,machine29,12.78
item2140,machine08,2.83
item4218,machine30,7.5
item4218,machine20,7.75
item4218,machine31,9.32
item5419,machine09,2.3
item4218,machine14,6.22
item4218,machine28,6.54
item4218,machine09,8.91
item2127,machine21,2.5
item2777,machine04,12.0
item4218,machine05,8.33
item4218,machine04,8.0
item161,machine07,5.67
item5268,machine21,4.0
item2127,machine33,3.67
item5419,machine23,2.11
item4218,machine08,8.35
item479,machine32,15.82
item161,machine09,5.67
item2127,machine14,4.83
item5419,machine21,2.06
item3144,machine10,3.0
item4218,machine23,7.0
item4218,machine35,7.04
item2179,machine28,1.88
item5419,machine10,3.0
item4218,machine10,7.0
item5419,machine08,1.0
item5419,machine28,2.14
item1170,machine16,9.0
item543,machine03,30.0
item543,machine20,30.8
item2639,machine29,7.99
item2317,machine20,16.0
item2639,machine23,8.0
item5606,machine23,5.17
item5606,machine35,3.7
item1170,machine19,18.75
item2262,machine08,12.17
item2639,machine28,6.0
item4301,machine10,9.67
item2202,machine04,17.0
item3682,machine06,44.5
item2639,machine10,6.0
item543,machine19,25.02
item543,machine01,25.0
item1170,machine32,11.7
item3883,machine22,2.91
item1170,machine03,39.75
item543,machine05,28.23
item2202,machine20,27.0
item1170,machine06,29.65
item2262,machine09,30.0
item1170,machine17,10.0
item2202,machine32,27.0
item5606,machine31,5.32
item1170,machine01,35.0
item5850,machine05,3.67
item4697,machine34,4.0
item4697,machine10,10.0
item4697,machine30,3.35
item5850,machine21,4.74
item5873,machine10,3.52
item3603,machine33,11.67
item5873,machine21,2.39
item3603,machine32,3.0
item3603,machine01,3.0
item5850,machine28,11.82
item4697,machine28,3.67
item3603,machine05,20.0
item475,machine09,2.5
item4697,machine21,3.1
item5639,machine20,14.25
item4697,machine08,3.16
item4697,machine32,5.0
item5873,machine23,4.5
item1875,machine08,2.88
item3143,machine29,4.0
item5850,machine10,9.22
item475,machine22,2.67
item5873,machine28,4.5
item4697,machine35,3.32
item5873,machine08,3.87
item4697,machine04,4.0
item1875,machine23,4.0
item1875,machine28,3.33
item5850,machine04,8.27
item3552,machine14,11.42
item447,machine24,3.77
item5873,machine29,0.97
item5873,machine30,3.38
item4697,machine31,4.73
item4697,machine33,3.62
item4697,machine09,3.25
item5551,machine34,3.72
item3812,machine09,4.38
item3182,machine33,4.48
item6489,machine14,3.32
item6235,machine28,3.0
item3812,machine22,3.88
item6235,machine23,1.85
item3984,machine05,15.67
item3812,machine10,1.17
item5835,machine16,35.0
item5835,machine03,51.14
item6235,machine09,3.0
item3812,machine21,4.0
item569,machine28,4.42
item5835,machine19,35.35
item6489,machine07,3.72
item6489,machine31,5.0
item4761,machine10,4.17
item3182,machine10,4.82
item6489,machine35,3.82
item3182,machine21,3.78
item3812,machine29,4.92
item3812,machine08,4.53
item3182,machine09,4.83
item3182,machine32,4.69
item6489,machine23,4.12
item6489,machine22,4.17
item6489,machine08,3.42
item6235,machine33,3.43
item3812,machine28,4.31
item3182,machine08,4.35
item6489,machine34,3.22
item1709,machine08,3.55
item5551,machine09,17.27
item3812,machine23,4.0
item4593,machine31,4.32
item5001,machine05,21.22
item5001,machine03,40.0
item5008,machine05,48.73
item3226,machine23,4.5
item5443,machine30,3.06
item5443,machine10,3.3
item5443,machine21,2.78
item5443,machine09,2.13
item3226,machine28,4.5
item5443,machine08,3.08
item5008,machine01,46.67
item952,machine23,1.5
item952,machine09,5.59
item1444,machine01,4.0
item3226,machine10,5.33
item3568,machine21,2.33
item1444,machine06,29.39
item5008,machine03,20.0
item5443,machine28,3.2
item5001,machine06,20.12
item5282,machine04,23.33
item4593,machine10,5.33
item5443,machine14,3.23
item5443,machine34,3.71
item5008,machine06,21.0
item5008,machine20,31.5
item5443,machine22,2.33
item1444,machine19,37.42
item5008,machine16,60.0
item5443,machine35,3.5
item5282,machine23,17.17
item5443,machine07,1.94
item5443,machine23,2.63
item5001,machine19,19.56
item5001,machine20,27.5
item88,machine28,0.5
item2300,machine10,3.5
item1472,machine04,12.87
item1472,machine07,13.33
item919,machine31,7.0
item919,machine35,6.5
item113,machine23,20.0
item1055,machine06,40.0
item2794,machine20,27.0
item614,machine28,2.55
item5220,machine23,3.67
item919,machine04,6.75
item113,machine08,0.75
item2263,machine08,3.5
item1472,machine21,10.86
item1472,machine29,16.0
item5220,machine09,3.18
item113,machine21,1.62
item614,machine23,2.3
item113,machine30,1.0
item1055,machine19,23.33
item1472,machine09,14.09
item5641,machine03,52.5
item919,machine30,5.2
item1472,machine32,15.2
item1472,machine05,12.0
item2794,machine05,26.5
item1472,machine23,15.17
item1472,machine10,12.67
item5220,machine30,1.65
item919,machine28,6.59
item1472,machine24,13.32
item919,machine14,7.0
item1472,machine08,13.46
item1472,machine14,12.14
item2794,machine32,25.67
item1472,machine28,12.37
item919,machine23,7.89
item2263,machine21,2.33
item919,machine10,6.22
item1472,machine33,12.82
item919,machine09,6.12
item889,machine35,7.37
item3222,machine10,9.82
item3222,machine14,9.82
item216,machine34,5.35
item216,machine07,4.67
item889,machine34,10.25
item3222,machine21,8.04
item2495,machine21,7.5
item889,machine23,11.0
item216,machine10,5.0
item889,machine14,8.72
item216,machine11,3.67
item889,machine05,8.5
item347,machine21,1.0
item889,machine20,12.92
item3222,machine08,7.21
item5084,machine05,19.85
item4524,machine29,2.67
item216,machine15,5.0
item3222,machine09,8.21
item3222,machine28,8.41
item3222,machine33,6.83
item5872,machine24,3.77
item216,machine28,6.17
item3222,machine23,7.92
item889,machine10,8.99
item889,machine28,9.92
item216,machine04,4.0
item889,machine09,9.25
item889,machine04,10.64
item216,machine35,5.35
item216,machine31,5.66
item5084,machine20,17.73
item5084,machine16,21.0
item5690,machine34,2.77
item889,machine31,9.82
item216,machine21,6.0
item2212,machine09,3.0
item2039,machine04,9.5
item584,machine16,7.0
item2215,machine04,7.17
item2212,machine23,20.0
item584,machine35,6.6
item2215,machine33,8.25
item5155,machine10,2.94
item5155,machine21,1.0
item2641,machine23,1.0
item584,machine14,5.32
item2215,machine29,7.88
item584,machine31,7.17
item2641,machine10,1.0
item2215,machine23,8.33
item2215,machine08,4.46
item2641,machine28,1.0
item646,machine34,13.96
item646,machine10,10.44
item584,machine32,7.32
item2641,machine21,1.17
item2039,machine21,9.5
item350,machine28,1.17
item5155,machine14,3.7
item2215,machine05,7.17
item2215,machine28,7.17
item584,machine23,7.0
item2212,machine08,12.86
item646,machine20,15.0
item2212,machine21,5.0
item646,machine04,11.59
item646,machine23,10.1
item2215,machine09,19.33
item584,machine05,6.38
item5155,machine28,2.67
item584,machine21,6.82
item5929,machine32,2.89
item3814,machine30,1.0
item2212,machine28,6.32
item646,machine05,9.0
item584,machine04,8.25
item932,machine09,6.47
item932,machine07,8.0
item826,machine08,8.62
item932,machine08,6.25
item62,machine10,2.83
item3495,machine23,10.91
item578,machine08,3.77
item3495,machine10,9.87
item826,machine16,13.0
item578,machine31,4.67
item932,machine34,6.67
item932,machine04,5.92
item932,machine10,8.0
item578,machine34,3.87
item578,machine10,3.67
item932,machine21,6.42
item932,machine28,7.0
item3495,machine04,7.4
item932,machine22,8.0
item1806,machine08,3.02
item5718,machine28,2.54
item826,machine14,12.33
item3850,machine21,2.69
item6510,machine02,56.63
item578,machine30,3.67
item3446,machine32,12.5
item826,machine30,10.28
item932,machine23,7.67
item826,machine35,9.82
item932,machine32,5.4
item3495,machine28,2.5
item826,machine23,9.2
item826,machine05,11.0
item826,machine10,10.0
item5718,machine09,3.83
item826,machine28,8.83
item6510,machine06,45.25
item826,machine21,12.98
item6510,machine19,58.0
item932,machine35,6.7
item578,machine07,3.72
item578,machine09,3.2
item932,machine14,6.87
item826,machine09,10.83
item6510,machine16,48.0
item1806,machine09,4.32
item6371,machine19,23.81
item2305,machine06,38.0
item4435,machine05,44.25
item264,machine10,3.32
item4105,machine30,3.47
item264,machine07,3.06
item4703,machine23,8.28
item4435,machine01,7.0
item3327,machine08,2.83
item4435,machine19,40.81
item4435,machine20,41.8
item6371,machine01,6.5
item6371,machine05,14.72
item1930,machine05,15.0
item2506,machine06,16.0
item4435,machine16,41.21
item264,machine34,2.72
item6246,machine32,5.0
item4435,machine03,30.33
item1930,machine32,15.0
item6371,machine17,22.0
item6371,machine06,6.0
item264,machine31,3.0
item6371,machine32,21.23
item264,machine08,2.39
item4435,machine06,31.03
item5421,machine08,5.82
item5882,machine08,5.03
item2849,machine06,17.0
item3155,machine08,5.83
item1664,machine33,11.0
item5882,machine35,3.15
item4401,machine32,3.13
item5421,machine32,7.0
item3155,machine21,5.0
item3009,machine21,2.22
item5421,machine22,7.48
item2849,machine20,16.5
item5882,machine14,4.0
item5882,machine21,2.78
item80,machine22,1.0
item5421,machine33,3.9
item5421,machine21,5.83
item4401,machine19,35.0
item2441,machine03,5.0
item3009,machine08,6.08
item4401,machine20,24.0
item2441,machine33,22.33
item5421,machine09,4.83
item5882,machine30,3.7
item2441,machine32,20.0
item5882,machine34,3.67
item5882,machine22,3.12
item3046,machine10,5.84
item4339,machine31,3.08
item4339,machine09,2.55
item3587,machine16,68.04
item73,machine10,5.6
item1577,machine01,7.0
item4192,machine05,23.0
item5980,machine31,4.8
item73,machine07,5.67
item5980,machine21,4.02
item5980,machine34,5.0
item5980,machine10,7.25
item825,machine05,12.0
item1577,machine32,6.59
item1500,machine10,3.42
item1577,machine33,9.07
item3587,machine06,66.77
item825,machine01,2.0
item73,machine34,6.22
item3587,machine19,73.07
item6291,machine21,1.62
item5980,machine23,3.67
item1500,machine28,2.0
item5980,machine28,4.5
item1577,machine03,10.0
item73,machine28,6.92
item1577,machine05,12.82
item1577,machine20,14.52
item1500,machine21,2.33
item6291,machine22,1.95
item5980,machine04,5.67
item5980,machine14,11.0
item5980,machine20,14.5
item825,machine20,14.66
item1500,machine14,3.42
item5980,machine08,11.33
item825,machine32,7.0
item4192,machine06,26.67
item73,machine31,5.82
item1577,machine19,15.0
item1500,machine09,3.5
item1260,machine22,1.65
item1260,machine08,3.16
item2118,machine03,40.0
item1260,machine09,2.86
item6099,machine28,1.0
item1260,machine28,3.0
item1260,machine14,2.77
item1260,machine29,1.35
item1260,machine21,1.65
item4442,machine23,10.67
item1286,machine30,3.33
item1721,machine08,1.92
item6099,machine09,4.0
item5944,machine12,4.0
item159,machine23,3.32
item1286,machine21,6.5
item1260,machine10,3.67
item3799,machine28,20.0
item4442,machine21,14.0
item159,machine09,7.17
item4442,machine28,10.0
item4631,machine09,5.15
item413,machine33,1.12
item4631,machine08,5.29
item1498,machine21,2.23
item1498,machine22,3.0
item4725,machine23,1.75
item1498,machine08,2.87
item112,machine10,1.5
item4631,machine14,6.0
item3488,machine28,5.67
item4631,machine21,4.95
item1718,machine19,55.0
item4631,machine22,10.42
item413,machine05,1.08
item4631,machine32,5.8
item413,machine32,1.29
item5406,machine28,3.32
item112,machine23,4.0
item112,machine28,2.32
item4631,machine07,5.83
item4631,machine33,5.33
item413,machine04,1.11
item112,machine22,1.82
item712,machine16,9.67
item5367,machine19,49.42
item5549,machine05,34.25
item5665,machine21,4.84
item5367,machine01,55.0
item5665,machine34,4.65
item4730,machine28,2.67
item5665,machine07,4.78
item1128,machine26,3.0
item1917,machine32,8.5
item1917,machine33,5.0
item2583,machine33,12.33
item5665,machine09,4.57
item1128,machine28,3.53
item1128,machine29,1.0
item4730,machine30,3.17
item1128,machine09,1.67
item5790,machine29,2.23
item5367,machine16,53.0
item1128,machine14,2.47
item5367,machine06,54.17
item1206,machine21,4.32
item5790,machine25,2.87
item3689,machine23,10.79
item3689,machine29,10.75
item3176,machine28,1.88
item996,machine03,39.58
item3707,machine34,2.67
item3707,machine29,2.17
item3707,machine28,2.25
item3707,machine10,2.2
item4596,machine19,120.0
item2938,machine23,2.5
item2938,machine28,2.5
item3101,machine28,3.83
item3176,machine10,3.32
item3689,machine20,9.0
item3978,machine29,5.55
item4292,machine20,15.0
item6082,machine14,3.0
item4292,machine05,12.0
item5351,machine01,18.36
item6091,machine21,5.0
item5351,machine03,17.88
item2340,machine14,6.33
item5351,machine20,21.23
item5351,machine32,3.4
item2153,machine09,6.0
item2229,machine23,7.0
item3377,machine05,22.0
item5351,machine16,5.0
item1801,machine33,5.5
item4567,machine10,3.0
item2153,machine29,6.83
item5351,machine17,21.0
item6114,machine23,13.5
item2229,machine10,9.42
item2470,machine28,4.32
item4567,machine23,2.0
item2229,machine28,9.49
item1801,machine08,5.44
item5351,machine33,14.5
item2229,machine04,9.82
item4567,machine08,3.83
item5351,machine06,17.24
item5351,machine05,11.97
item4567,machine21,3.08
item5351,machine19,17.0
item5892,machine22,2.0
item5892,machine23,1.77
item4517,machine08,5.7
item4765,machine05,21.67
item4452,machine23,1.0
item4765,machine04,17.33
item5701,machine14,1.0
item3913,machine30,1.75
item874,machine32,37.5
item192,machine24,3.0
item874,machine05,52.0
item5892,machine12,2.0
item1653,machine08,5.83
item3913,machine29,0.87
item192,machine07,2.0
item5892,machine28,1.87
item192,machine35,1.92
item2859,machine21,7.67
item1176,machine09,4.13
item1122,machine10,3.83
item1122,machine35,2.65
item4807,machine21,1.57
item3650,machine29,1.48
item1176,machine23,1.22
item4893,machine09,5.33
item1176,machine30,4.76
item1176,machine33,1.0
item4197,machine28,0.67
item1122,machine30,2.27
item3501,machine05,28.19
item1122,machine08,3.98
item1122,machine14,2.21
item1176,machine07,5.85
item4197,machine21,0.75
item1176,machine08,3.12
item4197,machine23,0.67
item5456,machine21,2.1
item4908,machine23,3.0
item4197,machine30,1.25
item1122,machine09,2.57
item1122,machine28,4.02
item1176,machine21,5.5
item1176,machine22,4.17
item1122,machine23,4.13
item5130,machine28,4.72
item1122,machine21,1.81
item3650,machine22,3.95
item3919,machine22,2.88
item1895,machine04,17.0
item1678,machine20,19.0
item855,machine14,12.2
item537,machine14,5.17
item855,machine31,14.8
item537,machine23,4.75
item3381,machine21,2.17
item537,machine35,5.5
item537,machine16,5.0
item855,machine20,16.88
item537,machine04,6.67
item1989,machine08,4.33
item6579,machine19,21.83
item855,machine09,13.8
item855,machine23,21.12
item855,machine05,15.57
item537,machine09,5.85
item537,machine21,4.95
item537,machine33,5.5
item6579,machine16,13.0
item855,machine18,17.0
item1989,machine21,3.83
item537,machine30,5.62
item3235,machine23,1.67
item4239,machine08,2.27
item4239,machine31,2.08
item537,machine34,5.44
item3381,machine08,2.0
item855,machine04,16.74
item537,machine07,5.52
item537,machine08,6.16
item1457,machine22,3.93
item1097,machine34,7.67
item1457,machine07,4.01
item4624,machine32,14.71
item51,machine21,3.0
item1457,machine30,3.61
item1457,machine35,2.92
item4732,machine07,26.0
item5292,machine23,6.33
item1457,machine28,4.71
item1097,machine28,10.5
item4148,machine30,2.09
item51,machine30,2.24
item51,machine10,2.49
item4527,machine01,44.0
item51,machine14,1.33
item4921,machine23,8.97
item1097,machine22,7.64
item1097,machine23,7.01
item1457,machine31,4.44
item1097,machine09,8.12
item4527,machine06,44.0
item1018,machine29,1.88
item1097,machine08,8.12
item1457,machine21,3.87
item4527,machine19,39.5
item1457,machine23,4.41
item4624,machine05,20.61
item51,machine28,2.75
item4527,machine03,44.0
item1457,machine09,4.02
item4624,machine01,5.8
item1457,machine14,3.55
item4527,machine17,44.0
item4624,machine06,11.42
item4921,machine33,10.0
item4624,machine03,4.32
item1457,machine10,4.74
item4624,machine20,13.59
item1457,machine29,4.87
item1097,machine07,6.97
item4624,machine16,5.0
item4624,machine19,13.22
item4624,machine33,14.45
item51,machine23,2.96
item1457,machine08,3.5
item51,machine09,3.5
item1097,machine10,5.5
item2874,machine30,12.5
item2874,machine09,5.17
item4727,machine09,3.25
item2874,machine29,2.33
item4365,machine23,4.33
item4727,machine08,3.33
item4365,machine22,4.59
item2109,machine06,58.0
item2874,machine28,4.45
item3366,machine10,10.34
item4365,machine21,4.54
item3040,machine06,20.67
item3563,machine21,2.53
item2874,machine14,5.0
item3366,machine28,9.67
item4365,machine35,5.0
item4365,machine08,4.22
item2874,machine10,4.83
item1236,machine23,6.5
item5618,machine22,2.62
item2874,machine21,1.96
item3563,machine23,3.5
item4365,machine34,4.17
item4365,machine28,3.83
item2874,machine08,3.98
item4727,machine21,2.43
item4365,machine30,4.5
item4365,machine09,4.34
item3040,machine19,19.67
item4727,machine22,3.71
item1663,machine23,3.0
item851,machine01,23.0
item930,machine09,7.95
item1437,machine03,15.0
item3330,machine21,0.61
item4228,machine34,2.32
item1402,machine08,19.82
item6133,machine22,3.0
item1687,machine20,25.0
item930,machine23,7.59
item4228,machine10,2.67
item1402,machine14,16.16
item851,machine20,27.4
item3031,machine10,1.17
item4228,machine30,2.21
item2148,machine29,3.95
item1687,machine32,25.0
item3031,machine28,4.17
item851,machine05,22.33
item1402,machine04,24.37
item1437,machine33,8.46
item5779,machine08,4.92
item6193,machine08,4.62
item521,machine23,4.0
item6193,machine28,3.3
item6193,machine07,5.45
item6193,machine15,7.0
item6193,machine21,4.75
item6193,machine22,5.6
item5301,machine07,6.67
item3597,machine10,8.64
item753,machine10,2.42
item2335,machine32,15.0
item753,machine29,2.67
item6193,machine33,4.5
item5779,machine23,5.37
item6193,machine14,3.77
item5779,machine30,1.78
item6500,machine08,3.37
item6193,machine35,6.49
item6500,machine09,3.09
item1650,machine08,4.33
item5779,machine29,2.77
item753,machine23,3.52
item521,machine34,4.7
item5779,machine09,1.09
item5779,machine10,2.5
item6193,machine23,3.79
item521,machine22,4.25
item5779,machine21,1.98
item5301,machine28,9.0
item2335,machine20,13.33
item5609,machine08,12.27
item753,machine28,1.06
item5779,machine22,3.07
item6193,machine09,5.22
item6193,machine34,5.0
item15,machine04,4.5
item4430,machine10,10.67
item5399,machine17,24.0
item1359,machine28,2.42
item4430,machine04,11.5
item6504,machine32,14.0
item2321,machine23,40.0
item2321,machine21,6.17
item15,machine21,1.5
item1359,machine30,3.32
item4430,machine21,9.5
item5399,machine01,30.0
item4220,machine23,1.75
item1748,machine29,5.0
item5399,machine19,21.03
item15,machine31,4.56
item2321,machine33,35.0
item6504,machine18,18.0
item5399,machine06,36.14
item2321,machine32,2.0
item1359,machine21,3.07
item5399,machine16,26.0
item2321,machine28,7.67
item1954,machine08,3.7
item1359,machine12,1.17
item2321,machine20,12.0
item6545,machine07,5.5
item1756,machine20,33.0
item6545,machine31,5.94
item3015,machine08,6.17
item6545,machine21,5.75
item3220,machine20,20.67
item6545,machine33,5.87
item2076,machine19,26.0
item6545,machine29,5.97
item3161,machine21,2.57
item2076,machine03,45.0
item3161,machine10,5.0
item6545,machine28,3.57
item1756,machine05,33.0
item4656,machine20,95.71
item2076,machine16,7.0
item6545,machine35,5.75
item1756,machine32,6.83
item6545,machine14,5.47
item2929,machine01,17.0
item4656,machine05,106.1
item2929,machine06,25.0
item2076,machine06,32.33
item4656,machine19,149.71
item2048,machine09,7.33
item5123,machine10,4.42
item722,machine08,1.41
item5123,machine08,3.91
item5548,machine32,13.0
item736,machine22,6.11
item1354,machine28,5.5
item722,machine30,2.17
item5123,machine32,4.39
item1627,machine08,4.17
item5385,machine20,9.68
item722,machine28,2.67
item722,machine21,1.81
item722,machine23,2.42
item5123,machine21,4.39
item2666,machine20,70.0
item722,machine09,0.82
item1354,machine23,2.34
item6113,machine30,5.25
item722,machine10,2.33
item2048,machine23,3.5
item5123,machine33,5.57
item4823,machine29,13.15
item590,machine14,7.12
item4945,machine09,2.67
item4823,machine23,8.14
item6107,machine09,13.87
item5635,machine08,3.59
item2884,machine20,27.4
item4823,machine21,7.38
item1759,machine03,25.0
item4823,machine14,4.32
item2778,machine10,2.82
item4945,machine28,3.0
item590,machine08,8.0
item4823,machine32,2.69
item938,machine08,5.72
item4945,machine10,2.79
item938,machine23,6.0
item590,machine07,6.27
item581,machine23,5.08
item4823,machine22,9.84
item2884,machine28,19.0
item5635,machine28,4.81
item1759,machine20,21.75
item2778,machine28,2.83
item6107,machine08,15.32
item2884,machine05,30.0
item4823,machine10,5.33
item6107,machine23,14.0
item2884,machine04,26.67
item581,machine21,4.72
item4823,machine09,7.19
item938,machine30,6.5
item938,machine21,5.75
item590,machine31,8.17
item4823,machine28,5.43
item4823,machine08,4.78
item1393,machine33,34.68
item4470,machine32,16.33
item132,machine21,1.5
item6513,machine05,7.0
item6509,machine16,53.65
item6509,machine06,58.73
item1652,machine29,6.0
item5256,machine35,1.73
item102,machine08,2.7
item1393,machine17,24.0
item4470,machine05,18.0
item6513,machine19,4.5
item102,machine30,2.6
item102,machine23,2.62
item1393,machine05,32.89
item102,machine22,3.73
item1393,machine28,14.99
item2284,machine08,3.17
item132,machine24,2.5
item102,machine09,2.09
item6513,machine20,11.23
item132,machine15,1.58
item6509,machine08,53.65
item102,machine28,2.17
item6509,machine02,43.0
item6509,machine17,53.65
item3770,machine23,1.67
item1393,machine04,16.0
item1393,machine01,20.0
item102,machine21,2.38
item6509,machine19,41.0
item3770,machine29,4.33
item5576,machine10,0.76
item408,machine35,7.58
item1984,machine20,19.95
item4751,machine31,7.5
item4751,machine09,0.82
item1458,machine09,2.77
item1830,machine28,5.0
item4610,machine35,3.17
item1458,machine14,2.82
item408,machine21,10.32
item1984,machine06,3.63
item408,machine05,9.6
item1984,machine01,3.82
item1458,machine30,1.85
item4675,machine05,23.94
item1980,machine23,4.0
item1830,machine23,6.0
item2710,machine10,2.82
item1984,machine32,13.99
item4675,machine04,14.25
item1980,machine08,3.3
item4610,machine08,2.02
item5576,machine09,3.5
item1984,machine03,8.54
item1984,machine19,28.75
item1458,machine21,1.93
item1458,machine08,2.28
item1984,machine05,21.52
item4610,machine21,3.75
item5576,machine08,4.0
item1980,machine29,3.0
item1519,machine05,29.56
item1162,machine21,4.25
item5479,machine06,20.33
item1162,machine01,5.57
item1519,machine10,5.42
item5479,machine32,16.0
