sample_id:ID(Sample),objective_score:double
Sample_187,0
Sample_188,0
Sample_189,0
Sample_190,0
Sample_191,0
Sample_192,0
Sample_193,6093072
Sample_194,0
Sample_195,0
Sample_196,0
Sample_197,0
Sample_198,3225744
Sample_199,0
Sample_200,0
Sample_201,0
Sample_202,0
Sample_203,9498024
Sample_204,0
Sample_205,0
Sample_206,0
Sample_207,0
Sample_208,25089120
Sample_209,0
Sample_210,0
Sample_211,0
Sample_212,0
Sample_213,0
Sample_214,0
Sample_215,0
Sample_216,28833484
Sample_217,13978224
Sample_218,0
Sample_219,0
Sample_220,0
Sample_221,0
Sample_222,0
Sample_223,0
Sample_224,0
Sample_225,0
Sample_226,0
Sample_227,0
Sample_228,0
Sample_229,0
Sample_230,0
Sample_231,0
Sample_232,0
Sample_233,0
Sample_234,0
Sample_235,0
Sample_236,4480200
Sample_237,4121784
Sample_238,0
Sample_239,0
Sample_240,0
Sample_241,0
Sample_242,0
Sample_243,0
Sample_244,0
Sample_245,0
Sample_246,0
Sample_247,0
Sample_248,0
Sample_249,0
Sample_250,2867328
Sample_251,0
Sample_252,0
Sample_253,0
Sample_254,0
Sample_255,0
Sample_256,0
Sample_257,0
Sample_258,0
Sample_259,0
Sample_260,0
Sample_261,0
Sample_262,0
Sample_263,0
Sample_264,6272280
Sample_265,0
Sample_266,0
Sample_267,0
Sample_268,0
Sample_269,0
Sample_270,0
Sample_271,0
Sample_272,3404952
Sample_273,0
Sample_274,0
Sample_275,0
Sample_276,0
Sample_277,0
Sample_278,0
Sample_279,0
Sample_280,19358312
Sample_281,11679585
Sample_282,11110896
Sample_283,0
Sample_284,0
Sample_285,0
Sample_286,0
Sample_287,0
Sample_288,0
Sample_289,0
Sample_290,0
Sample_291,0
Sample_292,0
Sample_293,19144408
Sample_294,0
Sample_295,0
Sample_296,0
Sample_297,5197032
Sample_298,0
Sample_299,0
Sample_300,5197032
Sample_301,0
Sample_302,0
Sample_303,0
Sample_304,0
Sample_305,0
Sample_306,0
Sample_307,0
Sample_308,0
Sample_309,0
Sample_310,0
Sample_311,0
Sample_312,0
Sample_313,0
Sample_314,0
Sample_315,25626744
Sample_316,29149800
Sample_317,0
Sample_318,0
Sample_319,0
Sample_320,8601984
Sample_321,0
Sample_322,13082184
Sample_323,0
Sample_324,153043632
Sample_325,28852488
Sample_326,0
Sample_327,0
Sample_328,0
Sample_329,6844928
Sample_330,0
Sample_331,0
Sample_332,82887800
Sample_333,0
Sample_334,0
Sample_335,0
Sample_336,0
Sample_337,0
Sample_338,0
Sample_339,0
Sample_340,0
Sample_341,0
Sample_342,0
Sample_343,0
Sample_344,0
Sample_345,0
Sample_346,0
Sample_347,0
Sample_348,0
Sample_349,0
Sample_350,0
Sample_351,0
Sample_352,0
Sample_353,0
Sample_354,6272280
Sample_355,17562384
Sample_356,0
Sample_357,0
Sample_358,0
Sample_359,0
Sample_360,0
Sample_361,0
Sample_362,6272280
Sample_363,4300992
Sample_364,0
Sample_365,0
Sample_366,5734656
Sample_367,0
Sample_368,0
Sample_369,5454552
Sample_370,0
Sample_371,0
Sample_372,8601984
Sample_373,0
Sample_374,0
Sample_375,5017824
Sample_376,0
Sample_377,0
Sample_378,0
Sample_379,0
Sample_380,0
Sample_381,0
Sample_382,0
Sample_383,17920800
Sample_384,0
Sample_385,28494072
Sample_386,0
Sample_387,0
Sample_388,0
Sample_389,0
Sample_390,0
Sample_391,0
Sample_392,0
Sample_393,0
Sample_394,0
Sample_395,0
Sample_396,20608920
Sample_397,0
Sample_398,9856440
Sample_399,0
Sample_400,0
Sample_401,0
Sample_402,0
Sample_403,0
Sample_404,0
Sample_405,0
Sample_406,7526736
Sample_407,0
Sample_408,0
Sample_409,25805952
Sample_410,2867328
Sample_411,0
Sample_412,31361400
Sample_413,0
Sample_414,0
Sample_415,0
Sample_416,0
Sample_417,5376240
Sample_418,3942576
Sample_419,0
Sample_420,0
Sample_421,9498024
Sample_422,0
Sample_423,0
Sample_424,0
Sample_425,0
Sample_426,31693716
Sample_427,0
Sample_428,0
Sample_429,84586176
Sample_430,0
Sample_431,0
Sample_432,0
Sample_433,0
Sample_434,2706392
Sample_435,0
Sample_436,0
Sample_437,0
Sample_438,5913864
Sample_439,15591096
Sample_440,0
Sample_441,0
Sample_442,0
Sample_443,0
Sample_444,0
Sample_445,0
Sample_446,0
Sample_447,0
Sample_448,0
Sample_449,0
Sample_450,0
Sample_451,0
Sample_452,0
Sample_453,0
Sample_454,0
Sample_455,0
Sample_456,0
Sample_457,0
Sample_458,0
Sample_459,0
Sample_460,0
Sample_461,0
Sample_462,6212928
Sample_463,0
Sample_464,0
Sample_465,0
Sample_466,75883068
Sample_467,0
Sample_468,7347528
Sample_469,0
Sample_470,10267392
Sample_471,3913983
Sample_472,0
Sample_473,0
Sample_474,0
Sample_475,0
Sample_476,0
Sample_477,5555448
Sample_478,0
Sample_479,0
Sample_480,0
Sample_481,24669030
Sample_482,0
Sample_483,17920800
Sample_484,0
Sample_485,0
Sample_486,17695640
Sample_487,0
Sample_488,0
Sample_489,0
Sample_490,0
Sample_491,0
Sample_492,0
Sample_493,0
Sample_494,0
Sample_495,0
Sample_496,0
Sample_497,0
Sample_498,0
Sample_499,0
Sample_500,0
Sample_501,8601984
Sample_502,2867328
Sample_503,0
Sample_504,44085168
Sample_505,4267772
Sample_506,11290104
Sample_507,0
Sample_508,0
Sample_509,8601984
Sample_510,4838616
Sample_511,0
Sample_512,0
Sample_513,0
Sample_514,0
Sample_515,0
Sample_516,17860984
Sample_517,0
Sample_518,46235664
Sample_519,0
Sample_520,0
Sample_521,0
Sample_522,0
Sample_523,0
Sample_524,0
Sample_525,0
Sample_526,0
Sample_527,0
Sample_528,0
Sample_529,0
Sample_530,0
Sample_531,0
Sample_532,0
Sample_533,23297040
Sample_534,4480200
Sample_535,78045825
Sample_536,0
Sample_537,0
Sample_538,0
Sample_539,0
Sample_540,0
Sample_541,25805952
Sample_542,0
Sample_543,0
Sample_544,0
Sample_545,24909912
Sample_546,0
Sample_547,0
Sample_548,0
Sample_549,0
Sample_550,0
Sample_551,22938624
Sample_552,18100008
Sample_553,0
Sample_554,0
Sample_555,0
Sample_556,0
Sample_557,10214856
Sample_558,0
Sample_559,0
Sample_560,0
Sample_561,0
Sample_562,0
Sample_563,0
Sample_564,8422776
Sample_565,0
Sample_566,0
Sample_567,0
Sample_568,0
Sample_569,0
Sample_570,0
Sample_571,0
Sample_572,0
Sample_573,0
Sample_574,0
Sample_575,0
Sample_576,0
Sample_577,0
Sample_578,0
Sample_579,9856440
Sample_580,0
Sample_581,0
Sample_582,12365352
Sample_583,0
Sample_584,0
Sample_585,0
Sample_586,51317356
Sample_587,0
Sample_588,0
Sample_589,23882
Sample_590,3046536
Sample_591,0
Sample_592,9784648
Sample_593,0
Sample_594,0
Sample_595,0
Sample_596,0
Sample_597,0
Sample_598,23882
Sample_599,0
Sample_600,0
Sample_601,0
Sample_602,0
Sample_603,0
Sample_604,0
Sample_605,0
Sample_606,0
Sample_607,0
Sample_608,5133696
Sample_609,0
Sample_610,0
Sample_611,0
Sample_612,0
Sample_613,0
Sample_614,0
Sample_615,0
Sample_616,46631072
Sample_617,0
Sample_618,0
Sample_619,20788128
Sample_620,16446536
Sample_621,0
Sample_622,6272280
Sample_623,0
Sample_624,25626744
Sample_625,0
Sample_626,0
Sample_627,0
Sample_628,9677232
Sample_629,0
Sample_630,11290104
Sample_631,5913864
Sample_632,0
Sample_633,14157432
Sample_634,13978224
Sample_635,0
Sample_636,0
Sample_637,4300992
Sample_638,0
Sample_639,3225744
Sample_640,0
Sample_641,0
Sample_642,0
Sample_643,0
Sample_644,0
Sample_645,41109336
Sample_646,0
Sample_647,13440600
Sample_648,0
Sample_649,3046536
Sample_650,0
Sample_651,0
Sample_652,0
Sample_653,0
Sample_654,0
Sample_655,0
Sample_656,11554212
Sample_657,39971328
Sample_658,0
Sample_659,11469312
Sample_660,0
Sample_661,0
Sample_662,4480200
Sample_663,23655456
Sample_664,0
Sample_665,8243568
Sample_666,0
Sample_667,7168320
Sample_668,0
Sample_669,3584160
Sample_670,0
Sample_671,0
Sample_672,0
Sample_673,35303976
Sample_674,0
Sample_675,0
Sample_676,16342444
Sample_677,0
Sample_678,0
Sample_679,10214856
Sample_680,0
Sample_681,0
Sample_682,75320307
Sample_683,0
Sample_684,0
Sample_685,0
Sample_686,6630696
Sample_687,0
Sample_688,5376240
Sample_689,0
Sample_690,10752480
Sample_691,0
Sample_692,53503288
Sample_693,0
Sample_694,0
Sample_695,0
Sample_696,0
Sample_697,0
Sample_698,0
Sample_699,0
Sample_700,30271392
Sample_701,21504960
Sample_702,0
Sample_703,0
Sample_704,0
Sample_705,0
Sample_706,0
Sample_707,0
Sample_708,73488952
Sample_709,0
Sample_710,0
Sample_711,0
Sample_712,0
Sample_713,0
Sample_714,17920800
Sample_715,94084200
Sample_716,0
Sample_717,0
Sample_718,8781192
Sample_719,0
Sample_720,0
Sample_721,0
Sample_722,7885152
Sample_723,0
Sample_724,0
Sample_725,0
Sample_726,0
Sample_727,0
Sample_728,0
Sample_729,0
Sample_730,0
Sample_731,0
Sample_732,0
Sample_733,0
Sample_734,0
Sample_735,7914448
Sample_736,0
Sample_737,0
Sample_738,0
Sample_739,0
Sample_740,0
Sample_741,6989112
Sample_742,0
Sample_743,0
Sample_744,0
Sample_745,0
Sample_746,0
Sample_747,0
Sample_748,21390400
Sample_749,0
Sample_750,0
Sample_751,0
Sample_752,0
Sample_753,0
Sample_754,0
Sample_755,0
Sample_756,0
Sample_757,0
Sample_758,0
Sample_759,37457493
Sample_760,0
Sample_761,30126780
Sample_762,0
Sample_763,0
Sample_764,0
Sample_765,0
Sample_766,0
Sample_767,0
Sample_768,0
Sample_769,39168696
Sample_770,0
Sample_771,0
Sample_772,0
Sample_773,0
Sample_774,0
Sample_775,0
Sample_776,0
Sample_777,19533672
Sample_778,0
Sample_779,0
Sample_780,0
Sample_781,0
Sample_782,13619808
Sample_783,0
Sample_784,0
Sample_785,9139608
Sample_786,9498024
Sample_787,0
Sample_788,0
Sample_789,0
Sample_790,10096924
Sample_791,0
Sample_792,0
Sample_793,0
Sample_794,0
Sample_795,0
Sample_796,0
Sample_797,0
Sample_798,0
Sample_799,0
Sample_800,0
Sample_801,0
Sample_802,0
Sample_803,0
Sample_804,0
Sample_805,0
Sample_806,107527036
Sample_807,0
Sample_808,0
Sample_809,0
Sample_810,0
Sample_811,0
Sample_812,0
Sample_813,0
Sample_814,0
Sample_815,0
Sample_816,0
Sample_817,0
Sample_818,0
Sample_819,10394064
Sample_820,0
Sample_821,3404952
Sample_822,0
Sample_823,0
Sample_824,0
Sample_825,13082184
Sample_826,0
Sample_827,0
Sample_828,0
Sample_829,0
Sample_830,0
Sample_831,0
Sample_832,0
Sample_833,61283496
Sample_834,0
Sample_835,0
Sample_836,17024760
Sample_837,0
Sample_838,0
Sample_839,0
Sample_840,0
Sample_841,0
Sample_842,0
Sample_843,0
Sample_844,13978224
Sample_845,0
Sample_846,0
Sample_847,0
Sample_848,0
Sample_849,0
Sample_850,0
Sample_851,23882
Sample_852,0
Sample_853,0
Sample_854,0
Sample_855,0
Sample_856,5734656
Sample_857,0
Sample_858,0
Sample_859,0
Sample_860,0
Sample_861,0
Sample_862,0
Sample_863,0
Sample_864,0
Sample_865,0
Sample_866,0
Sample_867,9498024
Sample_868,0
Sample_869,0
Sample_870,0
Sample_871,0
Sample_872,0
Sample_873,0
Sample_874,0
Sample_875,0
Sample_876,5734656
Sample_877,0
Sample_878,0
Sample_879,0
Sample_880,0
Sample_881,0
Sample_882,0
Sample_883,0
Sample_884,0
Sample_885,0
Sample_886,0
Sample_887,0
Sample_888,0
Sample_889,0
Sample_890,0
Sample_891,0
Sample_892,0
Sample_893,5722116
Sample_894,0
Sample_895,0
Sample_896,0
Sample_897,0
Sample_898,0
Sample_899,23297040
Sample_900,32974272
Sample_901,0
Sample_902,7705944
Sample_903,0
Sample_904,0
Sample_905,0
Sample_906,0
Sample_907,0
Sample_908,0
Sample_909,0
Sample_910,0
Sample_911,0
Sample_912,35615016
Sample_913,0
Sample_914,0
Sample_915,0
Sample_916,0
Sample_917,0
Sample_918,8243568
Sample_919,0
Sample_920,0
Sample_921,0
Sample_922,0
Sample_923,0
Sample_924,0
Sample_925,0
Sample_926,0
Sample_927,0
Sample_928,0
Sample_929,0
Sample_930,0
Sample_931,0
Sample_932,0
Sample_933,0
Sample_934,0
Sample_935,0
Sample_936,0
Sample_937,0
Sample_938,83331720
Sample_939,0
Sample_940,39784176
Sample_941,0
Sample_942,25447536
Sample_943,0
Sample_944,0
Sample_945,0
Sample_946,6272280
Sample_947,30286152
Sample_948,0
Sample_949,0
Sample_950,0
Sample_951,0
Sample_952,0
Sample_953,0
Sample_954,9625680
Sample_955,9318816
Sample_956,5197032
Sample_957,10035648
Sample_958,0
Sample_959,0
Sample_960,0
Sample_961,0
Sample_962,0
Sample_963,0
Sample_964,0
Sample_965,0
Sample_966,0
Sample_967,0
Sample_968,0
Sample_969,0
Sample_970,0
Sample_971,0
Sample_972,0
Sample_973,0
Sample_974,0
Sample_975,4659408
Sample_976,0
Sample_977,0
Sample_978,0
Sample_979,0
Sample_980,0
Sample_981,0
Sample_982,71324784
Sample_983,0
Sample_984,0
Sample_985,9056004
Sample_986,0
Sample_987,0
Sample_988,0
Sample_989,0
Sample_990,4300992
Sample_991,0
Sample_992,0
Sample_993,6037336
Sample_994,56105670
Sample_995,0
Sample_996,0
Sample_997,0
Sample_998,11648520
Sample_999,0
Sample_1000,0
Sample_1001,0
Sample_1002,0
Sample_1003,0
Sample_1004,0
Sample_1005,0
Sample_1006,0
Sample_1007,0
Sample_1008,0
Sample_1009,0
Sample_1010,4300992
Sample_1011,0
Sample_1012,0
Sample_1013,0
Sample_1014,0
Sample_1015,0
Sample_1016,0
Sample_1017,0
Sample_1018,0
Sample_1019,0
Sample_1020,0
Sample_1021,0
Sample_1022,0
Sample_1023,0
Sample_1024,0
Sample_1025,0
Sample_1026,0
Sample_1027,0
Sample_1028,0
Sample_1029,0
Sample_1030,0
Sample_1031,0
Sample_1032,0
Sample_1033,0
Sample_1034,0
Sample_1035,0
Sample_1036,0
Sample_1037,84311607
Sample_1038,0
Sample_1039,0
Sample_1040,0
Sample_1041,0
Sample_1042,0
Sample_1043,0
Sample_1044,0
Sample_1045,0
Sample_1046,0
Sample_1047,0
Sample_1048,0
Sample_1049,0
Sample_1050,0
Sample_1051,0
Sample_1052,0
Sample_1053,0
Sample_1054,10573272
Sample_1055,0
Sample_1056,0
Sample_1057,0
Sample_1058,0
Sample_1059,0
Sample_1060,0
Sample_1061,11110896
Sample_1062,0
Sample_1063,7347528
Sample_1064,0
Sample_1065,0
Sample_1066,0
Sample_1067,35124768
Sample_1068,0
Sample_1069,0
Sample_1070,0
Sample_1071,0
Sample_1072,9498024
Sample_1073,0
Sample_1074,0
Sample_1075,0
Sample_1076,0
Sample_1077,2183100
Sample_1078,0
Sample_1079,0
Sample_1080,0
Sample_1081,0
Sample_1082,0
Sample_1083,0
Sample_1084,0
Sample_1085,0
Sample_1086,0
Sample_1087,16898416
Sample_1088,20470
Sample_1089,10394064
Sample_1090,0
Sample_1091,0
Sample_1092,0
Sample_1093,4300992
Sample_1094,0
Sample_1095,0
Sample_1096,0
Sample_1097,0
Sample_1098,9139608
Sample_1099,0
Sample_1100,7347528
Sample_1101,0
Sample_1102,0
Sample_1103,0
Sample_1104,0
Sample_1105,17920800
Sample_1106,80715224
Sample_1107,7141701
Sample_1108,0
Sample_1109,4163680
Sample_1110,0
Sample_1111,0
Sample_1112,0
Sample_1113,0
Sample_1114,8960400
Sample_1115,24909912
Sample_1116,0
Sample_1117,0
Sample_1118,0
Sample_1119,0
Sample_1120,0
Sample_1121,0
Sample_1122,0
Sample_1123,0
Sample_1124,0
Sample_1125,0
Sample_1126,0
Sample_1127,12443670
Sample_1128,8781192
Sample_1129,7168320
Sample_1130,16342444
Sample_1131,0
Sample_1132,5734656
Sample_1133,0
Sample_1134,0
Sample_1135,15187184
Sample_1136,5017824
Sample_1137,0
Sample_1138,33889896
Sample_1139,6451488
Sample_1140,2508912
Sample_1141,0
Sample_1142,0
Sample_1143,19354464
Sample_1144,2566848
Sample_1145,21684168
Sample_1146,6451488
Sample_1147,0
Sample_1148,0
Sample_1149,0
Sample_1150,0
Sample_1151,0
Sample_1152,0
Sample_1153,0
Sample_1154,0
Sample_1155,0
Sample_1156,0
Sample_1157,0
Sample_1158,0
Sample_1159,0
Sample_1160,0
Sample_1161,0
Sample_1162,0
Sample_1163,0
Sample_1164,0
Sample_1165,0
Sample_1166,0
Sample_1167,0
Sample_1168,0
Sample_1169,0
Sample_1170,0
Sample_1171,0
Sample_1172,0
Sample_1173,6809904
Sample_1174,0
Sample_1175,0
Sample_1176,4300992
Sample_1177,0
Sample_1178,0
Sample_1179,0
Sample_1180,0
Sample_1181,0
Sample_1182,30823776
Sample_1183,0
Sample_1184,0
Sample_1185,9101036
Sample_1186,6557
Sample_1187,28135656
Sample_1188,0
Sample_1189,0
Sample_1190,0
Sample_1191,0
Sample_1192,0
Sample_1193,0
Sample_1194,0
Sample_1195,0
Sample_1196,0
Sample_1197,0
Sample_1198,0
Sample_1199,11110896
Sample_1200,0
Sample_1201,0
Sample_1202,0
Sample_1203,100388
Sample_1204,0
Sample_1205,0
Sample_1206,41934672
Sample_1207,0
Sample_1208,0
Sample_1209,0
Sample_1210,0
Sample_1211,0
Sample_1212,0
Sample_1213,0
Sample_1214,0
Sample_1215,0
Sample_1216,0
Sample_1217,0
Sample_1218,0
Sample_1219,0
Sample_1220,8243568
Sample_1221,0
Sample_1222,0
Sample_1223,28673280
Sample_1224,0
Sample_1225,0
Sample_1226,0
Sample_1227,0
Sample_1228,0
Sample_1229,0
Sample_1230,0
Sample_1231,0
Sample_1232,0
Sample_1233,67035248
Sample_1234,0
Sample_1235,52687152
Sample_1236,0
Sample_1237,16307928
Sample_1238,0
Sample_1239,0
Sample_1240,0
Sample_1241,0
Sample_1242,0
Sample_1243,5376240
Sample_1244,0
Sample_1245,0
Sample_1246,7914448
Sample_1247,1873656
Sample_1248,0
Sample_1249,0
Sample_1250,0
Sample_1251,0
Sample_1252,0
Sample_1253,2867328
Sample_1254,13799016
Sample_1255,0
Sample_1256,18996048
Sample_1257,0
Sample_1258,0
Sample_1259,0
Sample_1260,0
Sample_1261,0
Sample_1262,0
Sample_1263,16845552
Sample_1264,71394192
Sample_1265,14336640
Sample_1266,0
Sample_1267,0
Sample_1268,0
Sample_1269,10931688
Sample_1270,0
Sample_1271,18397336
Sample_1272,0
Sample_1273,0
Sample_1274,0
Sample_1275,0
Sample_1276,1254456
Sample_1277,0
Sample_1278,6630696
Sample_1279,0
Sample_1280,66461544
Sample_1281,115267680
Sample_1282,0
Sample_1283,0
Sample_1284,0
Sample_1285,0
Sample_1286,0
Sample_1287,0
Sample_1288,0
Sample_1289,0
Sample_1290,55064668
Sample_1291,0
Sample_1292,0
Sample_1293,0
Sample_1294,0
Sample_1295,0
Sample_1296,0
Sample_1297,0
Sample_1298,0
Sample_1299,0
Sample_1300,0
Sample_1301,0
Sample_1302,0
Sample_1303,3225744
Sample_1304,0
Sample_1305,0
Sample_1306,0
Sample_1307,70801353
Sample_1308,0
Sample_1309,716832
Sample_1310,0
Sample_1311,0
Sample_1312,0
Sample_1313,0
Sample_1314,0
Sample_1315,0
Sample_1316,3763368
Sample_1317,0
Sample_1318,0
Sample_1319,0
Sample_1320,0
Sample_1321,0
Sample_1322,48663160
Sample_1323,6557
Sample_1324,0
Sample_1325,0
Sample_1326,0
Sample_1327,6809904
Sample_1328,0
Sample_1329,0
Sample_1330,0
Sample_1331,0
Sample_1332,0
Sample_1333,17562384
Sample_1334,0
Sample_1335,0
Sample_1336,0
Sample_1337,12723768
Sample_1338,0
Sample_1339,2867328
Sample_1340,0
Sample_1341,0
Sample_1342,0
Sample_1343,0
Sample_1344,0
Sample_1345,0
Sample_1346,64328856
Sample_1347,0
Sample_1348,0
Sample_1349,0
Sample_1350,0
Sample_1351,0
Sample_1352,0
Sample_1353,0
Sample_1354,0
Sample_1355,0
Sample_1356,0
Sample_1357,3274650
Sample_1358,0
Sample_1359,31182192
Sample_1360,0
Sample_1361,0
Sample_1362,0
Sample_1363,0
Sample_1364,0
Sample_1365,0
Sample_1366,0
Sample_1367,33691104
Sample_1368,0
Sample_1369,0
Sample_1370,0
Sample_1371,0
Sample_1372,0
Sample_1373,0
Sample_1374,0
Sample_1375,0
Sample_1376,0
Sample_1377,0
Sample_1378,0
Sample_1379,0
Sample_1380,0
Sample_1381,0
Sample_1382,0
Sample_1383,0
Sample_1384,8015084
Sample_1385,0
Sample_1386,0
Sample_1387,0
Sample_1388,0
Sample_1389,0
Sample_1390,0
Sample_1391,0
Sample_1392,0
Sample_1393,6451488
Sample_1394,26343576
Sample_1395,0
Sample_1396,3225744
Sample_1397,0
Sample_1398,0
Sample_1399,34662636
Sample_1400,0
Sample_1401,0
Sample_1402,0
Sample_1403,0
Sample_1404,0
Sample_1405,0
Sample_1406,0
Sample_1407,0
Sample_1408,5017824
Sample_1409,0
Sample_1410,0
Sample_1411,0
Sample_1412,0
Sample_1413,0
Sample_1414,0
Sample_1415,0
Sample_1416,0
Sample_1417,0
Sample_1418,0
Sample_1419,0
Sample_1420,16128720
Sample_1421,0
Sample_1422,0
Sample_1423,0
Sample_1424,0
Sample_1425,9498024
Sample_1426,0
Sample_1427,0
Sample_1428,26522784
Sample_1429,0
Sample_1430,0
Sample_1431,9318816
Sample_1432,0
Sample_1433,0
Sample_1434,11469312
Sample_1435,18458424
Sample_1436,0
Sample_1437,0
Sample_1438,23655456
Sample_1439,0
Sample_1440,11648520
Sample_1441,11764720
Sample_1442,0
Sample_1443,0
Sample_1444,0
Sample_1445,0
Sample_1446,0
Sample_1447,8018892
Sample_1448,28489455
Sample_1449,0
Sample_1450,0
Sample_1451,0
Sample_1452,0
Sample_1453,0
Sample_1454,0
Sample_1455,0
Sample_1456,0
Sample_1457,108743280
Sample_1458,0
Sample_1459,6453704
Sample_1460,0
Sample_1461,0
Sample_1462,0
Sample_1463,0
Sample_1464,0
Sample_1465,19175256
Sample_1466,20788128
Sample_1467,0
Sample_1468,0
Sample_1469,11764720
Sample_1470,0
Sample_1471,0
Sample_1472,20089756
Sample_1473,0
Sample_1474,0
Sample_1475,0
Sample_1476,0
Sample_1477,0
Sample_1478,0
Sample_1479,0
Sample_1480,0
Sample_1481,0
Sample_1482,0
Sample_1483,7168320
Sample_1484,0
Sample_1485,0
Sample_1486,0
Sample_1487,0
Sample_1488,169172352
Sample_1489,0
Sample_1490,0
Sample_1491,0
Sample_1492,0
Sample_1493,0
Sample_1494,0
Sample_1495,0
Sample_1496,0
Sample_1497,0
Sample_1498,0
Sample_1499,0
Sample_1500,0
Sample_1501,0
Sample_1502,0
Sample_1503,0
Sample_1504,0
Sample_1505,18609648
Sample_1506,6630696
Sample_1507,34766352
Sample_1508,0
Sample_1509,0
Sample_1510,0
Sample_1511,0
Sample_1512,0
Sample_1513,0
Sample_1514,6451488
Sample_1515,0
Sample_1516,0
Sample_1517,0
Sample_1518,0
Sample_1519,6809904
Sample_1520,3851404
Sample_1521,0
Sample_1522,0
Sample_1523,0
Sample_1524,0
Sample_1525,0
Sample_1526,0
Sample_1527,0
Sample_1528,0
Sample_1529,5376240
Sample_1530,0
Sample_1531,0
Sample_1532,0
Sample_1533,0
Sample_1534,0
Sample_1535,0
Sample_1536,0
Sample_1537,3955496
Sample_1538,0
Sample_1539,0
Sample_1540,0
Sample_1541,0
Sample_1542,0
Sample_1543,0
Sample_1544,0
Sample_1545,0
Sample_1546,0
Sample_1547,0
Sample_1548,0
Sample_1549,0
Sample_1550,0
Sample_1551,0
Sample_1552,0
Sample_1553,0
Sample_1554,0
Sample_1555,0
Sample_1556,0
Sample_1557,0
Sample_1558,4121784
Sample_1559,0
Sample_1560,0
Sample_1561,0
Sample_1562,0
Sample_1563,0
Sample_1564,0
Sample_1565,0
Sample_1566,0
Sample_1567,0
Sample_1568,0
Sample_1569,0
Sample_1570,104092
Sample_1571,13619808
Sample_1572,0
Sample_1573,0
Sample_1574,0
Sample_1575,53583192
Sample_1576,0
Sample_1577,0
Sample_1578,0
Sample_1579,0
Sample_1580,3584160
Sample_1581,0
Sample_1582,0
Sample_1583,11290104
Sample_1584,13440600
Sample_1585,5913864
Sample_1586,0
Sample_1587,0
Sample_1588,0
Sample_1589,0
