sample_id,item_id,time_id,quantity
Sample_11,item1709,date277,7
Sample_11,item6489,date332,28
Sample_11,item3812,date339,28
Sample_12,item4593,date037,18
Sample_12,item952,date056,6
Sample_12,item5008,date105,226
Sample_12,item3568,date172,4
Sample_12,item5282,date191,80
Sample_12,item5001,date205,25
Sample_12,item3226,date332,26
Sample_12,item1444,date338,23
Sample_12,item5443,date351,2
Sample_12,item88,date360,1
Sample_13,item614,date064,8
Sample_13,item2300,date104,3
Sample_13,item919,date106,56
Sample_13,item5220,date141,14
Sample_13,item2794,date153,156
Sample_13,item2263,date191,5
Sample_13,item1472,date194,181
Sample_13,item5641,date237,52
Sample_13,item113,date264,44
Sample_13,item1055,date365,63
Sample_14,item1472,date019,362
Sample_14,item3222,date100,62
Sample_14,item889,date105,101
Sample_14,item5084,date112,57
Sample_14,item347,date135,1
Sample_14,item4524,date188,1
Sample_14,item2495,date198,3
Sample_14,item216,date290,5
Sample_14,item5690,date310,1
Sample_14,item5872,date343,1
Sample_15,item5155,date012,8
Sample_15,item350,date106,2
Sample_15,item2215,date118,67
Sample_15,item2212,date155,9
Sample_15,item584,date173,59
Sample_15,item3814,date249,1
Sample_15,item646,date303,136
Sample_15,item2641,date312,1
Sample_15,item2039,date332,9
Sample_15,item5929,date344,2
Sample_16,item3446,date031,25
Sample_16,item5718,date174,5
Sample_16,item578,date182,44
Sample_16,item826,date193,224
Sample_16,item1806,date206,3
Sample_16,item3495,date242,28
Sample_16,item62,date281,1
Sample_16,item6510,date293,207
Sample_16,item932,date359,168
Sample_16,item3850,date360,5
Sample_17,item3327,date029,5
Sample_17,item1930,date137,60
Sample_17,item4435,date152,234
Sample_17,item2305,date156,76
Sample_17,item4703,date172,8
Sample_17,item4105,date287,1
Sample_17,item2506,date296,16
Sample_17,item6371,date298,15
Sample_17,item264,date310,13
Sample_17,item6246,date349,5
Sample_18,item2441,date006,47
Sample_18,item80,date058,1
Sample_18,item5882,date072,46
Sample_18,item3009,date083,4
Sample_18,item3046,date122,11
Sample_18,item4401,date198,20
Sample_18,item5421,date210,31
Sample_18,item3155,date228,20
Sample_18,item1664,date332,11
Sample_18,item2849,date342,66
Sample_19,item6291,date026,4
Sample_19,item1577,date043,73
Sample_19,item3696,date052,20
Sample_19,item4192,date090,24
Sample_19,item1500,date116,2
Sample_19,item5980,date116,7
Sample_19,item3587,date288,69
Sample_19,item4339,date314,10
Sample_19,item825,date331,8
Sample_19,item73,date355,6
Sample_20,item2118,date043,20
Sample_20,item1260,date054,32
Sample_20,item159,date057,20
Sample_20,item4442,date104,34
Sample_20,item5269,date132,68
Sample_20,item3799,date158,10
Sample_20,item1286,date256,4
Sample_20,item6099,date284,2
Sample_20,item5944,date289,4
Sample_20,item1721,date298,3
Sample_21,item4631,date035,90
Sample_21,item413,date078,4
Sample_21,item4725,date098,3
Sample_21,item1498,date137,2
Sample_21,item1718,date253,27
Sample_21,item664,date305,4
Sample_21,item112,date309,2
Sample_21,item5406,date310,1
Sample_21,item3488,date314,2
Sample_21,item2263,date338,10
Sample_22,item5549,date002,17
Sample_22,item4730,date005,5
Sample_22,item5790,date102,8
Sample_22,item1917,date114,26
Sample_22,item1128,date130,2
Sample_22,item2583,date231,12
Sample_22,item712,date267,9
Sample_22,item5665,date303,4
Sample_22,item5367,date312,422
Sample_22,item1206,date329,2
Sample_23,item6082,date025,3
Sample_23,item2938,date027,2
Sample_23,item4292,date030,54
Sample_23,item3978,date035,2
Sample_23,item3101,date051,1
Sample_23,item3689,date069,58
Sample_23,item996,date229,79
Sample_23,item3176,date268,8
Sample_23,item3707,date273,16
Sample_23,item4596,date324,60
Sample_24,item6091,date013,10
Sample_24,item2229,date033,34
Sample_24,item4567,date153,11
Sample_24,item6114,date178,13
Sample_24,item3377,date229,11
Sample_24,item2340,date249,6
Sample_24,item2153,date281,24
Sample_24,item2470,date291,4
Sample_24,item1801,date321,20
Sample_24,item5351,date355,288
Sample_25,item5701,date017,1
Sample_25,item5892,date028,12
Sample_25,item2859,date089,3
Sample_25,item1653,date101,11
Sample_25,item4452,date136,2
Sample_25,item192,date150,6
Sample_25,item874,date219,178
Sample_25,item3913,date222,2
Sample_25,item4765,date232,38
Sample_25,item4517,date246,5
Sample_26,item1176,date069,3
Sample_26,item4197,date088,1
Sample_26,item4893,date119,10
Sample_26,item5130,date150,9
Sample_26,item3650,date176,4
Sample_26,item1122,date179,3
Sample_26,item3501,date208,28
Sample_26,item5456,date276,4
Sample_26,item4807,date302,1
Sample_26,item4908,date304,6
Sample_27,item1678,date046,38
Sample_27,item3381,date077,8
Sample_27,item1895,date094,17
Sample_27,item3919,date110,1
Sample_27,item4239,date210,2
Sample_27,item3235,date230,1
Sample_27,item855,date236,124
Sample_27,item537,date255,5
Sample_27,item6579,date262,34
Sample_27,item1989,date303,4
Sample_28,item5292,date034,3
Sample_28,item4148,date044,2
Sample_28,item1457,date161,45
Sample_28,item4732,date225,52
Sample_28,item1018,date237,1
Sample_28,item1097,date260,116
Sample_28,item51,date330,15
Sample_28,item4624,date331,99
Sample_28,item4527,date364,215
Sample_28,item4921,date365,36
Sample_29,item1663,date003,1
Sample_29,item3040,date037,39
Sample_29,item4727,date059,11
Sample_29,item1236,date071,3
Sample_29,item3366,date075,38
Sample_29,item3563,date089,5
Sample_29,item5618,date106,2
Sample_29,item4365,date112,36
Sample_29,item2109,date181,116
Sample_29,item2874,date200,36
Sample_30,item3031,date036,10
Sample_30,item1437,date052,11
Sample_30,item851,date151,144
Sample_30,item930,date153,7
Sample_30,item2148,date188,3
Sample_30,item1687,date217,25
Sample_30,item4228,date232,6
Sample_30,item3330,date300,1
Sample_30,item6133,date312,3
Sample_30,item1402,date329,20
Sample_31,item5301,date026,7
Sample_31,item1650,date038,8
Sample_31,item3597,date176,8
Sample_31,item6193,date178,4
Sample_31,item5779,date187,38
Sample_31,item6500,date224,3
Sample_31,item753,date232,8
Sample_31,item5609,date238,6
Sample_31,item2335,date319,56
Sample_31,item521,date356,12
Sample_32,item5399,date001,274
Sample_32,item15,date067,18
Sample_32,item6504,date096,64
Sample_32,item2321,date126,17
Sample_32,item4220,date134,1
Sample_32,item1653,date207,2
Sample_32,item1954,date234,1
Sample_32,item4430,date266,10
Sample_32,item1359,date302,2
Sample_32,item1748,date360,5
Sample_33,item2929,date012,84
Sample_33,item4656,date030,117
Sample_33,item1756,date080,24
Sample_33,item4703,date081,4
Sample_33,item2076,date173,110
Sample_33,item655,date179,34
Sample_33,item6545,date204,76
Sample_33,item3015,date206,6
Sample_33,item3220,date274,20
Sample_33,item3161,date301,7
Sample_34,item5123,date036,40
Sample_34,item2666,date046,70
Sample_34,item6113,date081,2
Sample_34,item736,date171,3
Sample_34,item5548,date183,6
Sample_34,item1627,date211,8
Sample_34,item2048,date252,20
Sample_34,item5385,date331,19
Sample_34,item1354,date343,7
Sample_34,item722,date364,20
Sample_35,item938,date004,44
Sample_35,item2884,date019,25
Sample_35,item1759,date094,23
Sample_35,item4823,date103,6
Sample_35,item590,date118,58
Sample_35,item581,date132,4
Sample_35,item5635,date144,14
Sample_35,item2778,date163,8
Sample_35,item6107,date234,14
Sample_35,item4945,date281,14
Sample_36,item6513,date074,22
Sample_36,item6509,date080,602
Sample_36,item3770,date153,5
Sample_36,item102,date156,2
Sample_36,item1393,date173,23
Sample_36,item4470,date184,34
Sample_36,item2284,date258,3
Sample_36,item132,date361,1
Sample_36,item1652,date363,3
Sample_36,item5256,date364,1
Sample_37,item1830,date041,5
Sample_37,item1458,date058,8
Sample_37,item1984,date131,14
Sample_37,item4610,date163,16
Sample_37,item4675,date209,19
Sample_37,item4751,date248,4
Sample_37,item2710,date301,5
Sample_37,item1980,date305,3
Sample_37,item5576,date322,14
Sample_37,item408,date347,9
Sample_38,item1519,date043,166
Sample_38,item1595,date078,20
Sample_38,item1757,date080,104
Sample_38,item5479,date124,55
Sample_38,item1162,date137,84
Sample_38,item4518,date182,3
Sample_38,item1427,date203,4
Sample_38,item4885,date220,3
Sample_38,item2887,date230,3
Sample_38,item6308,date365,2
Sample_39,item222,date110,4
Sample_39,item4019,date206,2
Sample_39,item3392,date207,1
Sample_39,item4114,date208,12
Sample_39,item3690,date227,2
Sample_39,item4514,date256,24
Sample_39,item4166,date257,26
Sample_39,item4335,date260,18
Sample_39,item5904,date310,13
Sample_39,item4573,date317,3
Sample_40,item1251,date023,6
Sample_40,item2430,date034,1
Sample_40,item533,date077,8
Sample_40,item837,date088,14
Sample_40,item1436,date105,3
Sample_40,item5344,date126,476
Sample_40,item4471,date140,3
Sample_40,item4004,date249,5
Sample_40,item5911,date309,5
Sample_40,item368,date317,6
Sample_41,item970,date066,4
Sample_41,item126,date141,1
Sample_41,item3640,date236,87
Sample_41,item5647,date236,5
Sample_41,item1638,date262,3
Sample_41,item4232,date272,2
Sample_41,item2918,date276,1
Sample_41,item1540,date311,162
Sample_41,item2519,date348,4
Sample_41,item3349,date364,26
Sample_42,item5847,date029,74
Sample_42,item2203,date059,56
Sample_42,item3973,date067,1
Sample_42,item3232,date117,7
Sample_42,item5441,date142,2
Sample_42,item5465,date247,46
Sample_42,item2351,date316,20
Sample_42,item2027,date329,9
Sample_42,item5562,date347,8
Sample_42,item1999,date354,34
Sample_43,item836,date033,12
Sample_43,item448,date042,14
Sample_43,item4609,date042,1
Sample_43,item3764,date045,6
Sample_43,item4788,date053,130
Sample_43,item3143,date070,2
Sample_43,item4307,date082,9
Sample_43,item3077,date175,1
Sample_43,item18,date294,8
Sample_43,item2527,date337,4
Sample_44,item2260,date025,16
Sample_44,item1216,date055,10
Sample_44,item1480,date086,4
Sample_44,item1860,date091,13
Sample_44,item5937,date107,14
Sample_44,item3162,date205,1
Sample_44,item5982,date253,4
Sample_44,item4298,date311,27
Sample_44,item916,date327,4
Sample_44,item2680,date362,4
Sample_45,item2012,date061,7
Sample_45,item470,date111,18
Sample_45,item767,date128,2
Sample_45,item665,date164,3
Sample_45,item5868,date187,7
Sample_45,item1371,date195,2
Sample_45,item2084,date199,46
Sample_45,item1053,date246,10
Sample_45,item02,date285,6
Sample_45,item5032,date312,8
Sample_46,item5250,date030,13
Sample_46,item803,date053,21
Sample_46,item2897,date110,18
Sample_46,item485,date113,2
Sample_46,item4557,date175,3
Sample_46,item609,date209,21
Sample_46,item3048,date225,1
Sample_46,item1388,date243,6
Sample_46,item5481,date281,5
Sample_46,item4779,date342,5
Sample_47,item1051,date065,8
Sample_47,item6456,date068,42
Sample_47,item4283,date112,16
Sample_47,item5421,date120,5
Sample_47,item6267,date127,18
Sample_47,item108,date132,1
Sample_47,item2621,date260,22
Sample_47,item1737,date324,29
Sample_47,item652,date334,129
Sample_47,item2029,date363,4
Sample_48,item5234,date009,5
Sample_48,item6450,date023,426
Sample_48,item1728,date060,2
Sample_48,item2798,date079,5
Sample_48,item2472,date119,66
Sample_48,item2799,date133,12
Sample_48,item1612,date198,44
Sample_48,item5366,date240,1
Sample_48,item3599,date292,230
Sample_48,item2596,date341,9
Sample_49,item1017,date097,3
Sample_49,item2953,date154,10
Sample_49,item4095,date169,3
Sample_49,item4082,date174,11
Sample_49,item5901,date245,1
Sample_49,item5473,date314,9
Sample_49,item1271,date320,27
Sample_49,item729,date326,170
Sample_49,item2510,date328,1
Sample_49,item4733,date341,11
Sample_50,item4913,date028,17
Sample_50,item2326,date050,26
Sample_50,item3068,date132,1
Sample_50,item3632,date145,1
Sample_50,item916,date151,8
Sample_50,item4956,date191,6
Sample_50,item2951,date234,5
Sample_50,item3568,date259,1
Sample_50,item6190,date316,7
Sample_50,item790,date334,5
Sample_51,item4335,date040,56
Sample_51,item3546,date050,5
Sample_51,item3058,date119,42
Sample_51,item2330,date123,22
Sample_51,item4966,date135,3
Sample_51,item4155,date246,28
Sample_51,item4043,date254,50
Sample_51,item3266,date257,12
Sample_51,item6223,date297,9
Sample_51,item2859,date325,7
Sample_52,item3769,date031,4
Sample_52,item1417,date035,110
Sample_52,item737,date115,21
Sample_52,item3005,date128,1
Sample_52,item510,date156,6
Sample_52,item2830,date177,6
Sample_52,item6476,date246,83
Sample_52,item5474,date276,23
Sample_52,item1220,date280,18
Sample_52,item5764,date315,4
Sample_53,item5737,date015,3
Sample_53,item3415,date082,1
Sample_53,item4328,date111,13
Sample_53,item5682,date159,45
Sample_53,item3810,date197,2
Sample_53,item1483,date249,4
Sample_53,item1222,date320,9
Sample_53,item5862,date323,1
Sample_53,item151,date343,22
Sample_53,item5041,date356,26
Sample_54,item2859,date043,15
Sample_54,item3430,date085,3
Sample_54,item2523,date173,24
Sample_54,item1656,date190,46
Sample_54,item3212,date219,3
Sample_54,item4195,date294,3
Sample_54,item4653,date316,4
Sample_54,item5658,date317,19
Sample_54,item1730,date319,2
Sample_54,item3755,date360,10
Sample_55,item2053,date034,3
Sample_55,item1297,date054,69
Sample_55,item2850,date095,9
Sample_55,item1876,date125,26
Sample_55,item1490,date167,7
Sample_55,item1767,date227,3
Sample_55,item6076,date254,8
Sample_55,item744,date285,176
Sample_55,item3789,date286,15
Sample_55,item5523,date313,6
Sample_56,item5185,date055,1
Sample_56,item6012,date086,4
Sample_56,item1623,date099,3
Sample_56,item4390,date137,57
Sample_56,item177,date156,42
Sample_56,item5314,date177,70
Sample_56,item1901,date273,6
Sample_56,item5172,date289,343
Sample_56,item894,date334,70
Sample_56,item5742,date340,3
Sample_57,item1495,date022,70
Sample_57,item1601,date060,5
Sample_57,item5525,date080,1
Sample_57,item5820,date091,16
Sample_57,item963,date134,72
Sample_57,item3282,date136,41
Sample_57,item406,date167,12
Sample_57,item3968,date175,14
Sample_57,item918,date213,7
Sample_57,item1553,date261,56
Sample_58,item2724,date020,2
Sample_58,item5526,date034,4
Sample_58,item61,date106,2
Sample_58,item1474,date119,6
Sample_58,item4722,date127,5
Sample_58,item6253,date203,1
Sample_58,item4024,date216,31
Sample_58,item2921,date254,40
Sample_58,item1682,date310,6
Sample_58,item6350,date312,12
Sample_59,item5235,date023,36
Sample_59,item5958,date210,33
Sample_59,item322,date252,1
Sample_59,item6547,date290,1
Sample_59,item6544,date294,40
Sample_59,item2119,date303,10
Sample_59,item6451,date307,89
Sample_59,item2706,date308,4
Sample_59,item203,date332,31
Sample_59,item3457,date343,46
Sample_60,item5656,date011,54
Sample_60,item803,date065,5
Sample_60,item1983,date074,74
Sample_60,item6557,date169,2
Sample_60,item1413,date187,8
Sample_60,item2090,date211,15
Sample_60,item4088,date270,2
Sample_60,item1653,date297,5
Sample_60,item6462,date341,13
Sample_60,item6305,date364,1
Sample_61,item3446,date125,12
Sample_61,item3077,date146,1
Sample_61,item3896,date162,12
Sample_61,item3694,date206,20
Sample_61,item2975,date239,2
Sample_61,item6598,date268,12
Sample_61,item4714,date293,110
Sample_61,item4033,date313,11
Sample_61,item4571,date318,25
Sample_61,item890,date359,26
Sample_62,item5692,date020,132
Sample_62,item407,date042,186
Sample_62,item1914,date046,2
Sample_62,item3404,date093,2
Sample_62,item5877,date093,18
Sample_62,item2778,date166,2
Sample_62,item4179,date169,9
Sample_62,item5617,date204,172
Sample_62,item2432,date316,26
Sample_62,item684,date343,1
Sample_63,item6378,date009,2
Sample_63,item3741,date011,1
Sample_63,item5631,date054,9
Sample_63,item5500,date140,24
Sample_63,item1928,date182,30
Sample_63,item4823,date186,128
Sample_63,item4783,date210,3
Sample_63,item997,date271,286
Sample_63,item3096,date334,30
Sample_63,item657,date365,66
Sample_64,item4728,date072,16
Sample_64,item4923,date094,38
Sample_64,item2165,date131,1
Sample_64,item2149,date152,10
Sample_64,item4500,date157,29
Sample_64,item6028,date276,14
Sample_64,item3612,date286,1
Sample_64,item6551,date322,3
Sample_64,item3659,date340,69
Sample_64,item3275,date363,6
Sample_65,item6185,date007,62
Sample_65,item2973,date032,6
Sample_65,item3624,date045,71
Sample_65,item5079,date049,44
Sample_65,item239,date053,70
Sample_65,item1741,date162,53
Sample_65,item3438,date209,118
Sample_65,item1639,date235,5
Sample_65,item1441,date280,16
Sample_65,item1213,date324,14
Sample_66,item764,date023,56
Sample_66,item3482,date031,25
Sample_66,item1161,date038,5
Sample_66,item2564,date049,1
Sample_66,item2935,date107,30
Sample_66,item6047,date163,2
Sample_66,item5448,date260,19
Sample_66,item1614,date263,31
Sample_66,item4633,date263,17
Sample_66,item2763,date348,12
Sample_67,item1976,date024,212
Sample_67,item2306,date093,5
Sample_67,item2165,date176,3
Sample_67,item2581,date197,46
Sample_67,item3634,date227,6
Sample_67,item2291,date231,20
Sample_67,item1183,date244,7
Sample_67,item5492,date266,8
Sample_67,item4529,date279,15
Sample_67,item4182,date333,4
Sample_68,item4876,date036,2
Sample_68,item4339,date070,2
Sample_68,item583,date100,50
Sample_68,item3536,date115,1
Sample_68,item2623,date123,77
Sample_68,item3523,date134,14
Sample_68,item5425,date195,50
Sample_68,item6084,date292,3
Sample_68,item2504,date320,8
Sample_68,item3874,date321,60
Sample_69,item5247,date016,1
Sample_69,item5216,date132,107
Sample_69,item161,date157,5
Sample_69,item5893,date158,16
Sample_69,item176,date192,1
Sample_69,item5167,date205,13
Sample_69,item4195,date214,6
Sample_69,item3959,date215,6
Sample_69,item3272,date239,14
Sample_69,item2128,date349,60
Sample_70,item1123,date083,156
Sample_70,item4895,date115,210
Sample_70,item4595,date132,4
Sample_70,item5758,date132,14
Sample_70,item4118,date143,74
Sample_70,item1634,date169,3
Sample_70,item1764,date217,23
Sample_70,item5675,date257,5
Sample_70,item586,date325,9
Sample_70,item1863,date349,12
Sample_71,item190,date026,2
Sample_71,item633,date058,5
Sample_71,item520,date064,22
Sample_71,item1424,date096,1
Sample_71,item1621,date098,1
Sample_71,item1387,date114,12
Sample_71,item5333,date184,29
Sample_71,item166,date224,2
Sample_71,item2271,date226,5
Sample_71,item2462,date228,33
Sample_72,item2457,date043,9
Sample_72,item4912,date099,1
Sample_72,item3792,date101,71
Sample_72,item28,date141,10
Sample_72,item1310,date164,22
Sample_72,item892,date171,14
Sample_72,item4538,date240,6
Sample_72,item1373,date299,7
Sample_72,item4224,date337,30
Sample_72,item2075,date354,10
Sample_73,item4328,date002,4
Sample_73,item5427,date003,6
Sample_73,item1455,date023,85
Sample_73,item1344,date024,9
Sample_73,item5259,date084,4
Sample_73,item1736,date088,8
Sample_73,item5270,date144,10
Sample_73,item3049,date151,2
Sample_73,item5482,date153,5
Sample_73,item4085,date291,51
Sample_74,item1992,date004,5
Sample_74,item3046,date018,5
Sample_74,item3138,date094,12
Sample_74,item2976,date108,3
Sample_74,item6015,date124,140
Sample_74,item2355,date137,5
Sample_74,item1814,date258,10
Sample_74,item1943,date293,78
Sample_74,item2435,date305,1
Sample_74,item2159,date330,9
Sample_75,item6341,date056,22
Sample_75,item2509,date059,9
Sample_75,item4086,date075,33
Sample_75,item1018,date106,1
Sample_75,item2925,date153,1
Sample_75,item6172,date181,134
Sample_75,item3884,date218,218
Sample_75,item2012,date246,15
Sample_75,item2748,date357,2
Sample_75,item2433,date363,177
Sample_76,item5415,date027,30
Sample_76,item3361,date078,8
Sample_76,item1447,date101,7
Sample_76,item2097,date148,10
Sample_76,item6132,date180,27
Sample_76,item1980,date206,10
Sample_76,item1632,date227,32
Sample_76,item4495,date268,30
Sample_76,item5460,date320,44
Sample_76,item2189,date325,48
Sample_77,item5395,date013,8
Sample_77,item1909,date019,7
Sample_77,item5871,date049,11
Sample_77,item4216,date055,21
Sample_77,item2590,date069,2
Sample_77,item2350,date088,44
Sample_77,item1293,date111,62
Sample_77,item852,date113,248
Sample_77,item6588,date165,15
Sample_77,item353,date355,3
Sample_78,item2880,date045,4
Sample_78,item5886,date121,22
Sample_78,item458,date164,40
Sample_78,item1686,date177,10
Sample_78,item1601,date179,10
Sample_78,item3925,date201,42
Sample_78,item382,date211,1
Sample_78,item5336,date265,2
Sample_78,item1722,date277,6
Sample_78,item1060,date333,2
Sample_79,item2334,date007,13
Sample_79,item1929,date060,44
Sample_79,item3934,date066,7
Sample_79,item3489,date106,11
Sample_79,item1307,date117,14
Sample_79,item3028,date142,7
Sample_79,item1799,date217,7
Sample_79,item3633,date283,1
Sample_79,item1241,date306,244
Sample_79,item1011,date360,138
Sample_80,item5293,date042,352
Sample_80,item3748,date101,4
Sample_80,item3959,date135,24
Sample_80,item3011,date137,4
Sample_80,item3376,date217,8
Sample_80,item3248,date233,9
Sample_80,item1769,date237,9
Sample_80,item2245,date261,96
Sample_80,item2817,date297,11
Sample_80,item2664,date356,1
Sample_81,item5769,date014,4
Sample_81,item735,date039,78
Sample_81,item3543,date043,30
Sample_81,item526,date089,54
Sample_81,item1725,date184,19
Sample_81,item09,date190,55
Sample_81,item2872,date191,13
Sample_81,item2664,date246,1
Sample_81,item1036,date299,28
Sample_81,item1502,date355,4
Sample_82,item6297,date015,6
Sample_82,item149,date048,3
Sample_82,item2044,date130,2
Sample_82,item1002,date134,8
Sample_82,item4234,date137,2
Sample_82,item1004,date163,53
Sample_82,item152,date191,4
Sample_82,item1738,date203,2
Sample_82,item1451,date316,96
Sample_82,item6532,date325,22
Sample_83,item200,date004,2
Sample_83,item2834,date087,46
Sample_83,item1531,date136,49
Sample_83,item751,date150,27
Sample_83,item968,date158,86
Sample_83,item3189,date166,78
Sample_83,item3848,date170,14
Sample_83,item5307,date288,2
Sample_83,item2556,date295,1
Sample_83,item2013,date341,14
Sample_84,item942,date025,38
Sample_84,item4218,date044,7
Sample_84,item985,date068,50
Sample_84,item225,date095,41
Sample_84,item6502,date168,157
Sample_84,item1132,date201,2
Sample_84,item5529,date259,117
Sample_84,item3782,date353,16
Sample_84,item958,date357,111
Sample_84,item39,date361,1
Sample_85,item1404,date030,15
Sample_85,item1979,date056,5
Sample_85,item1676,date102,11
Sample_85,item3347,date109,9
Sample_85,item233,date117,6
Sample_85,item811,date134,65
Sample_85,item211,date135,4
Sample_85,item3944,date182,31
Sample_85,item3678,date205,7
Sample_85,item1396,date228,148
Sample_86,item5638,date001,1
Sample_86,item2931,date002,86
Sample_86,item4594,date039,14
Sample_86,item1020,date043,14
Sample_86,item1302,date160,102
Sample_86,item2009,date166,32
Sample_86,item1654,date228,4
Sample_86,item2072,date289,10
Sample_86,item4884,date331,1
Sample_86,item1119,date345,8
Sample_87,item4107,date052,2
Sample_87,item122,date068,1
Sample_87,item5172,date109,686
Sample_87,item6583,date112,12
Sample_87,item223,date148,35
Sample_87,item1604,date184,3
Sample_87,item887,date227,98
Sample_87,item2008,date264,5
Sample_87,item452,date341,34
Sample_87,item4941,date364,5
Sample_88,item6575,date025,4
Sample_88,item3955,date048,13
Sample_88,item179,date087,24
Sample_88,item6120,date158,40
Sample_88,item5111,date163,25
Sample_88,item2167,date174,19
Sample_88,item3866,date178,20
Sample_88,item5824,date301,4
Sample_88,item447,date323,1
Sample_88,item3997,date347,3
Sample_89,item6578,date022,28
Sample_89,item4208,date036,1
Sample_89,item4822,date044,8
Sample_89,item4627,date045,23
Sample_89,item1507,date179,17
Sample_89,item1173,date196,8
Sample_89,item5582,date267,3
Sample_89,item1231,date317,8
Sample_89,item5169,date323,73
Sample_89,item5073,date349,10
Sample_90,item5401,date001,2
Sample_90,item4994,date056,4
Sample_90,item4311,date057,8
Sample_90,item4977,date067,6
Sample_90,item3945,date112,64
Sample_90,item4664,date138,6
Sample_90,item3604,date148,2
Sample_90,item4277,date188,4
Sample_90,item5274,date195,8
Sample_90,item892,date223,7
Sample_91,item864,date045,4
Sample_91,item888,date056,11
Sample_91,item504,date108,70
Sample_91,item1037,date111,4
Sample_91,item818,date119,246
Sample_91,item769,date123,1
Sample_91,item4636,date126,2
Sample_91,item1688,date185,6
Sample_91,item377,date283,1
Sample_91,item971,date349,11
Sample_92,item3831,date011,4
Sample_92,item3487,date042,1
Sample_92,item6144,date059,6
Sample_92,item6598,date061,2
Sample_92,item3902,date117,15
Sample_92,item1975,date267,7
Sample_92,item901,date298,1
Sample_92,item4935,date307,35
Sample_92,item3941,date327,10
Sample_92,item5510,date357,14
Sample_93,item1262,date105,71
Sample_93,item3470,date125,97
Sample_93,item1454,date182,108
Sample_93,item2946,date186,9
Sample_93,item5280,date204,4
Sample_93,item3938,date206,8
Sample_93,item3646,date213,15
Sample_93,item4112,date216,21
Sample_93,item740,date273,6
Sample_93,item776,date300,5
Sample_94,item2070,date004,20
