order,gt
"• date070 item5134 109155 0 125
• date070 item5134 109155 0 125
• date070 item5134 109155 0 125
• date070 item5134 109155 0 125
• date070 item5134 109155 0 125
• date070 item5134 109155 0 125
• date070 item5134 109155 0 125","• item5134 machine05 date070 39
• item5134 machine09 date070 6
• item5134 machine10 date070 5
• item5134 machine23 date070 1
• item5134 machine28 date070 32
• item5134 machine30 date070 11
• item5134 machine34 date070 32"
"• date179 item1876 33640 0 13
• date179 item1876 33640 0 13
• date179 item1876 33640 0 13","• item1876 machine08 date179 4
• item1876 machine09 date179 4
• item1876 machine23 date179 5"
• date281 item1311 103554 0 4,• item1311 machine31 date281 4
"• date050 item3124 106952 0 344
• date050 item3124 106952 0 344
• date050 item3124 106952 0 344
• date050 item3124 106952 0 344","• item3124 machine01 date050 126
• item3124 machine06 date050 6
• item3124 machine16 date050 95
• item3124 machine19 date050 117"
• date171 item6481 6498 1 2,• item6481 machine28 date171 2
• date343 item1878 179208 0 38,• item1878 machine06 date343 38
• date291 item3903 179208 0 48,• item3903 machine05 date291 48
• date261 item5219 6498 1 1,• item5219 machine09 date261 1
"• date017 item5651 52115 0 5
• date017 item5651 52115 0 5","• item5651 machine10 date017 2
• item5651 machine28 date017 3"
"• date147 item118 7149 1 14
• date147 item118 7149 1 14","• item118 machine10 date147 6
• item118 machine28 date147 8"
"• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160
• date335 item4407 100388 0 160","• item4407 machine01 date335 3
• item4407 machine04 date335 1
• item4407 machine05 date335 2
• item4407 machine08 date335 21
• item4407 machine09 date335 26
• item4407 machine14 date335 23
• item4407 machine20 date335 4
• item4407 machine21 date335 20
• item4407 machine28 date335 10
• item4407 machine29 date335 13
• item4407 machine32 date335 25
• item4407 machine33 date335 12"
• date331 item95 52115 1 3,• item95 machine23 date331 3
"• date049 item4572 6498 1 10
• date049 item4572 6498 1 10","• item4572 machine07 date049 7
• item4572 machine10 date049 3"
"• date122 item140 104092 1 104
• date122 item140 104092 1 104
• date122 item140 104092 1 104
• date122 item140 104092 1 104
• date122 item140 104092 1 104","• item140 machine04 date122 9
• item140 machine05 date122 31
• item140 machine13 date122 7
• item140 machine19 date122 20
• item140 machine20 date122 37"
• date071 item4155 179208 0 14,• item4155 machine05 date071 14
"• date213 item5269 179208 0 34
• date213 item5269 179208 0 34","• item5269 machine03 date213 2
• item5269 machine05 date213 32"
• date142 item819 179208 1 20,• item819 machine23 date142 20
• date112 item1490 179208 0 30,• item1490 machine14 date112 30
"• date265 item1327 81204 0 32
• date265 item1327 81204 0 32","• item1327 machine04 date265 12
• item1327 machine20 date265 20"
"• date168 item4526 6332 1 26
• date168 item4526 6332 1 26
• date168 item4526 6332 1 26
• date168 item4526 6332 1 26","• item4526 machine14 date168 11
• item4526 machine21 date168 6
• item4526 machine28 date168 8
• item4526 machine35 date168 1"
"• date040 item4278 21121 0 54
• date040 item4278 21121 0 54
• date040 item4278 21121 0 54
• date040 item4278 21121 0 54
• date040 item4278 21121 0 54
• date040 item4278 21121 0 54
• date040 item4278 21121 0 54
• date040 item4278 21121 0 54","• item4278 machine08 date040 3
• item4278 machine09 date040 2
• item4278 machine10 date040 1
• item4278 machine21 date040 15
• item4278 machine22 date040 7
• item4278 machine23 date040 7
• item4278 machine28 date040 8
• item4278 machine30 date040 11"
"• date230 item4592 104092 0 104
• date230 item4592 104092 0 104
• date230 item4592 104092 0 104
• date230 item4592 104092 0 104
• date230 item4592 104092 0 104","• item4592 machine02 date230 31
• item4592 machine06 date230 18
• item4592 machine16 date230 27
• item4592 machine19 date230 17
• item4592 machine32 date230 12"
"• date161 item6273 6516 0 22
• date161 item6273 6516 0 22
• date161 item6273 6516 0 22
• date161 item6273 6516 0 22
• date161 item6273 6516 0 22","• item6273 machine08 date161 8
• item6273 machine21 date161 3
• item6273 machine22 date161 3
• item6273 machine30 date161 2
• item6273 machine31 date161 6"
"• date197 item3086 179208 0 22
• date197 item3086 179208 0 22","• item3086 machine32 date197 11
• item3086 machine33 date197 11"
• date280 item3064 179208 0 15,• item3064 machine32 date280 15
• date296 item1628 8493 0 2,• item1628 machine08 date296 2
"• date291 item2273 27256 0 10
• date291 item2273 27256 0 10
• date291 item2273 27256 0 10","• item2273 machine08 date291 4
• item2273 machine10 date291 5
• item2273 machine28 date291 1"
"• date121 item655 103554 0 17
• date121 item655 103554 0 17","• item655 machine32 date121 7
• item655 machine33 date121 10"
"• date257 item2684 366680 0 11
• date257 item2684 366680 0 11
• date257 item2684 366680 0 11
• date257 item2684 366680 0 11
• date257 item2684 366680 0 11
• date257 item2684 366680 0 11
• date257 item2684 366680 0 11
• date257 item2684 366680 0 11","• item2684 machine04 date257 2
• item2684 machine05 date257 2
• item2684 machine09 date257 2
• item2684 machine14 date257 1
• item2684 machine20 date257 1
• item2684 machine21 date257 2
• item2684 machine23 date257 1"
• date302 item2017 81204 0 8,• item2017 machine08 date302 8
• date089 item2177 179208 0 11,• item2177 machine06 date089 11
• date108 item3179 6498 0 1,• item3179 machine08 date108 1
• date030 item2947 179208 0 6,• item2947 machine20 date030 6
"• date222 item1370 23977 1 5
• date222 item1370 23977 1 5
• date222 item1370 23977 1 5
• date222 item1370 23977 1 5
• date222 item1370 23977 1 5
• date222 item1370 23977 1 5
• date222 item1370 23977 1 5
• date222 item1370 23977 1 5
• date222 item1370 23977 1 5","• item1370 machine08 date222 1
• item1370 machine09 date222 1
• item1370 machine14 date222 1
• item1370 machine28 date222 1"
• date165 item445 81204 1 8,• item445 machine14 date165 8
• date275 item3147 6498 0 1,• item3147 machine21 date275 1
• date340 item1707 8065 0 4,• item1707 machine29 date340 4
"• date120 item5679 7168 0 3
• date120 item5679 7168 0 3
• date120 item5679 7168 0 3
• date120 item5679 7168 0 3
• date120 item5679 7168 0 3","• item5679 machine08 date120 1
• item5679 machine22 date120 1
• item5679 machine23 date120 1"
"• date143 item6255 179208 0 46
• date143 item6255 179208 0 46","• item6255 machine05 date143 20
• item6255 machine32 date143 26"
• date361 item5614 52115 0 12,• item5614 machine22 date361 12
• date115 item1739 7149 1 3,• item1739 machine08 date115 3
"• date038 item673 9518 0 24
• date038 item673 9518 0 24
• date038 item673 9518 0 24
• date038 item673 9518 0 24
• date038 item673 9518 0 24
• date038 item673 9518 0 24
• date038 item673 9518 0 24
• date038 item673 9518 0 24
• date038 item673 9518 0 24
• date038 item673 9518 0 24
• date038 item673 9518 0 24","• item673 machine08 date038 3
• item673 machine09 date038 2
• item673 machine14 date038 2
• item673 machine21 date038 1
• item673 machine22 date038 2
• item673 machine28 date038 2
• item673 machine29 date038 4
• item673 machine30 date038 4
• item673 machine31 date038 1
• item673 machine34 date038 2
• item673 machine35 date038 2"
"• date276 item199 6498 0 2
• date276 item199 6498 0 2",• item199 machine23 date276 2
"• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12
• date312 item4545 100388 1 12","• item4545 machine04 date312 1
• item4545 machine05 date312 1
• item4545 machine10 date312 1
• item4545 machine14 date312 1
• item4545 machine20 date312 1
• item4545 machine21 date312 1
• item4545 machine22 date312 1
• item4545 machine23 date312 1
• item4545 machine28 date312 1
• item4545 machine29 date312 1
• item4545 machine32 date312 1
• item4545 machine33 date312 1"
"• date198 item6038 20470 0 38
• date198 item6038 20470 0 38
• date198 item6038 20470 0 38
• date198 item6038 20470 0 38
• date198 item6038 20470 0 38
• date198 item6038 20470 0 38
• date198 item6038 20470 0 38
• date198 item6038 20470 0 38","• item6038 machine09 date198 5
• item6038 machine10 date198 9
• item6038 machine14 date198 1
• item6038 machine21 date198 3
• item6038 machine22 date198 7
• item6038 machine23 date198 5
• item6038 machine28 date198 9"
• date236 item2529 179208 1 72,• item2529 machine05 date236 72
• date090 item4942 52115 0 6,• item4942 machine23 date090 6
"• date078 item5846 179208 0 84
• date078 item5846 179208 0 84","• item5846 machine03 date078 77
• item5846 machine05 date078 7"
"• date339 item4536 145749 0 172
• date339 item4536 145749 0 172
• date339 item4536 145749 0 172
• date339 item4536 145749 0 172
• date339 item4536 145749 0 172
• date339 item4536 145749 0 172
• date339 item4536 145749 0 172
• date339 item4536 145749 0 172","• item4536 machine01 date339 38
• item4536 machine05 date339 37
• item4536 machine06 date339 36
• item4536 machine19 date339 6
• item4536 machine20 date339 19
• item4536 machine21 date339 4
• item4536 machine32 date339 28
• item4536 machine33 date339 3"
• date119 item5451 6498 0 1,• item5451 machine23 date119 1
• date278 item2434 12881 0 9,• item2434 machine31 date278 9
"• date016 item5111 179208 0 50
• date016 item5111 179208 0 50","• item5111 machine21 date016 39
• item5111 machine29 date016 11"
• date160 item2554 179208 0 19,• item2554 machine05 date160 19
"• date059 item6332 106952 0 38
• date059 item6332 106952 0 38
• date059 item6332 106952 0 38
• date059 item6332 106952 0 38","• item6332 machine10 date059 8
• item6332 machine12 date059 8
• item6332 machine21 date059 7
• item6332 machine23 date059 16"
"• date252 item6136 145749 1 12
• date252 item6136 145749 1 12
• date252 item6136 145749 1 12
• date252 item6136 145749 1 12
• date252 item6136 145749 1 12
• date252 item6136 145749 1 12
• date252 item6136 145749 1 12
• date252 item6136 145749 1 12","• item6136 machine01 date252 1
• item6136 machine03 date252 1
• item6136 machine05 date252 1
• item6136 machine06 date252 3
• item6136 machine19 date252 1
• item6136 machine32 date252 1
• item6136 machine33 date252 3"
• date001 item2179 6498 0 1,• item2179 machine28 date001 1
• date329 item2140 6498 0 5,• item2140 machine08 date329 5
"• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88
• date354 item4218 43177 1 88","• item4218 machine04 date354 16
• item4218 machine05 date354 6
• item4218 machine08 date354 4
• item4218 machine09 date354 2
• item4218 machine10 date354 7
• item4218 machine20 date354 9
• item4218 machine23 date354 12
• item4218 machine28 date354 7
• item4218 machine30 date354 5
• item4218 machine31 date354 8
• item4218 machine35 date354 13"
"• date114 item2127 11500 0 3
• date114 item2127 11500 0 3
• date114 item2127 11500 0 3","• item2127 machine14 date114 1
• item2127 machine21 date114 1
• item2127 machine33 date114 1"
"• date355 item161 52115 0 20
• date355 item161 52115 0 20","• item161 machine07 date355 5
• item161 machine09 date355 15"
• date196 item2777 179208 0 24,• item2777 machine04 date196 24
• date294 item3144 6498 0 1,• item3144 machine10 date294 1
• date183 item5268 8065 0 8,• item5268 machine21 date183 8
• date222 item479 179208 0 7,• item479 machine32 date222 7
"• date310 item5419 6516 0 12
• date310 item5419 6516 0 12
• date310 item5419 6516 0 12
• date310 item5419 6516 0 12
• date310 item5419 6516 0 12
• date310 item5419 6516 0 12","• item5419 machine08 date310 4
• item5419 machine21 date310 2
• item5419 machine23 date310 2
• item5419 machine28 date310 4"
• date255 item4301 103554 0 19,• item4301 machine10 date255 19
"• date128 item2202 179208 0 71
• date128 item2202 179208 0 71
• date128 item2202 179208 0 71","• item2202 machine04 date128 36
• item2202 machine20 date128 8
• item2202 machine32 date128 27"
"• date080 item5606 33640 0 26
• date080 item5606 33640 0 26
• date080 item5606 33640 0 26","• item5606 machine23 date080 19
• item5606 machine31 date080 7
• item5606 machine35 date080 1"
• date037 item2317 179208 1 32,• item2317 machine20 date037 32
• date005 item3682 179208 0 89,• item3682 machine06 date005 89
• date101 item3883 6498 0 2,• item3883 machine22 date101 2
"• date146 item1170 109155 1 21
• date146 item1170 109155 1 21
• date146 item1170 109155 1 21
• date146 item1170 109155 1 21
• date146 item1170 109155 1 21
• date146 item1170 109155 1 21
• date146 item1170 109155 1 21","• item1170 machine01 date146 1
• item1170 machine03 date146 5
• item1170 machine06 date146 5
• item1170 machine16 date146 3
• item1170 machine17 date146 1
• item1170 machine19 date146 2
• item1170 machine32 date146 4"
"• date135 item543 104092 1 138
• date135 item543 104092 1 138
• date135 item543 104092 1 138
• date135 item543 104092 1 138
• date135 item543 104092 1 138","• item543 machine01 date135 20
• item543 machine03 date135 19
• item543 machine05 date135 7
• item543 machine19 date135 17
• item543 machine20 date135 74"
"• date248 item2262 179208 0 42
• date248 item2262 179208 0 42","• item2262 machine08 date248 26
• item2262 machine09 date248 16"
"• date136 item2639 40772 0 54
• date136 item2639 40772 0 54
• date136 item2639 40772 0 54
• date136 item2639 40772 0 54","• item2639 machine10 date136 9
• item2639 machine23 date136 15
• item2639 machine28 date136 21
• item2639 machine29 date136 10"
"• date350 item3603 43171 0 9
• date350 item3603 43171 0 9
• date350 item3603 43171 0 9
• date350 item3603 43171 0 9","• item3603 machine01 date350 3
• item3603 machine32 date350 4
• item3603 machine33 date350 2"
• date108 item5639 179208 0 14,• item5639 machine20 date108 14
"• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96
• date261 item4697 14619 0 96","• item4697 machine04 date261 3
• item4697 machine08 date261 2
• item4697 machine09 date261 8
• item4697 machine10 date261 1
• item4697 machine21 date261 14
• item4697 machine30 date261 9
• item4697 machine31 date261 16
• item4697 machine32 date261 11
• item4697 machine33 date261 15
• item4697 machine34 date261 7
• item4697 machine35 date261 11"
"• date085 item5850 47491 0 7
• date085 item5850 47491 0 7
• date085 item5850 47491 0 7
• date085 item5850 47491 0 7
• date085 item5850 47491 0 7","• item5850 machine04 date085 1
• item5850 machine05 date085 2
• item5850 machine10 date085 2
• item5850 machine21 date085 2"
"• date023 item475 6498 0 4
• date023 item475 6498 0 4","• item475 machine09 date023 1
• item475 machine22 date023 3"
• date337 item3143 8065 0 4,• item3143 machine29 date337 4
"• date235 item1875 27256 0 18
• date235 item1875 27256 0 18
• date235 item1875 27256 0 18","• item1875 machine08 date235 9
• item1875 machine23 date235 3
• item1875 machine28 date235 7"
• date070 item3552 179208 1 5,• item3552 machine14 date070 5
"• date003 item5873 8416 0 3
• date003 item5873 8416 0 3
• date003 item5873 8416 0 3
• date003 item5873 8416 0 3
• date003 item5873 8416 0 3
• date003 item5873 8416 0 3
• date003 item5873 8416 0 3","• item5873 machine10 date003 1
• item5873 machine23 date003 1
• item5873 machine28 date003 1
• item5873 machine30 date003 1"
• date018 item447 7149 0 7,• item447 machine24 date018 7
"• date166 item5835 179208 0 40
• date166 item5835 179208 0 40
• date166 item5835 179208 0 40","• item5835 machine03 date166 20
• item5835 machine16 date166 17
• item5835 machine19 date166 3"
"• date332 item6489 21121 0 28
• date332 item6489 21121 0 28
• date332 item6489 21121 0 28
• date332 item6489 21121 0 28
• date332 item6489 21121 0 28
• date332 item6489 21121 0 28
• date332 item6489 21121 0 28
• date332 item6489 21121 0 28","• item6489 machine07 date332 5
• item6489 machine08 date332 4
• item6489 machine14 date332 4
• item6489 machine22 date332 2
• item6489 machine23 date332 2
• item6489 machine31 date332 5
• item6489 machine34 date332 1
• item6489 machine35 date332 4"
• date089 item3984 179208 0 15,• item3984 machine05 date089 15
"• date041 item3182 9195 1 4
• date041 item3182 9195 1 4
• date041 item3182 9195 1 4
• date041 item3182 9195 1 4
• date041 item3182 9195 1 4
• date041 item3182 9195 1 4","• item3182 machine08 date041 1
• item3182 machine09 date041 1
• item3182 machine10 date041 1
• item3182 machine32 date041 1"
• date277 item1709 6498 1 7,• item1709 machine08 date277 7
• date049 item569 8493 0 8,• item569 machine28 date049 8
• date079 item4761 8065 1 2,• item4761 machine10 date079 2
"• date143 item5551 179208 0 40
• date143 item5551 179208 0 40","• item5551 machine09 date143 30
• item5551 machine34 date143 10"
"• date238 item6235 6332 0 10
• date238 item6235 6332 0 10
• date238 item6235 6332 0 10
• date238 item6235 6332 0 10","• item6235 machine09 date238 3
• item6235 machine23 date238 2
• item6235 machine28 date238 4"
"• date339 item3812 12500 0 28
• date339 item3812 12500 0 28
• date339 item3812 12500 0 28
• date339 item3812 12500 0 28
• date339 item3812 12500 0 28
• date339 item3812 12500 0 28
• date339 item3812 12500 0 28
• date339 item3812 12500 0 28","• item3812 machine08 date339 3
• item3812 machine09 date339 4
• item3812 machine10 date339 3
• item3812 machine21 date339 6
• item3812 machine23 date339 4
• item3812 machine28 date339 6
• item3812 machine29 date339 2"
"• date191 item5282 179208 0 80
• date191 item5282 179208 0 80","• item5282 machine04 date191 32
• item5282 machine23 date191 48"
"• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2
• date351 item5443 11941 0 2",
"• date338 item1444 179208 0 23
• date338 item1444 179208 0 23
• date338 item1444 179208 0 23","• item1444 machine01 date338 2
• item1444 machine06 date338 10
• item1444 machine19 date338 11"
"• date205 item5001 104092 0 25
• date205 item5001 104092 0 25
• date205 item5001 104092 0 25
• date205 item5001 104092 0 25
• date205 item5001 104092 0 25","• item5001 machine03 date205 10
• item5001 machine06 date205 8
• item5001 machine19 date205 4
• item5001 machine20 date205 4"
"• date037 item4593 12881 0 18
• date037 item4593 12881 0 18","• item4593 machine10 date037 3
• item4593 machine31 date037 15"
"• date056 item952 6498 0 6
• date056 item952 6498 0 6","• item952 machine09 date056 3
• item952 machine23 date056 3"
• date360 item88 6498 0 1,• item88 machine28 date360 1
• date172 item3568 6498 0 4,• item3568 machine21 date172 4
"• date105 item5008 104092 1 226
• date105 item5008 104092 1 226
• date105 item5008 104092 1 226
• date105 item5008 104092 1 226
• date105 item5008 104092 1 226
• date105 item5008 104092 1 226","• item5008 machine01 date105 74
• item5008 machine03 date105 26
• item5008 machine05 date105 9
• item5008 machine06 date105 26
• item5008 machine16 date105 77
• item5008 machine20 date105 15"
"• date332 item3226 33640 0 26
• date332 item3226 33640 0 26
• date332 item3226 33640 0 26","• item3226 machine10 date332 6
• item3226 machine23 date332 17
• item3226 machine28 date332 3"
"• date106 item919 14481 1 56
• date106 item919 14481 1 56
• date106 item919 14481 1 56
• date106 item919 14481 1 56
• date106 item919 14481 1 56
• date106 item919 14481 1 56
• date106 item919 14481 1 56
• date106 item919 14481 1 56
• date106 item919 14481 1 56","• item919 machine04 date106 15
• item919 machine09 date106 3
• item919 machine10 date106 3
• item919 machine14 date106 1
• item919 machine23 date106 4
• item919 machine28 date106 4
• item919 machine30 date106 1
• item919 machine31 date106 19
• item919 machine35 date106 6"
"• date365 item1055 179208 0 63
• date365 item1055 179208 0 63","• item1055 machine06 date365 46
• item1055 machine19 date365 17"
• date237 item5641 179208 0 52,• item5641 machine03 date237 52
• date104 item2300 6498 0 3,• item2300 machine10 date104 3
"• date264 item113 14698 0 44
• date264 item113 14698 0 44
• date264 item113 14698 0 44
• date264 item113 14698 0 44","• item113 machine08 date264 15
• item113 machine21 date264 11
• item113 machine23 date264 14
• item113 machine30 date264 3"
"• date141 item5220 27256 0 14
• date141 item5220 27256 0 14
• date141 item5220 27256 0 14","• item5220 machine09 date141 7
• item5220 machine23 date141 3
• item5220 machine30 date141 4"
"• date064 item614 6498 1 8
• date064 item614 6498 1 8","• item614 machine23 date064 5
• item614 machine28 date064 3"
"• date191 item2263 6498 1 5
• date191 item2263 6498 1 5","• item2263 machine08 date191 3
• item2263 machine21 date191 2"
"• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181
• date194 item1472 100388 1 181","• item1472 machine04 date194 24
• item1472 machine05 date194 4
• item1472 machine07 date194 24
• item1472 machine08 date194 16
• item1472 machine09 date194 4
• item1472 machine10 date194 15
• item1472 machine14 date194 13
• item1472 machine21 date194 6
• item1472 machine23 date194 20
• item1472 machine24 date194 12
• item1472 machine28 date194 16
• item1472 machine29 date194 9
• item1472 machine32 date194 2
• item1472 machine33 date194 15"
"• date153 item2794 179208 0 156
• date153 item2794 179208 0 156
• date153 item2794 179208 0 156","• item2794 machine05 date153 30
• item2794 machine20 date153 51
• item2794 machine32 date153 75"
"• date290 item216 21887 0 5
• date290 item216 21887 0 5
• date290 item216 21887 0 5
• date290 item216 21887 0 5
• date290 item216 21887 0 5
• date290 item216 21887 0 5
• date290 item216 21887 0 5
• date290 item216 21887 0 5
• date290 item216 21887 0 5
• date290 item216 21887 0 5","• item216 machine11 date290 1
• item216 machine15 date290 1
• item216 machine21 date290 1
• item216 machine34 date290 1"
"• date105 item889 32174 0 101
• date105 item889 32174 0 101
• date105 item889 32174 0 101
• date105 item889 32174 0 101
• date105 item889 32174 0 101
• date105 item889 32174 0 101
• date105 item889 32174 0 101
• date105 item889 32174 0 101
• date105 item889 32174 0 101
• date105 item889 32174 0 101
• date105 item889 32174 0 101","• item889 machine04 date105 15
• item889 machine05 date105 14
• item889 machine09 date105 5
• item889 machine10 date105 1
• item889 machine14 date105 11
• item889 machine20 date105 10
• item889 machine23 date105 6
• item889 machine28 date105 14
• item889 machine31 date105 3
• item889 machine34 date105 11
• item889 machine35 date105 11"
• date310 item5690 6498 0 1,• item5690 machine34 date310 1
"• date112 item5084 179208 1 57
• date112 item5084 179208 1 57
• date112 item5084 179208 1 57","• item5084 machine05 date112 23
• item5084 machine16 date112 20
• item5084 machine20 date112 14"
"• date100 item3222 86940 0 62
• date100 item3222 86940 0 62
• date100 item3222 86940 0 62
• date100 item3222 86940 0 62
• date100 item3222 86940 0 62
• date100 item3222 86940 0 62
• date100 item3222 86940 0 62
• date100 item3222 86940 0 62","• item3222 machine08 date100 6
• item3222 machine09 date100 12
• item3222 machine10 date100 8
• item3222 machine14 date100 4
• item3222 machine21 date100 12
• item3222 machine23 date100 1
• item3222 machine28 date100 12
• item3222 machine33 date100 7"
• date188 item4524 6498 0 1,• item4524 machine29 date188 1
